gene	MRV_DoL6_p_val	MRV_DoL6_avg_log2FC	MRV_DoL6_pct.1	MRV_DoL6_pct.2	MRV_DoL6_p_val_adj	Mock_DoL6_p_val	Mock_DoL6_avg_log2FC	Mock_DoL6_pct.1	Mock_DoL6_pct.2	Mock_DoL6_p_val_adj	MRV_DoL4_p_val	MRV_DoL4_avg_log2FC	MRV_DoL4_pct.1	MRV_DoL4_pct.2	MRV_DoL4_p_val_adj	Mock_DoL4_p_val	Mock_DoL4_avg_log2FC	Mock_DoL4_pct.1	Mock_DoL4_pct.2	Mock_DoL4_p_val_adj	max_pval	minimump_p_val
Itm2a	3.0969477039701498e-61	-3.166874161287417	0.887	0.221	6.9408791941379e-57	6.700098825249221e-148	42.826266752438244	1	0.244	1.5016261487148556e-143	4.186325995319205e-113	-45.98148541117348	1	0.301	9.3823938207094e-109	1.2855212343427225e-261	83.78565436403468	1	0.375	2.8811101904089096e-257	3.0969477039701498e-61	5.142084937371002e-261
Tmsb10	2.3703543502901315e-27	-633.6495527167976	1	0.959	5.312438169870243e-23	2.058158178307469e-78	-264.46646198877784	1	0.908	4.6127441092226996e-74	4.624481936952931e-62	-288.8062765194126	1	0.884	1.0364388917098908e-57	3.492730901267991e-156	-Inf	1	0.929	7.82790849592182e-152	2.3703543502901315e-27	1.3970923605072338e-155
Cd53	1.1825772228355864e-16	-25.39784843190824	0.537	0.181	2.6503920718191165e-12	1.3381798899651286e-95	-0.3742692120132567	0.6	0.084	2.999128769389846e-91	1.447947935291301e-82	-2.005581251962383	0.75	0.141	3.2451409125748633e-78	9.119048806464668e-124	-28.79794159727082	0.763	0.226	2.0437612185048615e-119	1.1825772228355864e-16	3.647619522585896e-123
Mif	5.44033893713342e-15	-215.19720296715394	1	0.849	1.219288762590342e-10	3.430002434408461e-38	-193.7012472879344	0.938	0.485	7.687321455996242e-34	1.5870730291246678e-20	-148.85489800643904	0.93	0.578	3.5569480728742056e-16	1.5137335786275674e-101	-132.49554330983415	0.965	0.534	3.392579696420104e-97	5.44033893713342e-15	6.05493431451027e-101
Gtf2h4	1.2962800484156906e-14	-37.67300095850056	0.412	0.74	2.905222844509246e-10	1.505771192975686e-56	-166.2941019054252	0.207	0.858	3.374734397697107e-52	6.570874113318003e-32	-107.0265588527973	0.281	0.78	1.4726643062768307e-27	4.2299352259860923e-66	-80.54852968122333	0.354	0.714	9.48013082848003e-62	1.2962800484156906e-14	1.6919740903944287e-65
Rps27a	3.596108104869491e-15	-705.7843136254978	1	0.967	8.059597484633504e-11	1.679479340726807e-25	-666.7477062020502	1	0.975	3.7640490984369195e-21	2.5064950872156486e-14	-542.7205382191034	1	0.937	5.617556789467712e-10	2.9255699951059006e-80	-651.8813054841725	1	0.939	6.556787473031344e-76	2.5064950872156486e-14	1.1702279980423628e-79
Aprt	3.270052440840575e-14	-33.460486111068434	0.812	0.422	7.328841530411896e-10	2.9481182785299053e-35	-43.329631517844156	0.731	0.271	6.607322685841224e-31	2.1321029902187677e-29	-23.50786217256394	0.852	0.351	4.778469221678302e-25	2.2419630684441882e-73	-63.326540241585306	0.777	0.326	5.024687628997115e-69	3.270052440840575e-14	8.967852273776872e-73
Atp5e	6.587538286653685e-16	-64.79882305758	1	0.917	1.476399080804824e-11	3.193556666974924e-21	-132.6566939937531	0.979	0.819	7.157399202024201e-17	5.307376178059486e-14	-104.3245220683118	0.992	0.813	1.189489149026692e-9	2.0080592595688576e-81	-107.97499476490364	0.995	0.796	4.5004624125457234e-77	5.307376178059486e-14	8.03223703827555e-81
Rpl41	7.037433941109633e-14	-Inf	1	0.976	1.577229694881491e-9	4.4782198058096066e-29	-Inf	1	0.977	1.003658622878049e-24	3.515128679705574e-17	-Inf	1	0.97	7.878106396956132e-13	2.232039925744495e-93	-Inf	1	0.965	5.002447881578562e-89	7.037433941109633e-14	8.928159702977983e-93
Rps21	8.594466369288411e-14	-529.7755186370433	1	0.955	1.9261918026849188e-9	8.114910939803766e-25	-295.90266256619964	1	0.955	1.8187138398288202e-20	1.7189578165906365e-15	-408.54990267779476	1	0.921	3.852528258542934e-11	2.373483368353957e-85	-434.0343543099389	1	0.929	5.319450925154888e-81	8.594466369288411e-14	9.493933473415775e-85
Atp5g1	1.2488411656219164e-13	-112.8361987309277	1	0.861	2.7989028203918393e-9	3.5090092910581202e-31	-95.57969307345421	0.938	0.572	7.864391623119459e-27	2.175574900873767e-21	-118.3705724946338	0.945	0.613	4.875898467838287e-17	1.1713842711976948e-97	-86.18782249504926	0.973	0.558	2.6253064286082736e-93	1.2488411656219164e-13	4.685537084790761e-97
Rpl12	3.765291131601748e-13	-235.46575438798087	1	0.929	8.438770484145838e-9	2.205806805121812e-27	-188.00493963038494	1	0.892	4.9436542116390054e-23	4.5338437298566006e-17	-288.80489359771616	1	0.852	1.0161250567354613e-12	1.3715759982704976e-91	-214.74620004984303	0.997	0.841	3.073976127323839e-87	3.765291131601748e-13	5.486303993081936e-91
Prmt1	1.2706023853890008e-13	-53.39231449952429	0.925	0.657	2.8476740661338286e-9	6.5027238241907916e-18	-41.593614643467234	0.793	0.436	1.4573904634776402e-13	2.297666971737214e-12	-58.912578408261616	0.867	0.527	5.149531217057444e-8	7.025953719134275e-63	-55.732509859077325	0.872	0.483	1.5746567475323739e-58	2.297666971737214e-12	2.8103814876537063e-62
Aldoa	6.189425135516679e-12	-76.97080847534545	0.863	0.57	1.3871739613719982e-7	5.287675246428074e-40	-84.93605999875027	0.855	0.374	1.18507377622946e-35	6.796980776758903e-30	-73.84413561654605	0.938	0.476	1.5233393316872054e-25	7.402621469474151e-107	-81.89198191735636	0.91	0.436	1.6590755237385467e-102	6.189425135516679e-12	2.961048587789681e-106
Tomm40	7.432103003435383e-13	-27.69285343621344	0.887	0.592	1.6656829251299382e-8	8.468307390002948e-12	-24.738376088499418	0.6	0.331	1.8979170522474608e-7	1.3068808542054621e-15	-46.55973940784437	0.797	0.413	2.928981370445282e-11	3.932673492259753e-61	-25.627359762345648	0.763	0.348	8.813907830852559e-57	8.468307390002948e-12	1.573069396903887e-60
Rpl36	1.2276593790509429e-11	-448.8014778258492	1	0.95	2.7514302003289734e-7	2.3481675608836816e-21	-371.2170375904208	1	0.958	5.2627131374525074e-17	1.8916663874744392e-14	-414.32070367931556	1	0.922	4.239602707607713e-10	1.3510764521096759e-81	-519.1533617222397	1	0.933	3.0280325444682055e-77	1.2276593790509429e-11	5.404305808438709e-81
Rpl38	3.162952800994695e-11	-441.7711211428176	1	0.965	7.08880981758931e-7	8.873482284372721e-26	-339.43204639125247	1	0.96	1.9887248495736142e-21	2.483975139157138e-16	-407.5591454749865	1	0.942	5.567085081878978e-12	5.455354008218055e-85	-451.3466948006065	1	0.944	1.2226539403218305e-80	3.162952800994695e-11	2.1821416032872316e-84
Uqcrq	3.3263348039702166e-11	-48.35857212642508	0.975	0.871	7.45498156265805e-7	4.217766909991624e-33	-49.57466776695119	0.931	0.636	9.452859198673228e-29	1.4682924732232023e-29	-73.84069513756049	0.984	0.68	3.2907370909878408e-25	6.966926258200134e-128	-26.171051367200576	0.984	0.638	1.561427512987814e-123	3.3263348039702166e-11	2.78677050328003e-127
Nme1	5.7852426871805324e-11	-84.69543481438423	0.975	0.775	1.296588591050901e-6	1.379038619464032e-31	-75.56787365397228	0.91	0.525	3.0907013539427885e-27	3.554520968887068e-24	-99.8084056817253	0.961	0.581	7.966392395469697e-20	8.337493457362192e-116	-129.3467288748214	0.975	0.541	1.8685990336640147e-111	5.7852426871805324e-11	3.3349973829448026e-115
