gene	MRV_DoL6_p_val	MRV_DoL6_avg_log2FC	MRV_DoL6_pct.1	MRV_DoL6_pct.2	MRV_DoL6_p_val_adj	Mock_DoL6_p_val	Mock_DoL6_avg_log2FC	Mock_DoL6_pct.1	Mock_DoL6_pct.2	Mock_DoL6_p_val_adj	MRV_DoL4_p_val	MRV_DoL4_avg_log2FC	MRV_DoL4_pct.1	MRV_DoL4_pct.2	MRV_DoL4_p_val_adj	Mock_DoL4_p_val	Mock_DoL4_avg_log2FC	Mock_DoL4_pct.1	Mock_DoL4_pct.2	Mock_DoL4_p_val_adj	max_pval	minimump_p_val
Cdkn3	1.373410959001184e-48	-0.4036328524446793	0.87	0.071	3.078088641313454e-44	3.6042810869695207e-141	6.974366178611118	0.843	0.094	8.07791477211609e-137	2.973767132253658e-121	-1.7168349596214245	0.913	0.158	6.664806896806898e-117	3.190922422580257e-118	1.9754327602313375	0.8	0.058	7.151495333486872e-114	1.373410959001184e-48	1.4417124347877957e-140
2610318N02Rik	1.2570703595181756e-42	4.346376183201001	0.609	0.039	2.817346089752135e-38	2.421613820731925e-96	3.0866644295991743	0.814	0.128	5.4273208950243906e-92	4.67134112592921e-73	1.483776636422486	0.817	0.189	1.0469409731432546e-68	1.5393890811423178e-87	3.525118811154062	0.873	0.095	3.450078808656163e-83	1.2570703595181756e-42	9.686455282927663e-96
Ccnb1	2.3103931588905697e-40	-8.047935997267604	0.913	0.101	5.178053147705545e-36	2.687767618825516e-139	-0.7462400378480609	0.98	0.142	6.023824787311746e-135	1.610264705978421e-111	-44.57492994638231	0.992	0.23	3.6089252590388375e-107	1.0796245535960036e-115	-25.561606654316723	0.964	0.092	2.419654549519363e-111	2.3103931588905697e-40	1.075107047530182e-138
Ccnb2	2.436102973518796e-40	4.959932378955845	1	0.132	5.4597939842503255e-36	1.7945229134534327e-112	11.676949992034448	0.99	0.199	4.0218847536318335e-108	1.7028936002952184e-94	7.799683601895403	1	0.294	3.8165251369816433e-90	2.830345522742525e-98	-1.3597462184999038	1	0.124	6.343370385570546e-94	2.436102973518796e-40	7.178091653813943e-112
Knstrn	2.141578917017594e-37	0.4541459641104657	0.957	0.118	4.799706668819832e-33	2.1392491875986852e-100	1.0226301882868656	0.902	0.152	4.794485279246174e-96	4.089608656515276e-84	4.675930891315657	0.913	0.23	9.165630920982037e-80	4.798220193875405e-86	-7.6030737804257384	0.891	0.102	1.0753771098513559e-81	2.141578917017594e-37	8.556996750394858e-100
Cenpf	1.2404956043063063e-36	-15.452071618483021	0.913	0.115	2.780198748371294e-32	4.022536796514894e-132	-10.893029099306062	0.99	0.156	9.01530946834918e-128	1.3044991504477773e-113	-52.18093290333972	1	0.242	2.9236434959835586e-109	2.1476863101549345e-112	-40.089646641928304	1	0.105	4.813394558319239e-108	1.2404956043063063e-36	1.6090147186059718e-131
Kif2c	1.4022715158374996e-34	1.928539491968415	0.652	0.055	3.142770921295004e-30	1.0604266291516771e-77	1.195897424641774	0.627	0.085	2.376628161254739e-73	1.4241369824131145e-71	-7.155745591567343	0.746	0.15	3.191775804984272e-67	2.882618099739283e-80	2.4420406895251254	0.655	0.055	6.460523685135682e-76	1.4022715158374996e-34	1.1530472398957282e-79
Bub1b	1.0928986177284564e-30	0.7301060446639172	0.739	0.079	2.4494043820530163e-26	1.7984938156648346e-78	-2.6851597556448565	0.784	0.125	4.030784339668027e-74	6.480131749800466e-66	-10.887583137270067	0.841	0.205	1.4523271277652805e-61	3.1477709547658214e-57	-6.895847481354803	0.691	0.084	7.054784263821159e-53	1.0928986177284564e-30	7.193975262659401e-78
Nek2	1.937477201636538e-30	0.9506631340639902	0.522	0.039	4.3422739043078085e-26	1.2067977445592638e-109	2.348922833536585	0.608	0.057	2.7046751051062222e-105	5.935610204432641e-97	1.739106571571417	0.73	0.115	1.3302889590174435e-92	2.1111858442803338e-104	4.2120223102759	0.673	0.045	4.731589714201085e-100	1.937477201636538e-30	4.827190978237067e-109
Cep89	2.1209364394427355e-30	1.3763696445652236	0.478	0.034	4.7534427480790587e-26	3.7151631877351416e-96	1.9936746147396924	0.471	0.039	8.326423736352e-92	5.872224478202599e-105	6.741201431527478	0.667	0.091	1.3160829500547666e-100	9.632508388972027e-108	2.5238513027138523	0.673	0.044	2.1588377801364106e-103	2.1209364394427355e-30	3.853003355588847e-107
Plk1	7.97587437318535e-30	-3.156997660984736	0.522	0.04	1.7875529645183006e-25	2.5415103164055023e-47	-3.8142013567492397	0.539	0.094	5.6960329211280114e-43	1.0928711020820055e-60	-7.06292949347827	0.77	0.173	2.449342713986191e-56	1.2932301967122347e-57	-3.853024035533804	0.618	0.067	2.8983875168714605e-53	7.97587437318535e-30	4.3714844083280143e-60
Psrc1	1.3888001212319828e-29	0.8969348439341972	0.348	0.018	3.1125788317051197e-25	2.2591974804797578e-64	1.24849124961163	0.363	0.034	5.063313393251234e-60	2.5358092860755506e-40	0.3042336763885196	0.333	0.053	5.683255771952524e-36	2.6645455698561145e-30	1.4284819978003076	0.255	0.022	5.971779531161524e-26	1.3888001212319828e-29	9.036789921919115e-64
Mki67	2.3168142263126603e-29	-38.87402896267164	0.913	0.137	5.192444044011934e-25	2.5885498166281124e-76	-73.46443652437071	0.961	0.201	5.801457849026926e-72	1.0041709314686005e-63	-62.20468281187915	0.976	0.31	2.250547891607427e-59	5.746459132759765e-61	-165.78789590203283	0.909	0.143	1.2878964208341186e-56	2.3168142263126603e-29	1.0354199266512415e-75
Ube2c	3.5764969963664464e-29	-34.54877891634045	1	0.196	8.0156450682564795e-25	1.0269958342734743e-108	-18.714058977971632	1	0.211	2.3017030637737105e-104	2.825622947691945e-89	-13.228241341785179	0.992	0.334	6.332786150367187e-85	3.859338723446961e-76	-1.5675036413942394	0.964	0.148	8.64954994698933e-72	3.5764969963664464e-29	4.107983337093866e-108
Cdc25b	8.86563135809287e-28	8.802631870726882	0.522	0.045	1.9869652999757737e-23	3.7634976507234928e-146	3.0765226142562505	0.863	0.095	8.434750934801493e-142	1.1746640954922969e-92	-1.2579095691762134	0.754	0.134	2.632657170817336e-88	6.163598954376094e-85	-1.1289737133700193	0.727	0.066	1.38138579765477e-80	8.86563135809287e-28	1.5053990602894284e-145
Nusap1	1.479836077134103e-26	-15.733686590247569	0.739	0.096	3.3166086160729517e-22	2.2863101050066302e-97	-19.689943861324814	0.98	0.166	5.12407820734086e-93	7.513777655695904e-75	-57.95178406410359	0.992	0.264	1.683987848194566e-70	2.002110002284577e-82	-112.2218686932695	0.945	0.112	4.487128937120194e-78	1.479836077134103e-26	9.145240420026676e-97
Depdc1a	4.5480145086900686e-26	1.4439341380787472	0.522	0.046	1.0193010116876181e-21	2.850551551110597e-86	2.104641106346426	0.676	0.09	6.38865613634907e-82	8.327118327817364e-76	2.2119641315154768	0.778	0.163	1.8662737596304274e-71	3.743797840287001e-96	1.531159853415053	0.764	0.063	8.390599719651227e-92	4.5480145086900686e-26	1.4975191361147931e-95
Tpx2	1.8660149777405265e-25	-8.441043524175267	0.783	0.117	4.182112768112068e-21	1.6311716454089906e-101	-7.153758533450542	0.941	0.153	3.6557818916906295e-97	7.609570398739172e-80	-14.395487797948125	0.952	0.247	1.705456917765423e-75	1.5764597207327771e-90	-14.159376012366618	0.927	0.104	3.5331615261063e-86	1.8660149777405265e-25	6.524686581636056e-101
Ckap2l	1.33062870049597e-24	-1.0987220159255013	0.609	0.067	2.982205043551568e-20	3.644566940582473e-72	1.0986465714350455	0.676	0.107	8.168203427233438e-68	1.2851363683090517e-82	-6.924065107994977	0.889	0.187	2.880247628654247e-78	2.9837806298341108e-61	-8.846792594250488	0.691	0.077	6.687249147584209e-57	1.33062870049597e-24	5.140545473236203e-82
Racgap1	3.948889648526016e-24	3.491162412968753	0.826	0.131	8.850251480276506e-20	3.083955393681018e-83	-2.5392100194144067	0.863	0.153	6.911760828317898e-79	2.7169462895730815e-73	-12.210187751672988	0.937	0.238	6.08922002419119e-69	3.090392074454636e-74	-22.866218209593995	0.909	0.114	6.92618671726773e-70	3.948889648526016e-24	1.2335821574724103e-82
Aspm	2.2075346075832577e-23	2.629917557575107	0.478	0.044	4.947526562515597e-19	8.203914749237808e-125	2.3222882286824422	0.755	0.079	1.8386613735991776e-120	1.7032494588209715e-99	1.4643437296368829	0.786	0.128	3.8173226871095616e-95	2.5426472534458152e-112	2.9912034249851587	0.764	0.053	5.698581024422761e-108	2.2075346075832577e-23	3.281565899695194e-124
Aurka	3.3905521340916606e-23	-3.499965426467849	0.652	0.081	7.59890544292623e-19	1.4366890792627607e-93	-5.96234548258626	0.755	0.107	3.2199075644437e-89	5.7359452504065595e-64	-4.417713517197903	0.786	0.184	1.2855400495211182e-59	5.672498243359003e-73	-2.6833658651703853	0.709	0.072	1.2713203063016196e-68	3.3905521340916606e-23	5.746756317051071e-93
Cdca8	4.32925549085261e-23	-23.71228885994256	1	0.256	9.70272740609887e-19	1.4272082821472331e-96	-14.604294527019615	1	0.197	3.198659201948379e-92	2.569463837755813e-75	-18.995408752632983	0.992	0.296	5.758682353178328e-71	3.649650892074172e-80	-39.789920737974064	1	0.141	8.179597579316635e-76	4.32925549085261e-23	5.708833128589014e-96
Hmmr	1.0270380949512243e-22	3.179286845434895	0.652	0.086	2.301797778404684e-18	1.2563598095129051e-115	-17.055400673894063	0.931	0.134	2.815753605080323e-111	4.4225779723647725e-89	-3.625532339439644	0.921	0.2	9.911881751663929e-85	1.2930618823101582e-111	-10.857343441961707	0.927	0.081	2.898010290633527e-107	1.0270380949512243e-22	5.025439238051567e-115
Pttg1	3.632428968396633e-22	-66.6391657752154	1	0.289	8.140999803970535e-18	2.379318168034403e-105	-1.0138585726540548	1	0.213	5.332527878198704e-101	1.1276444701324898e-87	5.5039042454043	1	0.299	2.5272767864609362e-83	6.678324479307949e-84	-1.522871243956068	0.982	0.137	1.4967460823024975e-79	3.632428968396633e-22	9.517272672137637e-105
Sh2d3c	5.9919406497411845e-22	0.6702771166280584	0.304	0.019	1.3429137384199943e-17	4.7029320360617084e-35	0.9703494455689397	0.275	0.036	1.05402112792215e-30	1.0458495777910407e-56	1.291786523310028	0.444	0.068	2.3439580737452806e-52	1.3934274840456226e-24	1.270600447053064	0.4	0.063	3.1229496772430497e-20	5.9919406497411845e-22	4.18339831116413e-56
Nde1	6.480780461839849e-22	3.110671525581016	0.696	0.107	1.452472517107547e-17	2.062803736556249e-91	3.126825778971487	0.863	0.162	4.623155734369865e-87	9.246648681614816e-73	2.6978997284362336	0.897	0.254	2.0723589025235123e-68	1.8195052348951625e-58	2.3969070210665473	0.927	0.172	4.077875132447038e-54	6.480780461839849e-22	8.251214946224912e-91
Tuba1c	3.825901399347639e-21	-21.88227804737227	0.696	0.106	8.574610216217928e-17	1.6803951536240456e-166	-1.380787994351861	0.931	0.1	3.7661016183022107e-162	4.223965584260674e-129	-5.793733324021115	0.992	0.192	9.466751667445021e-125	8.377976008947277e-85	-17.163341507286205	0.873	0.103	1.877671983125264e-80	3.825901399347639e-21	6.721580614496188e-166
Prc1	3.9920925712288524e-21	-9.960830238011225	0.696	0.103	8.947077870638104e-17	3.1029068133083797e-71	-36.49037079852391	0.833	0.155	6.954234749986741e-67	2.301406011450403e-64	-3.2095324131345038	0.929	0.248	5.157911152862644e-60	5.55800083700189e-58	-48.9220455075148	0.8	0.113	1.2456591475888635e-53	3.9920925712288524e-21	1.2411627253233457e-70
Dlgap5	1.0830995605520157e-20	2.8679316370274726	0.783	0.138	2.4274427351091775e-16	2.552526556061559e-91	2.285544456679653	0.863	0.153	5.720722517445166e-87	4.573860574588615e-97	1.394441567426954	0.944	0.22	1.0250936319768004e-92	1.3417760311881372e-85	-3.3765065653359025	0.891	0.106	3.007188441098853e-81	1.0830995605520157e-20	1.8295442298354752e-96
Cdca3	2.0657479657868604e-18	-4.954723138887713	0.826	0.164	4.6297543409215116e-14	1.1169786479917706e-72	-6.2010641253399434	0.873	0.169	2.5033725458791565e-68	1.7258043598502803e-59	-11.499866894531134	0.929	0.254	3.867872731296448e-55	3.803364823254634e-61	-22.807811023664684	0.818	0.11	8.524101241878286e-57	2.0657479657868604e-18	4.46791459196716e-72
Birc5	2.747411431981402e-18	-35.95954084834349	1	0.368	6.157498501356718e-14	5.6985465204404e-84	-15.966737560679327	0.99	0.234	1.2771582461611025e-79	4.565331176980862e-67	-34.14491029192817	1	0.352	1.0231820233849506e-62	1.437618423241877e-71	-20.223326108802574	1	0.158	3.221990410169695e-67	2.747411431981402e-18	2.279418608176186e-83
Trim59	3.069655220264465e-18	4.295881733908042	0.739	0.143	6.879711279656719e-14	3.1638906422387933e-44	-8.489111981100642	0.843	0.292	7.090911707385584e-40	4.159410298739476e-32	-0.5367958252861902	0.833	0.388	9.322070361534914e-28	1.489643574294771e-20	2.3665437649944634	0.764	0.262	3.3385891787094406e-16	3.069655220264465e-18	1.2655562568955239e-43
Gmfg	9.865453705932069e-18	-6.981302867926235	1	0.375	2.2110454845734955e-13	1.3700154308086851e-50	-97.87683252566157	0.99	0.87	3.070478583528425e-46	2.8346587855071684e-51	-38.54581314797263	0.992	0.784	6.353037270078666e-47	2.2576963541577234e-27	-21.043270943972374	1	0.713	5.0599490689382896e-23	9.865453705932069e-18	1.1338635142028742e-50
Msh5	1.5040184989477505e-17	3.122556501619641	0.478	0.059	3.3708062598416986e-13	3.114224195226771e-82	2.2922318325079516	0.598	0.075	6.979599266342239e-78	2.249080521813461e-64	1.414403824672229	0.603	0.111	5.040639265488329e-60	1.2166683964355386e-30	0.8053983579322176	0.382	0.047	2.726797210091329e-26	1.5040184989477505e-17	1.2456896780907052e-81
Cks2	1.9501335154640692e-16	-32.105895959100344	0.957	0.317	4.370639234858072e-12	9.4751616399816e-84	-38.862587396551334	1	0.247	2.1235732267526764e-79	4.269058545539252e-67	-57.315582512243466	1	0.362	9.567814012262572e-63	4.5533088554732005e-62	-4.35939536450919	1	0.203	1.0204875806886537e-57	1.9501335154640692e-16	3.790064655992656e-83
Ncapd2	3.291537459876391e-16	-0.6953321614772086	0.696	0.119	7.376993755074967e-12	1.2106158693689413e-33	-2.193829415178672	0.578	0.144	2.7132322864296716e-29	1.2904773273762294e-30	-1.791450431981593	0.627	0.209	2.892217786115605e-26	6.497262317205144e-29	-2.837326888257416	0.564	0.1	1.456166430532017e-24	3.291537459876391e-16	4.842463477475771e-33
Thy1	3.3554588971876216e-16	18.548222334805736	0.957	0.343	7.520254480376898e-12	3.119252486658141e-41	-50.82258280799212	0.971	0.605	6.990868673098226e-37	1.1350179104877617e-38	-45.40459401013286	0.984	0.66	2.5438021409851714e-34	1.2973106843294464e-21	-13.314795760746655	0.982	0.59	2.9075327057191555e-17	3.3554588971876216e-16	1.247700994663268e-40
Lsp1	6.379789422924838e-16	-5.697598963183442	1	0.406	1.4298384054659146e-11	1.6124840216359534e-40	-78.53037615274093	0.971	0.687	3.613899189290499e-36	1.861171814535438e-43	-89.64596781867779	0.984	0.709	4.171258270736824e-39	3.8153838326833476e-18	-31.673111358673427	0.982	0.657	8.551038245809919e-14	6.379789422924838e-16	7.444687258141815e-43
Ccdc77	8.032724890184753e-16	1.296242303452164	0.565	0.088	1.800294302388207e-11	4.495986364172987e-49	1.7699950336145838	0.48	0.077	1.0076404639384498e-44	2.8122575363146224e-29	0.7389357410634774	0.444	0.115	6.302831590388332e-25	2.2430250294663524e-21	0.6174205975825144	0.418	0.075	5.027067696039989e-17	8.032724890184753e-16	1.7983945456692104e-48
Sh2d1a	1.8020563478239392e-15	-41.57518330457964	0.913	0.308	4.0387686867430127e-11	2.7363941753198165e-41	-27.5128784698504	0.99	0.708	6.132806625726773e-37	6.23525596120592e-41	-24.426283129775037	0.976	0.676	1.3974455660254707e-36	1.2361486814821352e-18	8.585682418909471	0.945	0.6	2.7704564249377615e-14	1.8020563478239392e-15	1.0945576701279321e-40
Depdc1b	6.0163482082482645e-15	0.6796620678931731	0.304	0.028	1.348383960432601e-10	1.605441682712451e-21	0.3483038740057861	0.275	0.052	3.598115899295145e-17	2.6239288461362934e-42	0.7483904157295115	0.437	0.083	5.880749329960661e-38	7.805229836296068e-36	1.11752530928013	0.345	0.033	1.7493081109106747e-31	6.0163482082482645e-15	1.0495715384545268e-41
Cd247	1.51175859971343e-15	0.5314555327962793	0.913	0.303	3.3881533736777394e-11	2.7838972329975113e-29	-37.77634698056552	0.931	0.62	6.239270478594022e-25	3.445061967265517e-34	-10.119413256225261	0.944	0.632	7.721072881035476e-30	1.2153044204130249e-14	-3.906493617213732	0.927	0.586	2.7237402670296714e-10	1.2153044204130249e-14	1.3780247869062122e-33
H2afx	1.5035120428779867e-14	-54.298135799622806	0.913	0.383	3.369671190498144e-10	2.5366425366028973e-30	10.698725547997682	0.794	0.373	5.685123253034414e-26	7.574535916477215e-37	-5.585227052729948	0.865	0.465	1.6976049896008733e-32	4.4975200115721585e-15	-34.503269618311805	0.727	0.34	1.0079841849935522e-10	1.5035120428779867e-14	3.029814366590883e-36
Anxa2	1.7373270085260362e-14	-194.44628625425068	1	0.548	3.893697291508552e-10	2.593485323419081e-55	-124.15264118251662	0.99	0.625	5.812519306846843e-51	2.6023323895571657e-65	-34.89482083659222	0.992	0.611	5.83234735147552e-61	4.260602723620388e-34	-149.91737239971917	0.982	0.491	9.548862824178014e-30	1.7373270085260362e-14	1.0409329558228582e-64
Tacc3	2.4826806946672723e-14	-2.888326474740712	0.783	0.208	5.56418397288829e-10	1.1832648059564332e-102	-10.883482190876968	0.951	0.163	2.651933083109558e-98	9.751906580128168e-78	-1.6568713723544377	0.984	0.254	2.185597302738325e-73	5.0203437710688335e-61	-19.373111892818194	0.818	0.115	1.125159445971947e-56	2.4826806946672723e-14	4.73305922382573e-102
Lgals1	2.8922547444080494e-14	-473.03624409768014	0.913	0.319	6.48212133316732e-10	8.829860980338738e-52	-86.3153150413993	1	0.512	1.978948442913518e-47	2.149251939508339e-42	-165.69397522213936	0.992	0.579	4.816903446826089e-38	2.0725621096982818e-27	-712.526593633004	0.945	0.417	4.645026200255789e-23	2.8922547444080494e-14	3.531944392135527e-51
Gas2l3	6.708933249405349e-14	0.5004256120248932	0.217	0.016	1.5036061198567268e-9	4.041992511269942e-63	1.3966012604293114	0.373	0.037	9.058913616258195e-59	6.046742434447466e-50	1.6442872648504883	0.373	0.055	1.355195914408366e-45	3.791113502404006e-23	-1.650206062209227	0.273	0.032	8.496643581587858e-19	6.708933249405349e-14	1.6167970045079903e-62
Ube2s	7.984601912123402e-14	-57.658238969920944	1	0.794	1.7895089805450969e-9	2.5952681387308598e-51	-33.141498112111734	1	0.617	5.816514952523603e-47	3.440232145884686e-48	-122.8730642765405	1	0.71	7.710248285356758e-44	2.3410591945122107e-31	-73.45603501996055	1	0.652	5.2467818667407665e-27	7.984601912123402e-14	1.0381072554923456e-50
Emp3	9.46377607016828e-14	-105.99726293594291	0.913	0.283	2.121021492846115e-9	4.5224224438679914e-36	-15.525552013679496	0.882	0.387	1.0135653181196943e-31	5.038425620148476e-36	-9.002748213574453	0.944	0.461	1.1292119499876765e-31	2.0124139955055364e-20	-187.89581819855516	0.909	0.381	4.510222246727008e-16	9.46377607016828e-14	1.8089689775472147e-35
