gene	MRV_DoL6_p_val	MRV_DoL6_avg_log2FC	MRV_DoL6_pct.1	MRV_DoL6_pct.2	MRV_DoL6_p_val_adj	Mock_DoL6_p_val	Mock_DoL6_avg_log2FC	Mock_DoL6_pct.1	Mock_DoL6_pct.2	Mock_DoL6_p_val_adj	MRV_DoL4_p_val	MRV_DoL4_avg_log2FC	MRV_DoL4_pct.1	MRV_DoL4_pct.2	MRV_DoL4_p_val_adj	Mock_DoL4_p_val	Mock_DoL4_avg_log2FC	Mock_DoL4_pct.1	Mock_DoL4_pct.2	Mock_DoL4_p_val_adj	max_pval	minimump_p_val
Fau	2.6310561005736306e-16	-560.7025565785441	0.609	0.967	5.896722932605621e-12	4.426141665525693e-26	-503.34089715763724	0.614	0.976	9.919868700776183e-22	3.8437882615760707e-174	-646.8023342848985	0.636	0.955	8.61469825184429e-170	6.702571027184839e-203	-496.5266985495116	0.72	0.955	1.5021802186126662e-198	2.6310561005736306e-16	2.6810284108739175e-202
Cfl1	2.8571174000621336e-16	-199.44963420847878	0.5	0.932	6.403371517019254e-12	9.619528747520643e-21	-197.0334297278625	0.6	0.911	2.1559287828943265e-16	1.7141596020548762e-151	-281.7829554331007	0.558	0.93	3.8417745001253884e-147	4.3997922445335446e-176	-225.22442721710118	0.556	0.915	9.86081437844858e-172	2.8571174000621336e-16	1.759916897813471e-175
Rpl37a	3.711382221706799e-16	-545.7992997444915	0.587	0.964	8.317949835289277e-12	1.3894079081308616e-23	-539.8820091839567	0.643	0.978	3.113941003702887e-19	3.888245797369505e-175	-697.3002151187853	0.582	0.957	8.714336481064534e-171	8.320999678375256e-207	-739.3420258284865	0.645	0.957	1.8649024479174624e-202	3.711382221706799e-16	3.3283998713500716e-206
Rplp1	3.745307555688853e-16	-742.4724251298973	0.609	0.966	8.393983293809859e-12	4.261513635379933e-24	-428.04432802848214	0.514	0.954	9.550904359613505e-20	4.952920316792231e-161	-763.6641385904751	0.527	0.941	1.1100485013994748e-156	1.046752887257212e-192	-665.3220087094826	0.617	0.943	2.3459825709208635e-188	3.745307555688853e-16	4.187011549028946e-192
mt-Co1	3.7573417532369954e-16	-Inf	0.652	0.961	8.420954337354754e-12	3.162423103509486e-27	-Inf	0.671	0.98	7.08762265958546e-23	2.100879311306197e-175	-Inf	0.769	0.965	4.7084907124994485e-171	2.6218258437238694e-219	-Inf	0.835	0.974	5.876036080953936e-215	3.7573417532369954e-16	1.0487303374895507e-218
mt-Co2	3.8369229003131024e-16	-846.3557321575191	0.674	0.964	8.599311604181726e-12	2.9084852469997563e-26	-Inf	0.771	0.981	6.518497135575854e-22	4.8172297583516976e-179	-Inf	0.704	0.964	1.0796375334417824e-174	1.521623324353871e-223	-Inf	0.835	0.977	3.410262194541896e-219	3.8369229003131024e-16	6.086493297415297e-223
Rps3a1	4.1303776116446693e-16	-599.4722003009131	0.543	0.966	9.257002303218033e-12	5.992181555331625e-24	-662.2207367634471	0.786	0.982	1.3429677301809238e-19	1.2566069802969223e-162	-723.4407002987414	0.701	0.953	2.8163075642414623e-158	4.429072709563981e-195	-777.6686784681979	0.671	0.945	9.926437756674794e-191	4.1303776116446693e-16	1.7716290838255668e-194
Rplp0	4.709235767570636e-16	-299.574814742668	0.413	0.929	1.055433920227931e-11	1.90528762102672e-18	-354.3335458455089	0.557	0.902	4.2701306162450854e-14	2.4258189152436983e-165	-Inf	0.74	0.966	5.4367453528441765e-161	1.5336866669854236e-194	-Inf	0.702	0.961	3.4372985580477314e-190	4.709235767570636e-16	6.134746667941845e-194
Rpl23	4.710166627520066e-16	-715.070483363091	0.652	0.965	1.0556425445597971e-11	7.569562554069095e-24	-540.4219816515256	0.771	0.975	1.6964903596179655e-19	7.245160500157378e-158	-701.5495284094981	0.67	0.957	1.6237853712952716e-153	6.500379544515657e-186	-695.605273492591	0.698	0.951	1.456865063516849e-181	4.710166627520066e-16	2.6001518178062865e-185
Rps11	5.358604926992777e-16	-429.4435653469431	0.674	0.963	1.2009705362376212e-11	3.251414393478552e-26	-499.9870772579119	0.586	0.976	7.287069938664131e-22	1.340319225128883e-171	-635.2643367629415	0.603	0.952	3.0039234473588524e-167	2.1287532012860083e-201	-568.6609582743821	0.621	0.947	4.7709616747222017e-197	5.358604926992777e-16	8.515012805144233e-201
