gene	MRV_DoL6_p_val	MRV_DoL6_avg_log2FC	MRV_DoL6_pct.1	MRV_DoL6_pct.2	MRV_DoL6_p_val_adj	Mock_DoL6_p_val	Mock_DoL6_avg_log2FC	Mock_DoL6_pct.1	Mock_DoL6_pct.2	Mock_DoL6_p_val_adj	MRV_DoL4_p_val	MRV_DoL4_avg_log2FC	MRV_DoL4_pct.1	MRV_DoL4_pct.2	MRV_DoL4_p_val_adj	Mock_DoL4_p_val	Mock_DoL4_avg_log2FC	Mock_DoL4_pct.1	Mock_DoL4_pct.2	Mock_DoL4_p_val_adj	max_pval	minimump_p_val
Ccr9	4.23351198843928e-10	-3.2386258070409593	0.918	0.601	9.488147068490113e-6	1.3372210003964112e-13	-129.11090348431148	0.893	0.719	2.996979706088437e-9	3.363672668402408e-26	-158.61528318576046	0.993	0.695	7.538663184423477e-22	1.7711313669772853e-42	-84.75646663600656	0.988	0.744	3.9694596196694917e-38	4.23351198843928e-10	7.08452546790915e-42
Cd8b1	3.441890140724154e-11	-26.811849014559364	0.878	0.502	7.713964183390974e-7	2.8535123248720567e-8	-167.9583504760303	0.979	0.807	6.395291822503254e-4	8.979015604574689e-16	-111.28145524159764	1	0.741	2.0123769772972793e-11	3.206362954450975e-50	-39.605187762082636	1	0.695	7.186100653515525e-46	2.8535123248720567e-8	1.2825451817804032e-49
Hint1	1.752566362703756e-7	-182.80530748914873	0.837	0.881	0.0039278517320916586	1.2766389729420033e-10	-130.67650303594107	0.321	0.496	2.8612032661576176e-6	2.6833115172221097e-10	-173.26806043660426	0.442	0.592	6.013837772398192e-6	7.947173644248828e-9	-288.18833947818666	0.408	0.516	1.7811205571490474e-4	1.752566362703756e-7	5.106555890790122e-10
Dhfr	1.1995260053983522e-8	-23.935390107727045	0.184	0.629	2.688377683298787e-4	3.4483891748445186e-7	-9.634919872117953	0.021	0.157	0.007728529818661535	2.9154687326266496e-9	-12.6504785542775	0.022	0.236	6.534148523562848e-5	8.95434846661734e-8	-9.561115670569194	0.008	0.117	0.002006848578338278	3.4483891748445186e-7	1.1661874879506836e-8
Btg1	3.551256322685777e-7	-18.312282530981673	0.98	0.826	0.007959075670403363	4.758238820005333e-10	-75.6580960127962	0.968	0.835	1.0664164843395954e-5	5.046668648161865e-20	-100.26623182181757	1	0.807	1.1310593774260372e-15	6.358538534923628e-30	-49.1667769799114	0.984	0.808	1.4250756564470834e-25	3.551256322685777e-7	2.5434154139694544e-29
Gimap6	6.784902511676306e-7	-12.168111009759816	0.408	0.15	0.015206323509168937	3.946493088790562e-11	-7.404448941333792	0.519	0.29	8.844880310597409e-7	1.1886423198477012e-7	-2.436396035381896	0.536	0.308	0.002663985167242668	6.594303263274196e-13	-4.286907575090611	0.628	0.399	1.4779152473650129e-8	6.784902511676306e-7	2.6377213053070665e-12
Nhp2	2.743828604161881e-7	-45.00979963351324	0.245	0.614	0.006149468667647608	4.916293863598121e-7	-35.05595451638305	0.096	0.249	0.01101839780709611	7.478020837822527e-7	-56.58870782912791	0.188	0.365	0.016759740301727846	8.374596508535709e-8	-38.43113147344896	0.16	0.298	0.0018769145694930232	7.478020837822527e-7	3.3498381826111117e-7
Rfc4	9.843998767978832e-8	-19.956769475801106	0.265	0.631	0.002206237003879416	3.563686311648806e-10	-17.062261024250613	0.037	0.227	7.986933761667303e-6	3.159116470868235e-8	-37.71738813372469	0.123	0.323	7.080211834509889e-4	8.332302998481432e-7	-15.279039689483131	0.072	0.19	0.018674357480196586	8.332302998481432e-7	1.4254745238975333e-9
Themis	2.5079459708529993e-6	-2.10429104151224	0.673	0.354	0.05620808509875742	3.5768633799440286e-9	-62.049601276047326	0.765	0.601	8.016466207130556e-5	5.27058048821531e-6	-67.62425858071332	0.783	0.593	0.11812424990188153	2.6290050610547666e-31	-33.758924446481814	0.864	0.558	5.892126142835943e-27	5.27058048821531e-6	1.0516020244219065e-30
Ybx3	8.995954674834363e-6	-62.00452947724515	0.102	0.406	0.20161733617238775	6.4923815155824375e-6	-24.09551894920724	0.011	0.116	0.1455072545272336	1.2863326500876106e-8	-42.31675388428745	0.007	0.203	2.882928735376353e-4	5.770863204001236e-7	-28.896515583381053	0.032	0.14	0.012933658612807571	8.995954674834363e-6	5.1453305010713497e-8
