gene	MRV_DoL6_p_val	MRV_DoL6_avg_log2FC	MRV_DoL6_pct.1	MRV_DoL6_pct.2	MRV_DoL6_p_val_adj	Mock_DoL6_p_val	Mock_DoL6_avg_log2FC	Mock_DoL6_pct.1	Mock_DoL6_pct.2	Mock_DoL6_p_val_adj	MRV_DoL4_p_val	MRV_DoL4_avg_log2FC	MRV_DoL4_pct.1	MRV_DoL4_pct.2	MRV_DoL4_p_val_adj	Mock_DoL4_p_val	Mock_DoL4_avg_log2FC	Mock_DoL4_pct.1	Mock_DoL4_pct.2	Mock_DoL4_p_val_adj	max_pval	minimump_p_val
Ccr9	1.985531643237003e-21	1.5655919574684383	0.947	0.596	4.449973518822771e-17	1.7578673191927558e-31	-127.93071414088482	0.95	0.717	3.939732235774804e-27	6.713065219937557e-30	-148.86122011524185	0.977	0.696	1.5045321770924054e-25	2.3196085753319021e-63	-77.26722279582052	0.996	0.743	5.198706739033859e-59	1.985531643237003e-21	9.278434301327579e-63
Gimap6	5.054002364444817e-13	-9.312642261346566	0.411	0.147	1.1327030099193723e-8	2.2669676963287456e-25	-7.83109483759776	0.622	0.286	5.080728001011984e-21	2.8112316381269117e-31	-0.911061405716338	0.727	0.304	6.300532347370034e-27	1.9531099303457164e-36	-0.7693048158067199	0.744	0.394	4.3773099758908196e-32	5.054002364444817e-13	7.812439721382886e-36
Spc24	1.348029388302315e-10	-34.164744717183666	0.053	0.378	3.0212034650631486e-6	1.8129958982376247e-11	-27.009254570275154	0.025	0.22	4.0632864071301646e-7	5.0036461263553245e-11	-52.22379442225798	0.062	0.328	1.1214171698387554e-6	4.212530410128269e-9	-44.558325005677034	0.029	0.155	9.441123155179477e-5	4.212530410128269e-9	7.25198359275328e-11
Rfc4	8.798269232580723e-10	-18.032778745533463	0.347	0.633	1.9718681004059916e-5	1.189681956844532e-10	-17.060282612196385	0.04	0.228	2.666315201679965e-6	6.922394074681894e-10	-37.81017435728748	0.078	0.323	1.551446960017706e-5	7.711259235210134e-9	-15.339078538472226	0.058	0.19	1.7282474197952952e-4	7.711259235210134e-9	4.758727826528921e-10
Cenpw	3.030479295037407e-10	-22.269131356519402	0.242	0.541	6.791910196037836e-6	4.950632001213302e-12	-22.152008700501806	0.04	0.248	1.1095356441119252e-7	3.405864647947674e-10	-25.168099767106003	0.094	0.344	7.633223848980328e-6	1.2146344321640031e-8	-21.860266252610604	0.061	0.193	2.722238689365964e-4	1.2146344321640031e-8	1.9802528004706167e-11
Pgls	2.848822138550245e-8	-68.115421461979	0.463	0.688	6.384780176918809e-4	1.5384373492740924e-12	-68.66737505734912	0.358	0.549	3.447945787193096e-8	3.6272008882804944e-12	-69.67558283138388	0.359	0.596	8.129282630814244e-8	4.105549157033572e-13	-62.368299832503524	0.292	0.475	9.201356770743641e-9	2.848822138550245e-8	1.6422196628124162e-12
Rps27l	3.941394597569198e-10	-130.31824600730144	0.684	0.814	8.833453572072088e-6	1.9955648929950777e-13	-97.77628520259437	0.294	0.504	4.472460038180568e-9	3.643092930597838e-8	-137.48490704722497	0.484	0.609	8.164899876055875e-4	4.359752751778811e-8	-116.1576169859301	0.469	0.547	9.77107786728667e-4	4.359752751778811e-8	7.98225957197792e-13
Hist1h2ap	4.5555575281386676e-8	-409.68964709904185	0.095	0.369	0.001020991553206438	1.895632780478978e-17	-369.34564862230167	0.07	0.354	4.248492187609486e-13	4.820115266734461e-12	-Inf	0.234	0.502	1.0802842335805274e-7	1.0163497616068896e-9	-Inf	0.3	0.457	2.277843085713361e-5	4.5555575281386676e-8	7.582531121915888e-17
Cenpm	3.490300413267279e-8	-7.025805822727785	0.116	0.382	7.822461286214626e-4	9.46818402521803e-9	-4.466546113259099	0.01	0.158	2.122009403731865e-4	1.021216867556971e-9	-8.674743339425888	0.016	0.251	2.2887512435686836e-5	6.168998257240555e-8	-6.830592714676381	0.007	0.108	0.0013825958894127532	6.168998257240555e-8	4.0848674639705815e-9
Cdk1	6.224199328392397e-8	-51.57372545721	0.053	0.308	0.001394967553479304	2.736017819491478e-10	-39.9885562121264	0.025	0.203	6.1319631370443e-6	7.514319469323406e-11	-47.195463707885	0.047	0.309	1.6841092794647617e-6	7.26442610118128e-8	-44.568545983314905	0.025	0.134	0.0016281031777967486	7.26442610118128e-8	3.0057277873905684e-10
