gene	MRV_DoL6_p_val	MRV_DoL6_avg_log2FC	MRV_DoL6_pct.1	MRV_DoL6_pct.2	MRV_DoL6_p_val_adj	Mock_DoL6_p_val	Mock_DoL6_avg_log2FC	Mock_DoL6_pct.1	Mock_DoL6_pct.2	Mock_DoL6_p_val_adj	MRV_DoL4_p_val	MRV_DoL4_avg_log2FC	MRV_DoL4_pct.1	MRV_DoL4_pct.2	MRV_DoL4_p_val_adj	Mock_DoL4_p_val	Mock_DoL4_avg_log2FC	Mock_DoL4_pct.1	Mock_DoL4_pct.2	Mock_DoL4_p_val_adj	max_pval	minimump_p_val
Cks1b	1.3609543723915084e-10	-27.745437930731022	0.178	0.557	3.0501709394038485e-6	1.001098082166987e-10	-43.557559532531045	0.08	0.293	2.243661021752651e-6	1.5260040623540011e-9	-63.613923351048825	0.127	0.398	3.420080304547787e-5	2.3507064706082282e-11	-33.332908934123665	0.126	0.315	5.268403341927161e-7	1.5260040623540011e-9	9.40282588210136e-11
Top2a	1.0803844111297554e-8	-68.24379596688028	0.041	0.375	2.4213575422240077e-4	3.827033632620223e-12	-90.0707511621829	0.023	0.25	8.577147777428443e-8	5.594132911390423e-10	-264.18748127880946	0.108	0.392	1.2537570681008216e-5	5.547900543581618e-10	-314.28576922992784	0.05	0.21	1.2433954698275121e-5	1.0803844111297554e-8	1.5308134530392986e-11
Tuba1b	8.395993061437808e-10	-199.6501765281858	0.548	0.752	1.8817099649294414e-5	2.649676095092368e-9	-190.50064807258306	0.171	0.356	5.938454064321015e-5	6.251677992644838e-9	-281.6381155826538	0.382	0.577	1.401126071711561e-4	3.0316315930793444e-8	-211.07791594599342	0.303	0.427	6.794492726409426e-4	3.0316315930793444e-8	3.3583972203455633e-9
Cenpw	7.647970249499177e-8	-22.70044566153211	0.26	0.539	0.0017140630923177557	1.3503674092657389e-8	-22.080210067577703	0.069	0.246	3.026443437646374e-4	7.792830692224399e-10	-25.238219923636645	0.059	0.343	1.7465292147413323e-5	7.05738541849371e-8	-21.898572160297732	0.059	0.193	0.0015817012199928105	7.647970249499177e-8	3.117132273246066e-9
Cenpm	3.2910108357493766e-8	-7.17614428916013	0.068	0.381	7.375813485081502e-4	1.354837382373812e-8	-4.484792229058203	0	0.157	3.0364615413761877e-4	8.325104153876768e-8	-8.65873044533519	0.02	0.25	0.0018658223429668611	8.712295038912828e-8	-6.841957791399413	0	0.108	0.001952599564121143	8.712295038912828e-8	5.419349419360198e-8
Rgs10	1.0900288864698665e-7	-20.26842333886799	0.671	0.42	0.002442972740356265	9.639179736315819e-34	-32.06118441370697	0.954	0.67	2.1603329625031014e-29	9.199048524551877e-13	-61.48349822659962	0.902	0.675	2.0616907553225665e-8	1.6490158146969792e-31	-51.0999929012343	0.924	0.636	3.69577424389887e-27	1.0900288864698665e-7	3.8556718945263535e-33
Arap2	1.3240769078938065e-7	-0.37816966057260615	0.671	0.409	0.002967521165971599	8.0456151678433055e-19	-6.5814674833741655	0.48	0.21	1.8031832714170417e-14	2.6071379581490595e-26	-2.356619093345281	0.696	0.245	5.843117591803672e-22	7.002998557710781e-38	-16.16138329692537	0.714	0.345	1.56951203675414e-33	1.3240769078938065e-7	2.801199423084328e-37
Birc5	3.567607518995671e-7	-73.084018954462593	0.096	0.378	0.007995721971573097	4.320541566980852e-11	-64.11416400780008	0.04	0.253	9.683197759917485e-7	1.6665696644732603e-9	-87.81141784679508	0.098	0.37	3.735115932017471e-5	3.4386712762022087e-9	-60.616330482551575	0.025	0.167	7.70675006422439e-5	3.567607518995671e-7	1.7282166266803375e-10
Hint1	4.616432890395458e-7	-193.24121595096375	0.836	0.881	0.010346349393954301	3.036513636762044e-11	-130.79290530119465	0.297	0.496	6.805434362711093e-7	7.119359433399762e-10	-175.98542148844942	0.382	0.592	1.5955908362135546e-5	1.507580390880576e-11	-288.5117770564482	0.361	0.517	3.378789172041547e-7	4.616432890395458e-7	6.030321563385945e-11
Hmgb1	9.778614162409386e-8	-193.64954732114126	0.932	0.929	0.0021915830060791914	1.5862186999801656e-18	-427.2563093097823	0.977	0.949	3.555033350395547e-14	4.873743702477084e-7	-585.6636043922128	0.951	0.909	0.010923034385991641	1.2819220008881021e-9	-555.8221618825075	0.962	0.894	2.8730435883904143e-5	4.873743702477084e-7	6.344874799920628e-18
Clspn	1.212196816674778e-6	-18.50751512641462	0	0.249	0.027167755055315122	1.3044149364718438e-7	-20.663489403307686	0.029	0.18	0.002923454755620696	6.422947066831382e-8	-23.925874132481372	0.029	0.264	0.0014395108966182494	5.566253373937271e-7	-28.701010816779952	0.021	0.129	0.012475087061668211	1.212196816674778e-6	2.5691785792070677e-7
Rfc4	1.64916388035599e-6	-17.004699734077462	0.397	0.63	0.03696106088653845	5.425397358424194e-9	-17.040085325897053	0.046	0.227	1.2159400559700305e-4	4.053505769832447e-8	-37.80305987546588	0.078	0.322	9.084717131348479e-4	2.908367680224949e-7	-15.295449680941724	0.063	0.19	0.006518233644920156	1.64916388035599e-6	2.170158925708719e-8
Idi1	2.10891870076229e-6	-30.467209552319865	0.205	0.464	0.04726508592148445	1.963721217490856e-7	-19.471056396498735	0.057	0.217	0.0044010919926405065	8.82839574061499e-8	-29.375175723902444	0.069	0.308	0.0019786200533866314	1.760125993218284e-6	-25.895507218549042	0.038	0.146	0.03944794376000818	2.10891870076229e-6	3.5313578286025915e-7
