gene	MRV_DoL6_p_val	MRV_DoL6_avg_log2FC	MRV_DoL6_pct.1	MRV_DoL6_pct.2	MRV_DoL6_p_val_adj	Mock_DoL6_p_val	Mock_DoL6_avg_log2FC	Mock_DoL6_pct.1	Mock_DoL6_pct.2	Mock_DoL6_p_val_adj	MRV_DoL4_p_val	MRV_DoL4_avg_log2FC	MRV_DoL4_pct.1	MRV_DoL4_pct.2	MRV_DoL4_p_val_adj	Mock_DoL4_p_val	Mock_DoL4_avg_log2FC	Mock_DoL4_pct.1	Mock_DoL4_pct.2	Mock_DoL4_p_val_adj	max_pval	minimump_p_val
Cd8b1	6.984550073579182e-19	-30.016799502479003	0.829	0.493	1.565377362490566e-14	1.0105308408775497e-31	-164.35590376515597	0.992	0.796	2.2648017205747643e-27	3.936741319805198e-29	-145.5253189266874	1	0.734	8.823024645947409e-25	2.2341542478205011e-38	-83.37149863363737	0.978	0.692	5.007186500215307e-34	6.984550073579182e-19	8.936616991281981e-38
Endou	5.862672736413737e-16	-2.5266586173693395	0.397	0.149	1.3139422136850468e-11	1.4417359681658555e-17	-46.271165726650445	0.702	0.494	3.2312186518533155e-13	2.8998856307934585e-17	-23.96413797599071	0.797	0.483	6.4992236757343e-13	5.448713012665404e-34	-3.8124030390655035	0.608	0.292	1.2211655603985703e-29	5.862672736413737e-16	2.179485205066158e-33
Gtf2h4	6.449594855161128e-13	-20.781183634946462	0.925	0.725	1.4454831989387121e-8	2.0357551229627984e-18	-156.43044448030153	0.992	0.828	4.5625343815842235e-14	2.0911689554675502e-18	-112.41251892736581	0.997	0.758	4.6867278629938733e-14	8.5712718047936e-30	-64.69456345379476	0.964	0.688	1.9209934368903417e-25	6.449594855161128e-13	3.4285087219174685e-29
Anxa2	1.2314547513128878e-9	-212.686245800773	0.74	0.543	2.7599363886424442e-5	3.822111444499699e-15	-154.45358240323614	0.865	0.61	8.566116169412725e-11	4.4001211395394586e-11	-93.21711434979329	0.906	0.604	9.861551497935835e-7	1.1134350709335545e-33	-177.75065524175056	0.814	0.48	2.4954306809762823e-29	1.2314547513128878e-9	4.453740283734214e-33
Dntt	1.4381294244489911e-9	-12.506007145456387	0.644	0.468	3.223135666075079e-5	1.024106662401859e-8	-46.34964112398222	0.586	0.427	2.2952278517750465e-4	2.7184834116139588e-11	-12.936756246493012	0.57	0.367	6.092665022109205e-7	1.0440681551882898e-18	-18.812715058680862	0.542	0.31	2.339965549407995e-14	1.024106662401859e-8	4.176272620753135e-18
Dad1	2.9512437045746443e-8	-51.65311144136929	0.897	0.757	6.614327390692693e-4	6.895831450376198e-12	-46.01742403402248	0.529	0.602	1.5454937446583135e-7	2.7943976645008268e-11	-29.674104665386714	0.57	0.653	6.262804045679253e-7	1.5823260464305722e-9	-34.15564258691372	0.564	0.614	3.5463091352601986e-5	2.9512437045746443e-8	2.7583325801219504e-11
Chrna9	1.419028965192278e-7	4.657798326233151	0.527	0.323	0.0031803277167889335	6.9057070439726285e-9	-42.78412813309503	0.644	0.523	1.5477070626951456e-4	9.111514388590089e-12	-15.287093857814622	0.724	0.508	2.0420726047708108e-7	6.421395342295818e-19	-3.492509748003938	0.682	0.438	1.4391631241153386e-14	1.419028965192278e-7	2.568558136918327e-18
Gmfg	5.6738103885268925e-12	-29.490015318701136	0.644	0.368	1.2716143842766472e-7	7.309168291247749e-9	-118.70095309450497	0.97	0.863	1.6381307974344455e-4	1.545956598882841e-7	-56.28566314589089	0.969	0.779	0.0034647979294162236	2.6212505962011365e-14	-34.403706283499574	0.921	0.706	5.874746836205987e-10	1.545956598882841e-7	1.0485002384804127e-13
Dctpp1	1.632533162112815e-7	-64.97613392672048	0.589	0.697	0.003658833322927241	2.7756256079016387e-27	-39.95142530791987	0.056	0.271	6.220732112429153e-23	1.1009473089232124e-21	-63.72068219995012	0.105	0.366	2.4674431087587036e-17	1.4560090349482634e-13	-38.03202139803602	0.112	0.274	3.263207449126048e-9	1.632533162112815e-7	1.110250243160652e-26
Cd8a	8.425070483940878e-14	-26.964608619688473	0.849	0.588	1.8882267968608297e-9	1.1786424369421906e-6	-146.51399422694908	0.954	0.792	0.026415734296748376	1.3361808269163968e-7	-77.49056871932527	0.969	0.732	0.0029946484692850283	4.1010204980587276e-24	-54.56001187519726	0.97	0.682	9.191207140249221e-20	1.1786424369421906e-6	1.6404081992234846e-23
Rag1	3.478325540216148e-8	-11.39359966975244	0.5	0.274	7.795623200732431e-4	1.3391830670123854e-6	-135.8654296129963	0.825	0.642	0.030013770897881584	9.580463158996207e-11	-180.2326294226494	0.899	0.639	2.14717340319423e-6	3.867213645918319e-18	-51.71192102105471	0.871	0.568	8.667199223232136e-14	1.3391830670123854e-6	1.5468854583673223e-17
Spcs2	2.087033240449975e-6	-70.44833566387548	0.884	0.769	0.046774588984964845	3.6179375651366124e-10	-43.003192637234335	0.678	0.724	8.108521670984176e-6	1.8796916640938182e-7	-61.85340605644617	0.787	0.729	0.0042127649575670655	1.2117427416247245e-7	-28.512728038151863	0.71	0.691	0.0027157578325293324	2.087033240449975e-6	1.447175025269276e-9
Bst2	8.754244934015037e-10	-381.59443576349753	0.973	0.831	1.9620013746114502e-5	9.379421547405938e-7	-82.63926759847928	0.058	0.131	0.02102115957204619	9.988831978217224e-8	-222.75114826679308	0.21	0.337	0.0022386970229580443	3.026766027236775e-6	-82.0484365964861	0.044	0.123	0.0678358802024306	3.026766027236775e-6	3.5016979690078116e-9
Set	3.840025505556083e-6	-208.78129765722215	0.849	0.831	0.08606265163052294	1.1005981436327276e-31	-224.51390316747054	0.354	0.556	2.466660559509669e-27	4.3776888216317233e-23	-297.1397048248326	0.507	0.657	9.811276187041018e-19	1.1914728664594453e-22	-172.9977349850442	0.504	0.642	2.670328988308909e-18	3.840025505556083e-6	4.402392574530935e-31
Samd1	1.1063971047925243e-5	-1.4007666306931261	0.082	0.238	0.24796571912610055	6.375612646920521e-19	-5.46366325849115	0.01	0.156	1.428902306427827e-14	6.766931121572007e-17	-6.8843416771439845	0.017	0.225	1.5166046029667183e-12	4.807609393427992e-14	-5.009226874344263	0.011	0.154	1.0774814172550816e-9	1.1063971047925243e-5	2.550245058768191e-18
Arpp21	1.1337419509011203e-5	-12.569972347434183	0.637	0.439	0.2540942460359591	1.588528735569482e-5	-73.65791354685584	0.855	0.674	0.3560210602158323	1.4343877745292701e-6	-77.88099573812603	0.902	0.632	0.03214749880275	3.78787286175892e-18	-30.227026454341527	0.874	0.54	8.489380657774091e-14	1.588528735569482e-5	1.5151491447035662e-17
Mdh1	1.8701324506802674e-5	-19.90185694131494	0.842	0.678	0.41913408484646153	2.2239665194696137e-12	-49.3025735012677	0.451	0.538	4.984353763435298e-8	6.176540202267305e-11	-96.69989695825294	0.566	0.611	1.3842861901321485e-6	7.871662407668705e-9	-35.3816571196826	0.449	0.533	1.76419697880671e-4	1.8701324506802674e-5	8.895866077848772e-12
Ly6d	2.339076530616759e-13	-5.784027652555494	0.308	0.113	5.242338320418281e-9	1.6483623154804136e-11	-46.779177720517495	0.161	0.076	3.694309621454703e-7	1.940236822019276e-5	-63.49303256770472	0.182	0.106	0.43484587655096013	7.342050318315557e-6	-211.76727426354648	0.118	0.06	0.16455003173408828	1.940236822019276e-5	9.356306122463767e-13
Dek	2.386022307665072e-5	-55.56165128804223	0.753	0.765	0.534755319593896	5.444087511435727e-28	-76.46868494584342	0.217	0.433	1.2201288930629752e-23	1.10284423834279e-23	-182.429391061083	0.357	0.572	2.471694506973861e-19	1.013126659779681e-15	-177.17830160291606	0.364	0.513	2.270619469898221e-11	2.386022307665072e-5	2.17763500457429e-27
Cdk2ap1	2.7062791333044915e-5	-10.1665680840935	0.322	0.479	0.6065312793562027	1.3163999486805067e-20	-19.069334962730043	0.097	0.279	2.9503155649827514e-16	2.7408358222170122e-18	-30.062204345413516	0.157	0.39	6.142761244752768e-14	1.8205731303637866e-10	-36.99831190887253	0.145	0.285	4.080268499771318e-6	2.7062791333044915e-5	5.265599794722026e-20
Cdk2ap2	3.9018075772685006e-5	-24.637917634804467	0.521	0.349	0.8744731142174164	7.327173524125888e-9	-7.105425109861169	0.189	0.296	1.642166130227094e-4	3.805103709089202e-8	-29.240743914149572	0.308	0.43	8.527998432810719e-4	8.209283845165768e-12	-23.475220422151914	0.214	0.363	1.8398646953785517e-7	3.9018075772685006e-5	3.2837135380258715e-11
Tmed2	4.4405665350106566e-5	-34.737402390857035	0.904	0.773	0.9952197718265884	3.692708004488422e-8	-31.48417108431121	0.6	0.625	8.276097179659451e-4	7.676974205433142e-10	-30.782604878118676	0.678	0.69	1.720563458921676e-5	6.076112762674921e-7	-26.049598228088733	0.668	0.669	0.013617783923707032	4.4405665350106566e-5	3.0707896786370976e-9
Nop58	5.836230886773186e-5	-49.02369949501181	0.411	0.555	1	2.946840669843167e-18	-42.549821896971295	0.103	0.273	6.604459309252507e-14	1.0915285457678388e-23	-65.62441918223077	0.091	0.374	2.4463337767748805e-19	1.333354490649676e-16	-35.96849611318098	0.104	0.293	2.9883140844440537e-12	5.836230886773186e-5	4.366114183071348e-23
Sec11a	5.8400601971251515e-5	-15.339797238956592	0.801	0.657	1	1.3750117883167746e-5	-12.31042209574466	0.491	0.531	0.30816764199755553	4.975496576225625e-9	-14.940381522347758	0.479	0.569	1.115108292663687e-4	2.2865548403350795e-9	-13.20795283984593	0.416	0.51	5.12462670815898e-5	5.8400601971251515e-5	9.146219329970322e-9
Taldo1	5.895975548976093e-5	-65.74357737767632	0.863	0.712	1	2.0534936608555196e-5	-41.37452688790372	0.594	0.612	0.460228999270939	9.450307798850144e-7	-40.45411859035159	0.678	0.669	0.021180029838782942	5.733894377521715e-6	-30.235941870021577	0.581	0.603	0.12850804078901668	5.895975548976093e-5	3.7801177610443845e-6
Ctsl	7.764248117933581e-5	-Inf	0.932	0.807	1	1.2179306603627295e-7	-Inf	0.976	0.855	0.0027296261960049494	3.2823009596260024e-8	-Inf	0.979	0.81	7.356292910713797e-4	3.929932142502826e-12	-Inf	0.956	0.754	8.807763917777333e-8	7.764248117933581e-5	1.571972856991863e-11
Cdc26	3.8289128399505647e-5	-3.712171129143342	0.637	0.467	0.8581359456897205	1.092523176019007e-5	-22.526746570798927	0.358	0.429	0.24485629420937988	9.69261561421868e-5	-13.061682020482086	0.42	0.484	1	7.333426715994903e-5	-8.407640251276787	0.356	0.431	1	9.69261561421868e-5	4.370021088184238e-5
Ostc	1.2931410169801637e-6	-48.81476876207013	0.849	0.73	0.02898187647255943	1.328904674594971e-7	-30.724154561985394	0.513	0.556	0.002978341156702249	1.1138361453179387e-4	-28.70695717962632	0.647	0.613	1	4.060520629528782e-6	-50.109238752846096	0.564	0.576	0.09100438834899906	1.1138361453179387e-4	5.315617638787403e-7
Zmynd19	1.2211342574683568e-4	-3.1144369591302423	0.185	0.321	1	1.4219965449176345e-10	-1.9592677600263253	0.014	0.102	3.1869786564694026e-6	1.0027977135322018e-8	-4.142354698379836	0.049	0.177	2.2474702355683709e-4	1.2376551522809606e-8	-18.603576447861997	0.022	0.118	2.7738327272920887e-4	1.2211342574683568e-4	5.687986178457285e-10
