gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Gm26225	2.1758742117003837e-9	-14.337614634128515	0	0.148	4.351748423400767e-6
Hba-a1	2.184795417360087e-9	-18.030230880644385	0.045	0.214	4.369590834720174e-6
Spc25	2.1978353482881225e-9	-14.437902444183168	0.045	0.183	4.395670696576245e-6
Trav6-7-dv9	2.2968007420983725e-9	-15.194400210986194	0	0.136	4.593601484196745e-6
Tnf	2.365175146153474e-9	-14.451513727179252	0	0.133	4.730350292306948e-6
Tubg2	2.372208437474282e-9	-13.927575358963653	0	0.222	4.744416874948564e-6
Cd200r1	2.387222412055529e-9	-13.51435532307655	0	0.124	4.774444824111058e-6
Pbld1	2.4023291744295333e-9	-15.203144392292986	0	0.189	4.804658348859067e-6
Itpkb	2.4244888893157827e-9	-6.898656896305277	0	0.314	4.848977778631566e-6
Patl2	2.4328220502734764e-9	-14.282023313301767	0	0.146	4.865644100546953e-6
Irf6	2.4328220502734764e-9	-13.160244083270172	0.045	0.135	4.865644100546953e-6
Wdr12	2.4659766137557708e-9	-9.703586970364027	0	0.337	4.931953227511541e-6
Zfp202	2.4977188118065494e-9	-13.510034079380366	0	0.136	4.995437623613099e-6
Ccl12	2.5177010800558603e-9	-14.425649629571001	0	0.117	5.0354021601117206e-6
Col6a1	2.5482027178677386e-9	6.675655088594183	0.864	0.079	5.096405435735477e-6
Trav10	2.5647754349528072e-9	-15.13517893031008	0	0.14	5.129550869905614e-6
Pdpn	2.6369981829880428e-9	9.12141498028995	0.864	0.104	5.273996365976085e-6
Bcam	2.698693470514741e-9	7.440550994026422	0.864	0.104	5.397386941029482e-6
Iqch	2.705690257267869e-9	-14.89555516040413	0	0.171	5.411380514535738e-6
Serpinf2	2.7076925818235045e-9	-13.224808476204828	0	0.254	5.415385163647009e-6
Myadm	2.734106949130567e-9	9.026869650218654	0.864	0.043	5.468213898261134e-6
Enpp2	2.928867061091584e-9	7.776200782370655	0.864	0.091	5.857734122183168e-6
Mpo	2.9288670611134655e-9	-13.073352052015565	0.091	0.172	5.857734122226931e-6
Trbv19	2.9489341343200066e-9	-14.615707215869044	0	0.222	5.897868268640013e-6
Cnbd2	2.9702308332008785e-9	-14.751290500769661	0	0.19	5.940461666401757e-6
Tnnc1	3.0082770488816346e-9	-13.273505564855013	0	0.173	6.016554097763269e-6
Gm23458	3.2146051717778615e-9	-13.532163345346364	0.045	0.164	6.429210343555723e-6
Ptms	3.2276512790868232e-9	-5.5429408712289305	0.955	0.373	6.455302558173647e-6
Agfg2	3.278542752736416e-9	-8.31288038726338	0	0.346	6.557085505472831e-6
Pou4f1	3.3308277387364903e-9	-13.684997450639699	0.045	0.17	6.661655477472981e-6
Abhd15	3.398263116773805e-9	-14.44201642627589	0	0.187	6.79652623354761e-6
Prss2	3.615936575126764e-9	-16.172448432047947	0	0.188	7.231873150253528e-6
B230217C12Rik	3.755195739588339e-9	-14.320614223891488	0.045	0.106	7.510391479176678e-6
Gm21897	3.826067735411526e-9	-14.287518164321957	0.045	0.167	7.652135470823052e-6
Nupr1	3.867655529506551e-9	7.795163554569237	0.864	0.11	7.735311059013103e-6
Ubd	3.892533597834551e-9	-14.560586080646187	0.045	0.164	7.785067195669103e-6
Ccnb2	3.901099024698582e-9	-10.68322786147988	0.091	0.223	7.802198049397165e-6
Cxcl16	3.919720431423885e-9	-1.2619974062871577	0.864	0.095	7.83944086284777e-6
Copz2	4.02001463687977e-9	-3.4611043450163095	0.864	0.088	8.040029273759541e-6
Trp53inp1	4.021486382419188e-9	-7.580558581008078	0	0.367	8.042972764838377e-6
Arhgef9	4.059193141719646e-9	-14.284210022818248	0.045	0.187	8.118386283439293e-6
Ms4a6c	4.093498970767838e-9	-16.179413270878303	0.045	0.13	8.186997941535676e-6
Prrt1	4.185090009108765e-9	-4.978645417924268	0.045	0.301	8.37018001821753e-6
Mfsd2b	4.18662054104594e-9	-13.821917737083123	0	0.127	8.373241082091879e-6
Hist1h4d	4.2027240607919105e-9	-17.105617245071425	0.045	0.215	8.405448121583821e-6
Adat1	4.2212019048208285e-9	-14.444174625653917	0	0.207	8.442403809641658e-6
Birc5	4.2786743732041965e-9	-14.963117638920101	0.091	0.238	8.557348746408392e-6
Pirb	4.32741224523308e-9	-13.767159991707587	0.045	0.129	8.65482449046616e-6
Bcl2a1a	4.328203191504704e-9	-14.757088078180718	0.045	0.158	8.656406383009409e-6
B430306N03Rik	4.332157862040573e-9	-14.732808451823477	0	0.127	8.664315724081145e-6
Nwd1	4.710573965472398e-9	-14.505429940265193	0	0.116	9.421147930944797e-6
Nrap	4.746763925595176e-9	-12.163195093973034	0	0.189	9.493527851190353e-6
Jun	4.776259446879784e-9	2.9729219330655354	0.864	0.152	9.552518893759567e-6
C130026I21Rik	4.844600010546602e-9	-14.40767484716804	0.045	0.274	9.689200021093204e-6
5830411N06Rik	4.9129972697836165e-9	-14.146034761654718	0	0.168	9.825994539567234e-6
Gm23205	5.004139122114336e-9	-13.577219393181927	0	0.181	1.0008278244228672e-5
Akap12	5.0738037295912035e-9	6.4183929808256455	0.864	0.174	1.0147607459182407e-5
Nfe2l3	5.144411608874211e-9	6.578851376919218	0.864	0.093	1.0288823217748423e-5
Utf1	5.312579299073862e-9	-13.752329686760142	0.091	0.135	1.0625158598147725e-5
Zfp558	5.488083526215188e-9	-7.624724248626555	0.045	0.178	1.0976167052430375e-5
Dbx2	5.576420186691671e-9	-14.801151263797006	0	0.181	1.1152840373383342e-5
Trbv13-3	5.589586634136637e-9	-14.917434671192579	0	0.189	1.1179173268273274e-5
Hist1h1d	5.720850925919484e-9	-13.83910667254108	0.091	0.187	1.1441701851838967e-5
Impg2	5.770844127384364e-9	-14.889853819852513	0	0.188	1.1541688254768729e-5
Alas2	5.828650571605978e-9	-17.14760277348196	0.091	0.133	1.1657301143211957e-5
Clk3	5.8413375405317955e-9	-4.352762199828725	0.045	0.369	1.1682675081063592e-5
Ccnd3	6.145110474616532e-9	-5.925266114810606	0	0.441	1.2290220949233064e-5
Trav15-1-dv6-1	6.220046495081052e-9	-10.434000631808331	0.045	0.189	1.2440092990162104e-5
Trav5-1	6.400298008010685e-9	-15.537105788020478	0	0.147	1.280059601602137e-5
Prodh	6.501708353561083e-9	-8.523381192426639	0	0.194	1.3003416707122165e-5
Auts2	6.570182656429404e-9	2.2915493012562216	0.864	0.102	1.3140365312858808e-5
Bcl2a1b	6.629774252887437e-9	-16.01288098151003	0.045	0.109	1.3259548505774874e-5
Tm4sf5	6.975842942348637e-9	8.711070895485099	0.818	0.134	1.3951685884697273e-5
Loxl2	6.997257466475981e-9	5.295183467266414	0.818	0.191	1.3994514932951963e-5
H2afx	7.102732150601208e-9	-13.828090589880652	0.045	0.265	1.4205464301202415e-5
Ciart	7.1851162114904595e-9	-14.087813663761272	0	0.185	1.437023242298092e-5
Ptn	7.218849521065687e-9	4.671362065049934	0.818	0.079	1.4437699042131374e-5
Id3	7.581114311940973e-9	5.390496518810547	0.864	0.302	1.5162228623881945e-5
Trav19	7.618024212598487e-9	-14.810020116773513	0	0.17	1.5236048425196974e-5
Phxr2	7.685455667529912e-9	-14.907821017613657	0	0.202	1.5370911335059826e-5
Nox1	7.693751612831376e-9	-7.098976348269994	0.045	0.203	1.5387503225662753e-5
Tas1r3	7.824875766979598e-9	-1.121641114406989	0.045	0.216	1.5649751533959195e-5
Fibcd1	7.884163103383723e-9	-13.090970557270984	0	0.121	1.5768326206767448e-5
Bcl2a1d	8.019882012382037e-9	-15.52637338021292	0.045	0.123	1.6039764024764075e-5
Atp2a1	8.073352997406993e-9	-14.970639405288283	0	0.21	1.6146705994813985e-5
Xkr6	8.191623130573364e-9	-14.53569241587907	0	0.212	1.6383246261146727e-5
Fes	8.232897414493409e-9	-12.5173052081645	0.091	0.109	1.6465794828986817e-5
Clec4a1	8.305615224367993e-9	-14.454160532426194	0	0.101	1.6611230448735985e-5
Klhdc8a	8.320531166177644e-9	-0.9069701815417375	0.091	0.133	1.6641062332355286e-5
Il17re	8.437779069041503e-9	-6.4075569215473	0.773	0.115	1.6875558138083006e-5
Rel	8.43929345593241e-9	-14.47391416389074	0.045	0.146	1.687858691186482e-5
Kcnj13	8.521418754321272e-9	-14.166314295181525	0	0.193	1.7042837508642543e-5
Trav16d-dv11	8.860933045728391e-9	-14.938358452873818	0	0.214	1.7721866091456784e-5
Tacc3	9.225130149256352e-9	-11.035850542395233	0.136	0.204	1.8450260298512706e-5
Hbq1b	9.264826014557682e-9	-14.125147684659206	0.045	0.191	1.8529652029115364e-5
Trbv17	9.299696067185616e-9	-15.304607672266847	0	0.183	1.859939213437123e-5
A830005F24Rik	9.433706867187358e-9	-14.980648194553472	0	0.181	1.8867413734374716e-5
Jarid2	9.463270285854158e-9	-7.54577184874087	0	0.283	1.8926540571708315e-5
