gene	MRV_DoL6_p_val	MRV_DoL6_avg_log2FC	MRV_DoL6_pct.1	MRV_DoL6_pct.2	MRV_DoL6_p_val_adj	Mock_DoL6_p_val	Mock_DoL6_avg_log2FC	Mock_DoL6_pct.1	Mock_DoL6_pct.2	Mock_DoL6_p_val_adj	MRV_DoL4_p_val	MRV_DoL4_avg_log2FC	MRV_DoL4_pct.1	MRV_DoL4_pct.2	MRV_DoL4_p_val_adj	Mock_DoL4_p_val	Mock_DoL4_avg_log2FC	Mock_DoL4_pct.1	Mock_DoL4_pct.2	Mock_DoL4_p_val_adj	max_pval	minimump_p_val
Stmn1	5.235263472403938e-36	-86.65363044187043	1	0.818	1.1733272494351706e-31	7.452048986933526e-54	-166.44118477004181	1	0.637	1.6701532189515418e-49	2.222554155140067e-44	-178.11741064698555	1	0.713	4.981188372499918e-40	3.277901964471789e-45	-449.35163963037166	1	0.629	7.346433882774174e-41	5.235263472403938e-36	2.9808195947734052e-53
Ptma	7.238200168920077e-35	-Inf	1	0.976	1.6222254218583675e-30	1.126260863927814e-47	-Inf	1	0.979	2.524175848235017e-43	3.011976160973188e-38	-Inf	1	0.971	6.7504409719731095e-34	3.932890656908673e-38	-Inf	1	0.959	8.814394540263718e-34	7.238200168920077e-35	4.505043455711246e-47
Hmgn2	3.107768335178583e-33	-70.78151409896367	1	0.796	6.965130392802239e-29	3.980580072734981e-55	-159.2352804689955	1	0.528	8.921276059013639e-51	9.922785216392468e-45	-75.68954500693664	1	0.584	2.22389462269788e-40	9.777847370558495e-45	-144.755273434717	1	0.506	2.1914111526895697e-40	3.107768335178583e-33	1.5922320290939877e-54
Ppia	2.313036817909858e-31	-515.1423427505497	1	0.973	5.1839781162995734e-27	2.3351828600696414e-49	-540.0993320497578	1	0.971	5.2336118259880805e-45	5.621978175036474e-39	-694.6058069467933	1	0.95	1.2599977485891746e-34	8.751865074766253e-33	-534.4708284974414	1	0.935	1.9614680005566126e-28	2.313036817909858e-31	9.340731440278634e-49
Ung	1.360318075376877e-29	-14.476512820960842	0.984	0.698	3.0487448705346564e-25	2.925629849337854e-177	-9.399822792315849	0.74	0.072	6.556921618335998e-173	1.6382401226514623e-103	-7.804852540288604	0.696	0.116	3.671623762886457e-99	7.140826118070887e-82	-1.9613242076745	0.653	0.083	1.6004019495820472e-77	1.360318075376877e-29	1.1702519397351291e-176
Pcna	1.9915221015465743e-27	-17.464022013351507	0.929	0.623	4.463399333986182e-23	5.640532091369103e-87	-25.21099274284753	0.942	0.253	1.2641560523176433e-82	5.4322935635223616e-64	-56.89359906300618	0.988	0.441	1.2174856334566317e-59	8.664598784233736e-56	-34.87045319241909	0.958	0.35	1.941909879522465e-51	1.9915221015465743e-27	2.2562128365476443e-86
Dut	5.476058831608263e-27	-44.8267573299577	0.978	0.71	1.227294305340044e-22	2.8842525847736376e-75	-78.94520570306732	1	0.417	6.464186892994676e-71	2.1078273750102203e-57	-104.54355931854226	1	0.535	4.724062712872906e-53	4.6270741711321914e-57	-49.725474103910955	1	0.414	1.0370198632341467e-52	5.476058831608263e-27	1.1537010339094596e-74
Dhfr	9.193537213840113e-25	-14.720756677541367	0.929	0.607	2.0604555603658463e-20	8.855272165865888e-87	-5.426617597538818	0.727	0.137	1.984643597813863e-82	6.062175732418315e-73	-5.8877599264191005	0.815	0.214	1.3586548251495927e-68	1.7779021933643232e-88	-5.296848880786552	0.758	0.107	3.9846343957681213e-84	9.193537213840113e-25	7.111608773457364e-88
Hmgb2	5.28140583087524e-24	-290.1612429170977	1	0.896	1.1836686748157587e-19	7.73068918794414e-52	-283.1384299971172	1	0.676	1.732602060802041e-47	6.348969085338941e-42	-551.778932402092	1	0.776	1.4229309514061636e-37	3.1743593408017545e-45	-412.8155608302156	1	0.633	7.114374154604892e-41	5.28140583087524e-24	3.092275675177665e-51
Dek	1.6870233738646127e-23	-44.00006603343593	0.962	0.754	3.78095678550537e-19	2.8767297128551355e-67	-51.9589438952816	0.987	0.4	6.44732663245093e-63	1.6018819484209875e-52	-107.42892526000188	1	0.549	3.5901378228011173e-48	6.339523793544325e-50	-116.089266639081	1	0.502	1.420814072609154e-45	1.6870233738646127e-23	1.1506918851420575e-66
Lig1	1.031770582261426e-22	-6.770422302373085	0.891	0.557	2.312404228964308e-18	5.405735898780234e-87	-8.618419325097273	0.812	0.16	1.2115335296346261e-82	7.051566570567617e-69	-27.480960483159034	0.923	0.27	1.5803970997956144e-64	1.8503543109280246e-76	-26.075664873988096	0.842	0.148	4.1470140816518887e-72	1.031770582261426e-22	2.162294359512072e-86
Hells	2.799200569739316e-22	-25.51582639881655	0.88	0.561	6.273568316899755e-18	2.911052766079462e-123	-6.63842130422732	0.883	0.154	6.52425145933729e-119	5.303127546710151e-95	-38.18726536489967	0.988	0.277	1.188536945768679e-90	2.1703653573195204e-95	-22.25410145656938	0.958	0.178	4.8642228388245093e-91	2.799200569739316e-22	1.1644211064318174e-122
Ranbp1	2.2371956708469363e-21	-165.35243245505168	0.995	0.811	5.0140029375021534e-17	3.536104257202951e-56	-120.75166403644664	0.968	0.407	7.925116861243254e-52	4.4141833894621966e-45	-117.55819596339	1	0.532	9.893067812462675e-41	9.87685686217374e-42	-91.37375480130504	1	0.47	2.2136011599503785e-37	2.2371956708469363e-21	1.4144417028811786e-55
H2afz	3.593498742114376e-21	-271.3268806214916	1	0.914	8.053749380826739e-17	2.6735681260277427e-50	-335.3189667514522	1	0.768	5.9920008840533766e-46	5.751850115588318e-41	-400.2960186263986	1	0.839	1.2891046479056539e-36	2.1770265284310176e-40	-293.7238537949248	0.989	0.805	4.879151855519597e-36	3.593498742114376e-21	1.069427250411107e-49
Rfc4	1.0949007476769037e-20	-13.265225908613312	0.918	0.61	2.4538915556934767e-16	9.959654634411369e-74	-10.789113710928081	0.831	0.205	2.2321577966642759e-69	3.529800897555965e-67	-30.041095384678943	0.946	0.3	7.910989771602428e-63	9.183976841119147e-62	-8.407356610561706	0.832	0.179	2.0583128896316232e-57	1.0949007476769037e-20	3.9838618537645744e-73
Mcm3	2.6720634783154616e-20	-7.253643175397354	0.781	0.448	5.988628667600612e-16	1.1111869573937157e-95	-4.820846808113383	0.76	0.14	2.4903922089107954e-91	4.155796449576931e-85	-28.654864459831376	0.935	0.252	9.313971002791817e-81	6.435002081586596e-77	-12.430194932936681	0.863	0.162	1.4422126665251878e-72	2.6720634783154616e-20	4.444747829574839e-95
Gtf2h4	1.612869268894884e-20	-4.450506481878691	0.951	0.721	3.614762605447214e-16	4.208769751244736e-21	-153.97808701375354	0.994	0.838	9.432694766489702e-17	1.2514402766817526e-30	-91.55551011090526	0.994	0.763	2.804727948099144e-26	2.727595555213878e-20	-59.80785829252558	0.979	0.696	6.113087158345344e-16	2.727595555213878e-20	5.0057611067270484e-30
Tuba1b	7.941902888853197e-20	-178.92878687706167	0.967	0.736	1.7799392754497785e-15	2.6420678569003968e-49	-169.12970996581598	0.948	0.334	5.92140248088517e-45	1.3642117639133826e-28	-211.3029681801449	0.982	0.562	3.0574714052826733e-24	3.06924438095498e-31	-187.89006077047992	0.926	0.419	6.878790506596301e-27	7.941902888853197e-20	1.0568271427601554e-48
Syce2	7.892273118839847e-29	-13.134649073305049	0.956	0.578	1.7688162513943867e-24	1.3116906928519076e-25	-2.3927125475207003	0.396	0.108	2.939761180819695e-21	1.6756768118037047e-19	-4.438296492188871	0.47	0.173	3.755526870614463e-15	1.5940906262671766e-27	-3.9612870065133126	0.4	0.081	3.572675911589996e-23	1.6756768118037047e-19	3.1569092475359357e-28
Anp32b	4.022665215612821e-19	-154.2815472805764	0.989	0.856	9.015597281231454e-15	6.220557200119607e-51	-163.11365416192825	0.994	0.659	1.3941512796908063e-46	4.0576105743002865e-40	-209.85661161761175	1	0.737	9.093916819121802e-36	3.2439474786820255e-37	-144.3099059959079	1	0.688	7.270335089222155e-33	4.022665215612821e-19	2.4882228800478575e-50
Nap1l1	5.74176880011049e-19	-106.4147180009628	0.978	0.759	1.2868452234807631e-14	2.6966725333693467e-52	-108.24537056087296	0.948	0.416	6.04378248178738e-48	9.291220723334385e-43	-90.14144463067271	0.994	0.551	2.0823483885137024e-38	1.6269476188658504e-41	-82.77411946048835	1	0.473	3.646315003402144e-37	5.74176880011049e-19	1.0786690133477501e-51
Tubb5	7.416866685504147e-19	-203.33605051568435	0.984	0.833	1.6622681615551894e-14	1.6971963559567893e-35	-179.3658449142842	0.994	0.758	3.803756472970356e-31	1.2156153127782781e-23	-293.5365823187746	1	0.814	2.724437038998677e-19	6.964242772863254e-26	-563.3247241858996	0.989	0.741	1.5608260902541124e-21	7.416866685504147e-19	6.788785423827195e-35
Dctpp1	1.5654420022210562e-18	-60.91886844123655	0.984	0.677	3.5084686153778313e-14	3.407868829491992e-48	-34.951130239272274	0.779	0.239	7.637715620657453e-44	7.333175956874032e-38	-54.38905609331027	0.857	0.338	1.643511395454608e-33	1.0884596905126538e-36	-29.71734718711039	0.821	0.262	2.4394558583769598e-32	1.5654420022210562e-18	1.3631475317967995e-47
Tipin	5.761862677123717e-18	-28.396054675689832	0.934	0.653	1.2913486631969675e-13	1.4586805118260305e-89	-30.26074124747744	0.948	0.236	3.2691947631044996e-85	1.2904122563953686e-57	-30.246805568742253	0.952	0.328	2.8920719490333e-53	1.6448478815125302e-66	-18.627731480311922	0.926	0.224	3.686433072045883e-62	5.761862677123717e-18	5.8347220473041825e-89
Hint1	3.4831834696048885e-17	-176.42762134490212	1	0.874	7.806510792078476e-13	2.0905671282827386e-56	-108.4912039185366	1	0.477	4.685379047907274e-52	3.390639208021585e-39	-141.84176220851137	1	0.577	7.599100593017976e-35	2.097933261517863e-30	-256.47319312866364	0.947	0.508	4.701888025713834e-26	3.4831834696048885e-17	8.362268513131047e-56
Hnrnpd	4.5925517854403294e-17	-23.591828144473673	0.973	0.819	1.0292827061528866e-12	6.546266858754091e-36	-74.6669471675491	0.955	0.545	1.4671493283839668e-31	1.3521792296955635e-38	-38.33993334124191	1	0.616	3.030504089593697e-34	9.585916287511664e-25	-29.647172162668173	0.947	0.566	2.148395558357114e-20	4.5925517854403294e-17	5.408716918782309e-38
Cdk4	5.897599968964137e-17	-45.69455545218552	0.913	0.675	1.3217701050442423e-12	9.565419968980888e-39	-30.60120608785814	0.831	0.332	2.1438019234479968e-34	7.234351611792517e-34	-45.53797102582066	0.929	0.468	1.621362883234939e-29	1.5304245238319886e-27	-27.593883413887795	0.905	0.397	3.4299874428122527e-23	5.897599968964137e-17	3.8261679875923887e-38
Mcm6	6.907436360994325e-17	-10.547031921339759	0.869	0.562	1.548094637226048e-12	2.5817086716339013e-124	-19.09376817375664	0.922	0.171	5.7861254748658995e-120	3.689008718755299e-88	-20.893398793060438	0.958	0.262	8.267806340474376e-84	9.715345625168838e-96	-16.43066160583313	0.916	0.152	2.17740326151284e-91	6.907436360994325e-17	1.0326834686535928e-123
Cbx3	7.239966326151085e-17	-21.79312369109085	0.995	0.834	1.6226212530169813e-12	9.164513961217556e-42	-50.69480113566924	0.987	0.686	2.0539508689880784e-37	2.5862574658956697e-34	-62.50621189495911	1	0.753	5.796320232565375e-30	1.3650307595692311e-27	-54.45710853325434	0.989	0.717	3.0593069383465606e-23	7.239966326151085e-17	3.6658055844870376e-41
Gmnn	7.358853656125256e-17	-19.79546405677481	0.874	0.572	1.6492662814107923e-12	5.719396505680092e-81	-18.99656161987482	0.942	0.244	1.2818311448530222e-76	3.2750006750359695e-57	-25.81020686727323	0.964	0.341	7.3399315128906145e-53	1.7082759440287128e-65	-16.118519394698474	0.895	0.202	3.828588045757151e-61	7.358853656125256e-17	2.2877586022720514e-80
Cyb5a	1.124017451639821e-22	-23.40819072370524	0.934	0.703	2.5191479126151666e-18	7.195515863165423e-19	-78.4702801933559	0.961	0.746	1.6126590152526346e-14	1.1220835775372951e-23	-42.50711113393656	0.97	0.748	2.5148137139765855e-19	8.216532283003495e-17	-24.744192291589822	0.937	0.673	1.8414892152667435e-12	8.216532283003495e-17	4.48833431014917e-23
Fabp5	1.0597666711691155e-16	-Inf	0.951	0.7	2.3751490634242216e-12	5.015972059561809e-45	-Inf	0.864	0.345	1.1241796579889927e-40	2.5607892990933944e-34	-Inf	0.929	0.46	5.739240977128116e-30	9.078823014039908e-28	-Inf	0.884	0.36	2.0347458139066243e-23	1.0597666711691155e-16	2.0063888238247373e-44
Nasp	1.5693951206874447e-16	-36.64638523722116	0.951	0.707	3.517328344484701e-12	9.30105717056784e-77	-27.467994710166174	0.955	0.323	2.0845529330676642e-72	6.609846556063672e-62	-49.55600959824595	0.976	0.473	1.4813988101449902e-57	1.1602992008117918e-49	-22.572119474719628	0.968	0.413	2.6004625688593878e-45	1.5693951206874447e-16	3.7204228682271345e-76
Rbm3	3.9054310927552776e-16	-251.09924140286068	1	0.941	8.752852165083129e-12	1.2954676633317278e-47	-190.64331489998438	1	0.924	2.9034021270590682e-43	2.1394022125297298e-39	-170.908888705741	1	0.869	4.7948282387216306e-35	9.417634278166076e-36	-153.34879226958847	0.989	0.843	2.110680194422581e-31	3.9054310927552776e-16	5.181870653326954e-47
Siva1	4.764735457157008e-16	-36.67759074138985	0.94	0.679	1.0678725106580288e-11	8.28363548790684e-94	-23.613245848844667	0.935	0.225	1.856528385549681e-89	1.2028924690660107e-69	-29.272991439958805	0.97	0.337	2.6959226016707433e-65	3.630314128218905e-70	-29.844042270458765	0.958	0.245	8.13626002416421e-66	4.764735457157008e-16	3.3134541951627676e-93
E2f1	5.660798786084041e-16	0.8200435192496087	0.628	0.361	1.2686982239371553e-11	6.381556270552734e-99	1.6685720306074368	0.61	0.088	1.4302343913562787e-94	2.2135935713551459e-72	1.393385658314033	0.637	0.136	4.961105912121153e-68	2.3754477450118795e-77	2.148558823321692	0.611	0.079	5.3238534861206244e-73	5.660798786084041e-16	2.552622508221125e-98
Cdc45	1.1158575164066865e-15	-0.3227028153287841	0.59	0.303	2.5008598657706658e-11	2.5775819819895965e-41	-8.699207762274161	0.5	0.118	5.7768767380350835e-37	1.1714430967805634e-39	-4.112080296425778	0.625	0.192	2.6254382685045984e-35	2.170123992743076e-32	-0.6313226715709561	0.432	0.084	4.863681892535782e-28	1.1158575164066865e-15	1.0310327927958402e-40
Cenpm	3.984373185337174e-15	-4.00548812918691	0.661	0.36	8.929777182977675e-11	2.3548002406581288e-18	-1.662795350656368	0.422	0.146	5.277578299362998e-14	2.9195232448843713e-16	-5.061814385885016	0.548	0.237	6.543235496434853e-12	2.2721437918890345e-35	-4.6656029228842275	0.516	0.101	5.092328666381704e-31	3.984373185337174e-15	9.088575167556153e-35
Sumo2	6.288742129703555e-15	-119.60241144440934	0.995	0.895	1.4094328861091607e-10	3.965553352094014e-37	-110.76103610217457	1	0.829	8.887598172713104e-33	1.7792640850076415e-29	-121.84607042985888	0.994	0.792	3.987686667319126e-25	2.336366402614884e-30	-95.8912635861749	0.989	0.762	5.236264381540479e-26	6.288742129703555e-15	1.5862213408376133e-36
Pole4	2.2356450031055697e-17	-17.330129464437128	0.913	0.665	5.010527580960203e-13	1.0525711117255563e-21	-6.620634914660916	0.649	0.297	2.359022375599317e-17	9.315115218775319e-27	-8.441783684459093	0.786	0.392	2.0877036228319245e-22	7.770602444879545e-15	-5.72747327923907	0.747	0.365	1.7415474199464036e-10	7.770602444879545e-15	3.726046087510109e-26
Tspo	8.027174776678385e-15	-176.72615455689345	0.372	0.604	1.7990504109491595e-10	1.4779018050689431e-24	-13.645243154716683	0.877	0.571	3.3122735255205153e-20	3.7815253097556875e-22	-58.14919907309234	0.929	0.604	8.475154524224446e-18	6.513853144869433e-16	-62.68459008319897	0.842	0.512	1.4598847668281372e-11	8.027174776678385e-15	5.911607220275744e-24
Dtymk	8.006671347228678e-14	-25.018620971143346	0.923	0.705	1.7944551823408914e-9	4.3367644063932617e-44	-36.48033465313693	0.916	0.401	9.719556387608578e-40	9.810191879169142e-30	-53.82559531840621	0.911	0.471	2.198660203959388e-25	3.109462189759306e-27	-29.24960963603103	0.863	0.417	6.968926659688557e-23	8.006671347228678e-14	1.734705762557312e-43
Slbp	1.1096573170263275e-13	-13.237320521332109	0.809	0.562	2.4869639789194054e-9	3.4932225984622965e-89	-14.443994487469112	0.968	0.276	7.829010487673699e-85	5.077541937999902e-69	-21.341805005364442	1	0.412	1.1379786991445381e-64	1.7544064524441295e-62	-22.339802527086864	0.979	0.315	3.931975741217783e-58	1.1096573170263275e-13	1.3972890393849365e-88
Dnmt1	3.680634273368206e-13	-15.447208315520362	0.798	0.516	8.249037533472823e-9	3.6219373143956974e-59	-22.22328143317126	0.851	0.244	8.117485909023638e-55	6.8228257808896665e-46	-35.10673416790567	0.94	0.373	1.529131714012992e-41	5.3029549610372715e-39	-22.74505529292186	0.832	0.272	1.1884982658676734e-34	3.680634273368206e-13	1.4487749257582657e-58
Snrpf	1.0093175674640393e-12	-92.4145748299199	0.995	0.85	2.262082532200405e-8	7.833045474527846e-48	-67.24229593287907	0.987	0.583	1.7555421517511809e-43	1.2755462343956344e-37	-117.45769220177782	0.994	0.655	2.858754220527496e-33	1.2236923187720922e-32	-79.92479397787767	0.989	0.57	2.742539224832013e-28	1.0093175674640393e-12	3.133218189811167e-47
Hnrnpa3	1.4877522371640533e-12	-51.67056085866629	0.984	0.835	3.334350313932076e-8	2.216608967405913e-42	-177.4680056268924	0.994	0.754	4.967864017750132e-38	1.6902357131853702e-33	-217.9275152058663	0.994	0.767	3.788156280391052e-29	4.4581089705273235e-25	-185.30245466213898	0.989	0.746	9.991513824745837e-21	1.4877522371640533e-12	8.866435869623674e-42
Ap3s1	9.341719259947466e-13	-11.019447508291972	0.907	0.738	2.0936661205394262e-8	2.4281341062617363e-12	-57.13887895019695	0.831	0.686	5.4419341589538034e-8	1.5373637691223035e-20	-33.413626223774756	0.911	0.633	3.4455396793569066e-16	1.515848875764605e-22	-10.75297749968852	0.916	0.574	3.3973205003636325e-18	2.4281341062617363e-12	6.063395503058396e-22
Tk1	2.5141352967181914e-12	-4.468163759910668	0.568	0.289	5.6346800270048103e-8	8.203978969049409e-26	-3.7873852031413264	0.422	0.122	1.8386757665433538e-21	1.5531505931726083e-18	-4.166620313396699	0.5	0.197	3.48092110941845e-14	7.165450644055785e-37	-9.867395811555859	0.463	0.082	1.6059207983457826e-32	2.5141352967181914e-12	2.8661802576223267e-36
Dntt	1.6319965915586686e-19	-14.893210576848492	0.798	0.458	3.657630761001288e-15	2.1539914357415945e-25	-37.88423049882032	0.779	0.431	4.8275256057840615e-21	3.399305583478184e-19	-11.476671045212276	0.696	0.368	7.618523673691307e-15	2.6392928657902048e-12	-10.763776658056784	0.621	0.317	5.915183170809007e-8	2.6392928657902048e-12	8.615965742966349e-25
