gene	MRV_DoL6_p_val	MRV_DoL6_avg_log2FC	MRV_DoL6_pct.1	MRV_DoL6_pct.2	MRV_DoL6_p_val_adj	Mock_DoL6_p_val	Mock_DoL6_avg_log2FC	Mock_DoL6_pct.1	Mock_DoL6_pct.2	Mock_DoL6_p_val_adj	MRV_DoL4_p_val	MRV_DoL4_avg_log2FC	MRV_DoL4_pct.1	MRV_DoL4_pct.2	MRV_DoL4_p_val_adj	Mock_DoL4_p_val	Mock_DoL4_avg_log2FC	Mock_DoL4_pct.1	Mock_DoL4_pct.2	Mock_DoL4_p_val_adj	max_pval	minimump_p_val
Cks1b	3.175500393511464e-16	-19.855851362486263	0.809	0.534	7.116931481937894e-12	9.8932664683535e-15	-43.68135387334328	0.042	0.294	2.2172788808873866e-10	5.07854551447527e-14	-61.909644026482944	0.09	0.4	1.1382036207041975e-9	9.1671139952514e-24	-33.5351432720417	0.078	0.319	2.0545335886157438e-19	5.07854551447527e-14	3.666845598100555e-23
Manf	4.595657170254371e-13	-207.95647228223257	0.849	0.763	1.0299786849974095e-8	2.9561611025883975e-17	-21.745600289210532	0.214	0.505	6.625348263121117e-13	3.7621550674196935e-16	-69.88058560641169	0.239	0.566	8.431741937101018e-12	2.2034437245971354e-25	-55.438377617050946	0.255	0.5	4.9383580755671e-21	4.595657170254371e-13	8.81377489838853e-25
H3f3b	6.852366692293542e-13	-557.1081708271046	0.975	0.974	1.5357524230768288e-8	5.0120754772677614e-27	-860.6641535060602	0.974	0.98	1.1233063559652507e-22	6.474222784446639e-15	-555.7461656803998	0.955	0.947	1.4510028104501809e-10	8.670595657368292e-30	-440.9639807527107	0.942	0.938	1.9432538987293816e-25	6.852366692293542e-13	3.4682382629473453e-29
Hsp90b1	1.294223718346758e-12	-267.1043500568004	0.889	0.737	2.900614197558754e-8	1.0598678274807986e-12	-40.59720449577756	0.151	0.386	2.375375774949966e-8	9.392720839786245e-15	-194.3514703030252	0.216	0.527	2.105096594612893e-10	8.897413267239418e-29	-73.5864844199191	0.194	0.464	1.9940882614536986e-24	1.294223718346758e-12	3.5589653068957476e-28
Pdia6	6.361150329757825e-17	-104.17084482683393	0.859	0.706	1.4256610119053238e-12	3.17138691234426e-12	-13.791089315120098	0.135	0.367	7.107712347945955e-8	1.3993467136144911e-13	-59.768544424461915	0.164	0.47	3.1362158545527976e-9	1.3579354146449941e-25	-44.65970619450063	0.163	0.421	3.043404851302361e-21	3.17138691234426e-12	5.431741658579957e-25
Limd2	1.1918574224617046e-10	-48.51037557507573	0.503	0.688	2.6711908552211725e-6	8.256105070034446e-26	-87.98265193224591	0.63	0.82	1.85035826829612e-21	5.460896166533644e-22	-57.991004374117324	0.597	0.795	1.2238960488435203e-17	4.92951760622948e-43	-54.612996292681125	0.554	0.765	1.1048034859081511e-38	1.1918574224617046e-10	1.9718070424918038e-42
Dnajb11	1.8180192773755152e-10	-79.33100090152622	0.764	0.628	4.074544804454005e-6	8.927053646000078e-12	-5.370540178829628	0.141	0.367	2.0007312631415375e-7	5.917905561699955e-12	-10.5594377080537	0.157	0.438	1.326320994488194e-7	3.7082960126422397e-22	-9.95046632804893	0.139	0.38	8.311033023533788e-18	1.8180192773755152e-10	1.483318405056896e-21
Birc5	1.8085740261361625e-13	-64.61372001428391	0.658	0.356	4.053376107376367e-9	2.439314029019371e-10	-64.06717025356082	0.062	0.253	5.466990601838214e-6	9.017678743136871e-11	-85.9196306888976	0.119	0.371	2.0210421599118356e-6	2.849512923960228e-10	-60.58580643535765	0.047	0.168	6.386328365179663e-6	2.849512923960228e-10	7.234296104542698e-13
Sec61b	4.4427148991616e-10	-124.22955710344976	0.94	0.889	9.957012632000978e-6	4.158632560529174e-23	-112.48066254228033	0.557	0.766	9.320327294657984e-19	2.178473613650406e-14	-124.33440035371574	0.649	0.757	4.882395062913291e-10	9.766942077198905e-33	-120.66696700405778	0.598	0.741	2.1889670583418184e-28	4.4427148991616e-10	3.906776830879556e-32
Sdf2l1	1.4415642588324684e-9	-77.45128374855345	0.442	0.252	3.230833816895328e-5	7.130896401977962e-10	-4.9655087437234915	0	0.167	1.5981765016113007e-5	1.6508036241534297e-9	-25.016475503379112	0.007	0.228	3.6997810824526666e-5	8.952220536852769e-13	-15.763803453150054	0.022	0.161	2.0063716667194425e-8	1.6508036241534297e-9	3.5808882147362972e-12
Ube2b	2.085051672733486e-9	-49.19091979709654	0.879	0.774	4.673017808930289e-5	1.1472277994186848e-15	-48.38523764982424	0.344	0.601	2.5711669440571563e-11	9.564228827308436e-11	-24.348652748969457	0.448	0.656	2.1435349647763668e-6	8.154908969851558e-21	-36.06031659510022	0.424	0.607	1.8276781983231313e-16	2.085051672733486e-9	3.261963587940608e-20
Rps11	2.954802418065908e-9	-415.740320149966	0.98	0.958	6.622303179369313e-5	1.8210180871138817e-26	-500.0275594619693	0.958	0.971	4.0812657368396315e-22	8.483521484421698e-19	-603.3813105411575	0.948	0.929	1.901326835088591e-14	2.7262439949277565e-44	-597.9020759387133	0.906	0.93	6.110058041432088e-40	2.954802418065908e-9	1.0904975979711024e-43
Hspa5	3.874899409000909e-9	-149.90197418690295	0.879	0.769	8.684424555452837e-5	1.0997175259633756e-16	-24.95276700829162	0.135	0.427	2.4646869191891175e-12	1.7759896640668918e-18	-180.93474296909753	0.164	0.539	3.9803480351067175e-14	3.1289767441271744e-34	-74.40650769604427	0.183	0.489	7.012662678937823e-30	3.874899409000909e-9	1.251590697650876e-33
Cenpw	3.223173392193001e-11	-8.49734151727852	0.759	0.52	7.223776206582954e-7	5.253557930461851e-9	-22.074879752323845	0.073	0.246	1.17742740337511e-4	2.1325224742799067e-12	-25.199278549062445	0.06	0.345	4.779409369356127e-8	3.165177257935103e-14	-21.990455500005833	0.039	0.195	7.093795270484152e-10	5.253557930461851e-9	1.266070903173981e-13
Idi1	9.842033012519204e-9	-27.297553165998174	0.648	0.448	2.2057964387658038e-4	7.965618877382511e-10	-19.591269020830804	0.036	0.218	1.7852545027989684e-5	1.0199607361374423e-10	-29.03925196148434	0.052	0.31	2.285936001831236e-6	7.00023969554097e-10	-25.92674573937408	0.033	0.148	1.5688937205646423e-5	9.842033012519204e-9	4.079842943925584e-10
Ppib	1.0039224679689075e-8	-111.31371912217466	0.894	0.82	2.2499910352119154e-4	1.945168982671643e-21	-51.08467576974903	0.339	0.635	4.359512723963687e-17	5.124604699922729e-19	-54.85916555904468	0.321	0.645	1.148526405346682e-14	4.100407108658578e-39	-57.03286457550195	0.316	0.603	9.189832411925605e-35	1.0039224679689075e-8	1.6401628434634273e-38
