cluster	lineage
0	DP
1	DP
2	DP
3	DP
4	DP
5	DP
6	DP
7	DP
8	CD8_SP_mature
9	DN3
10	DP
11	DP
12	DP
13	DP
14	DP
15	DP
16	CD8_SP
17	DN4
18	CD4_SP
19	DP
20	DP
21	DP
22	DP
23	DP
24	CD8_SP
25	CD8_SP
26	DN2
27	DN
28	DP
29	DP
30	DP
31	DP
32	M_&_B_cells
33	DP
34	DP
35	RBCs
36	CD8_SP
37	DN1
38	DP
39	cTEC
40	DP
41	DN
42	ILC_NK
43	Treg
44	DCs
45	Mesenchyme
46	unknown
47	mTEC
48	Fibroblasts
