gene	MRV_DoL6_p_val	MRV_DoL6_avg_log2FC	MRV_DoL6_pct.1	MRV_DoL6_pct.2	MRV_DoL6_p_val_adj	Mock_DoL6_p_val	Mock_DoL6_avg_log2FC	Mock_DoL6_pct.1	Mock_DoL6_pct.2	Mock_DoL6_p_val_adj	MRV_DoL4_p_val	MRV_DoL4_avg_log2FC	MRV_DoL4_pct.1	MRV_DoL4_pct.2	MRV_DoL4_p_val_adj	Mock_DoL4_p_val	Mock_DoL4_avg_log2FC	Mock_DoL4_pct.1	Mock_DoL4_pct.2	Mock_DoL4_p_val_adj	max_pval	minimump_p_val
Rps28	3.3457758136485188e-12	-445.1528472091904	0.916	0.932	7.49855275354906e-8	2.7775602100506325e-61	-300.16992355894047	0.893	0.926	6.225067942765478e-57	1.7414252748164768e-35	-646.4215458454831	0.984	0.908	3.902882325918688e-31	2.7461875079001125e-38	-543.2372972589357	0.983	0.904	6.154755442705732e-34	3.3457758136485188e-12	1.111024084020268e-60
Rps11	1.5493108970517093e-11	-416.2558422134695	0.991	0.958	3.4723155824722907e-7	5.85330150121996e-74	-485.73574280613	0.994	0.969	1.3118419324534174e-69	2.777206609018009e-38	-637.6539878694421	0.987	0.926	6.2242754521311625e-34	5.190533690596012e-40	-580.7455646170202	0.994	0.923	1.1633024107363782e-35	1.5493108970517093e-11	2.3413206004879603e-73
Rag1	3.065415841900239e-11	-9.347569404594598	0.561	0.274	6.870209984866815e-7	9.785688851708568e-19	-134.94148691538635	0.884	0.635	2.193168585444924e-14	3.315154382050055e-25	-180.19521581568085	0.924	0.636	7.429924001050583e-21	1.3857728945075354e-88	-59.711758540976575	0.946	0.549	3.1057942111702884e-84	3.065415841900239e-11	5.543091578030197e-88
Rps5	9.391354639461721e-11	-471.055631750861	0.935	0.948	2.104790401796161e-6	5.142280737863424e-80	-462.5318394184823	0.927	0.938	1.1524879589699506e-75	4.1392896261589885e-44	-546.4614999348394	0.939	0.898	9.276975910147525e-40	1.3249462017803475e-51	-433.56660555886083	0.936	0.884	2.969469427430115e-47	9.391354639461721e-11	2.0569122951453857e-79
Rpl21	8.351247216624432e-10	-286.39066599335916	0.953	0.941	1.871681526189868e-5	4.580652651271617e-65	-287.43798152867726	0.891	0.922	1.0266158722029948e-60	2.3212205331799156e-36	-332.70992412681085	0.901	0.857	5.202319458962827e-32	1.968807606011055e-47	-280.6681533846347	0.904	0.854	4.412491606591977e-43	8.351247216624432e-10	1.8322610605086454e-64
Rps27a	1.0464839702854398e-9	-864.9113779135444	0.981	0.968	2.3453798742037274e-5	5.348446236399261e-76	-758.3921421517156	0.994	0.973	1.1986937705018024e-71	3.4783511642571323e-36	-840.7942541208286	0.99	0.936	7.795680629333085e-32	4.7705225330777904e-46	-795.710226848774	0.993	0.937	1.0691695101133944e-41	1.0464839702854398e-9	2.1393784945596833e-75
Rpl27a	1.056753975150528e-9	-280.64604699681195	0.935	0.926	2.3683970091073633e-5	2.503684396456801e-66	-243.131241875184	0.878	0.911	5.6112574693389824e-62	3.586017852006285e-38	-666.6889883274283	0.987	0.915	8.036983209916486e-34	3.4014577606414916e-42	-668.7529055696473	0.994	0.917	7.623347133149711e-38	1.056753975150528e-9	1.001473758582712e-65
Rps23	1.812357525707362e-9	-533.091521792021	0.953	0.959	4.06185568661534e-5	9.866366139852162e-68	-472.1309123786634	0.951	0.954	2.2112499792636665e-63	2.728222788069998e-35	-691.0291689777798	0.962	0.909	6.114492912622479e-31	5.983868415045791e-42	-590.8475435118224	0.972	0.897	1.3411045891800625e-37	1.812357525707362e-9	3.94654645594088e-67
Uba52	1.9638123142675685e-9	-95.22374758955046	0.907	0.894	4.4012961587364745e-5	5.551121352508673e-53	-93.58631235576227	0.737	0.832	1.2441173175242437e-48	7.26555505134214e-39	-108.58436014134077	0.739	0.783	1.6283561981068006e-34	1.7943727572508244e-39	-352.288425296777	0.975	0.875	4.0215482235505476e-35	1.9638123142675685e-9	2.2204485410034718e-52
Rpl19	2.2543708322141637e-9	-525.9481400358071	0.981	0.973	5.0524959091583834e-5	1.8523380216710124e-71	-544.812190788665	1	0.975	4.151459974169073e-67	2.522789839442471e-36	-695.0863158825657	0.99	0.947	5.654076588158466e-32	5.642266775495492e-37	-631.2394425794924	0.997	0.942	1.2645448297240497e-32	2.2543708322141637e-9	7.4093520866841e-71
Rplp2	2.674477299442878e-9	-380.1658441750044	0.963	0.954	5.9940385235113787e-5	1.077993641903242e-78	-378.93980985274567	0.901	0.934	2.415999350233546e-74	5.711243897864386e-40	-554.9757647818923	0.93	0.905	1.2800039823893664e-35	2.587986674773076e-57	-517.0412076676943	0.945	0.895	5.800195735501418e-53	2.674477299442878e-9	4.3119745676130146e-78
Rps16	2.922451057165988e-9	-485.4825821597511	1	0.961	6.549797309320412e-5	2.6175815515179478e-70	-483.67015281340093	0.989	0.972	5.866523773262025e-66	1.533066032606664e-35	-730.165700057723	0.997	0.919	3.4359075922780553e-31	1.7547376926661914e-40	-664.8658975141294	0.996	0.915	3.932718116803468e-36	2.922451057165988e-9	1.0470326206071951e-69
Rps18	3.6912014556128037e-9	-436.4273414055529	0.953	0.93	8.272720702319416e-5	1.6940056294921765e-64	-348.30305619432966	0.799	0.885	3.796605416817866e-60	4.7912598768039936e-35	-378.00912588937274	0.869	0.841	1.073817163589311e-30	5.428886731551289e-41	-413.14874203530326	0.908	0.833	1.216722094275275e-36	3.6912014556128037e-9	6.776022517968655e-64
Eef1b2	4.775063876612888e-9	-198.04764501800818	0.841	0.884	1.0701873160264805e-4	1.283992670127613e-54	-218.67450199371717	0.672	0.825	2.8776843722900063e-50	1.3595155814255836e-40	-286.06514753322665	0.713	0.806	3.046946321091018e-36	5.702493340325996e-65	-223.00979310163368	0.652	0.77	1.278042807433862e-60	4.775063876612888e-9	2.2809973361303922e-64
Rpl35	5.13425892985331e-9	-406.1343790060603	0.972	0.945	1.150690111358724e-4	2.0555814317866147e-75	-373.8617330857241	0.931	0.937	4.606969104920161e-71	3.028160989846921e-39	-482.09407727163995	0.933	0.871	6.78671441044492e-35	3.366012274958342e-49	-533.9746632049685	0.973	0.883	7.543906710636637e-45	5.13425892985331e-9	8.222325727146528e-75
Rpl38	5.198724315668296e-9	-481.1544970370838	0.981	0.965	1.1651380936275785e-4	2.5602800964796275e-70	-401.7227010047279	0.964	0.961	5.738099752230141e-66	8.270785994348546e-43	-616.6360490701423	0.971	0.942	1.8536485570533962e-38	6.736594317999899e-56	-635.2237021751462	0.989	0.942	1.5098055185501375e-51	5.198724315668296e-9	1.0241120385918461e-69
