gene	MRV_DoL6_p_val	MRV_DoL6_avg_log2FC	MRV_DoL6_pct.1	MRV_DoL6_pct.2	MRV_DoL6_p_val_adj	Mock_DoL6_p_val	Mock_DoL6_avg_log2FC	Mock_DoL6_pct.1	Mock_DoL6_pct.2	Mock_DoL6_p_val_adj	MRV_DoL4_p_val	MRV_DoL4_avg_log2FC	MRV_DoL4_pct.1	MRV_DoL4_pct.2	MRV_DoL4_p_val_adj	Mock_DoL4_p_val	Mock_DoL4_avg_log2FC	Mock_DoL4_pct.1	Mock_DoL4_pct.2	Mock_DoL4_p_val_adj	max_pval	minimump_p_val
Cd5	1.9821429055842707e-17	10.579023175408182	0.406	0.056	4.4423786799954677e-13	4.0323734502582965e-35	-20.703899679117516	0.777	0.286	9.037355376718894e-31	1.9525492920180006e-19	-4.914623221022117	0.862	0.348	4.376053473270743e-15	4.599613396773146e-31	-0.9235796257591176	0.8	0.334	1.0308653544847975e-26	1.9821429055842707e-17	1.6129493801033197e-34
Nr4a1	3.1410031687770487e-9	-4.627763717592574	0.344	0.072	7.039616301863121e-5	1.37273448862241e-18	-2.9924057109986917	0.417	0.132	3.076572535900545e-14	1.5275338246803865e-9	-25.541121742731445	0.5	0.199	3.423508807873682e-5	1.3124526161752815e-16	-10.710065888813395	0.491	0.206	2.941468803372041e-12	3.1410031687770487e-9	5.4909379544896096e-18
Ltb	1.3235213003748583e-8	-60.98728804102174	0.812	0.451	2.9662759384001323e-4	4.52917410284271e-22	-70.51813251629642	0.864	0.564	1.0150784999291082e-17	3.7489458409898497e-14	-38.060593176145154	0.914	0.654	8.402137418826451e-10	7.967542929300957e-22	-151.09127971123087	0.855	0.559	1.7856857213149305e-17	1.3235213003748583e-8	1.8116696411370754e-21
Junb	2.453783684818659e-9	-60.55820411821786	0.938	0.576	5.499419994415578e-5	2.8065185536013303e-24	-95.0978268949082	0.796	0.421	6.289969382331302e-20	6.49981058136742e-10	-165.0178074385222	0.862	0.519	1.4567375474960661e-5	6.135351228852221e-8	-90.56213771790826	0.736	0.545	0.0013750549174103598	6.135351228852221e-8	1.1226074214405287e-23
Rrad	2.603227240508041e-5	-7.320324582192242	0.25	0.066	0.5834352891426622	4.77770981290654e-62	10.593686872810595	0.417	0.048	1.0707803232686136e-57	3.154753269083491e-28	-0.44476262410841017	0.414	0.063	7.070433026669921e-24	5.475956610550105e-50	-102.08374256996528	0.464	0.081	1.2272713955564896e-45	2.603227240508041e-5	1.911083925162613e-61
Hint1	1.0129843462514736e-4	-167.76028165497598	0.688	0.882	1	4.246158456574907e-7	-130.42067651575218	0.291	0.494	0.00951649033287568	3.1224334175777305e-5	-176.29793147735617	0.448	0.59	0.699799777547521	1.9967750924209258e-6	-288.4539890878905	0.345	0.515	0.04475172337133779	1.0129843462514736e-4	1.69846230083857e-6
Dnajc9	3.775379590956785e-4	-13.65533533870661	0.219	0.573	1	7.108872730303318e-5	-31.78928680230026	0.175	0.334	1	6.723243124191765e-4	-31.816655274036975	0.276	0.433	1	5.630338467121541e-4	-45.31578123111932	0.191	0.33	1	6.723243124191765e-4	2.843245890062281e-4
Rpa3	5.563673913762054e-4	-13.601252242414203	0.344	0.653	1	2.15700692720742e-7	-21.230751487641328	0.184	0.409	0.00483428392525727	0.0010052480965067711	-21.776872510758736	0.293	0.447	1	1.021976884191352e-5	-10.226091654817674	0.127	0.312	0.2290454592849658	0.0010052480965067711	8.628024917222747e-7
Dusp5	0.0010689843227664815	-5.4065437251252275	0.469	0.23	1	3.616147146418029e-7	-15.549663317033495	0.456	0.244	0.008104508984552087	1.6636671997785056e-5	-17.540026457726903	0.638	0.359	0.3728610928143587	4.089529799324086e-6	-28.00302741613047	0.618	0.427	0.09165454186245141	0.0010689843227664815	1.4464580739761895e-6
Tuba1b	0.0013825374018264888	-196.50431609875366	0.562	0.749	1	7.286826345691847e-7	-190.53984430295063	0.146	0.354	0.016331235205964568	3.4077252552557427e-4	-281.3259605505855	0.448	0.575	1	4.4352463297324906e-4	-210.40894962851416	0.309	0.425	1	0.0013825374018264888	2.9147273524079937e-6
Fabp5	0.0013978000508377915	-Inf	0.438	0.715	1	5.719498867232146e-4	-Inf	0.233	0.361	1	6.834081368343105e-6	-Inf	0.224	0.475	0.15316543162730567	3.2800805195350283e-6	-Inf	0.182	0.368	0.07351316460381906	0.0013978000508377915	1.3120257524711994e-5
Dut	0.001011286446676847	-66.3660952902392	0.5	0.726	1	3.65163659696411e-7	-116.42813997253069	0.223	0.436	0.008184047941115965	9.470594990445673e-7	-201.7307503902509	0.276	0.551	0.021225497492586842	0.0015856829203783555	-107.77651055285129	0.309	0.422	1	0.0015856829203783555	1.4606538387188499e-6
Gimap6	0.0015877838468174592	-11.210060830927919	0.344	0.152	1	2.0668369341792717e-13	-5.401721825662943	0.612	0.292	4.632194936882584e-9	3.6017536117139346e-8	-1.865334925359202	0.638	0.31	8.07225019457327e-4	1.0178151310706122e-6	-4.979756695862025	0.627	0.402	0.02281127271755456	0.0015877838468174592	8.267347736714514e-13
Hivep2	0.0011352936128636822	2.7887359071219637	0.406	0.186	1	1.5399852654201122e-17	-0.8446224083501197	0.505	0.184	3.4514149768595556e-13	0.0016252510765760108	-2.976796064009128	0.448	0.273	1	4.087740931735521e-15	1.4463925845413055	0.536	0.254	9.16144497620565e-11	0.0016252510765760108	6.159941061680441e-17
Dusp2	0.0017391361662549582	-48.07251878376058	0.688	0.434	1	8.554659497205286e-11	-27.365436438081236	0.67	0.378	1.9172702865136487e-6	1.0398830474623396e-6	-92.32275646728857	0.862	0.584	0.023305858859725956	7.6055506995671e-18	-45.61025176242561	0.873	0.526	1.7045560227869785e-13	0.0017391361662549582	3.0422202798268383e-17
Fxn	0.0017929475480895388	-11.00202542399112	0.125	0.383	1	1.2690212460327342e-4	-7.954587736348095	0.068	0.22	1	2.4273964357122353e-4	-14.861210598000037	0.103	0.313	1	2.146070520205038e-4	-10.224763600568794	0.055	0.19	1	0.0017929475480895388	5.075118816920642e-4
Dctpp1	0.001944385661556918	-65.8535952827206	0.406	0.695	1	5.85014501884163e-6	-39.83655236256542	0.068	0.256	0.13111345016227863	3.175411819540761e-4	-63.51213914636982	0.155	0.355	1	1.1071655521770004e-4	-37.95818570292342	0.118	0.269	1	0.001944385661556918	2.3400374730986936e-5
Mrpl33	0.001969011852902335	-49.77933621910378	0.5	0.728	1	2.300728987892214e-4	-28.94143186243364	0.437	0.546	1	3.933677558678725e-4	-42.51802362887849	0.431	0.583	1	6.108471666077656e-4	-36.3238977890517	0.391	0.521	1	0.001969011852902335	9.199740426358311e-4
Rps27l	4.603692255095717e-4	-134.00091646847397	0.562	0.813	1	0.0018427459630460505	-97.3271091822309	0.417	0.498	1	3.6740159615779565e-6	-138.69201346612877	0.397	0.608	0.08234204573088516	0.0021576061409237742	-115.616705620818	0.464	0.546	1	0.0021576061409237742	1.4695982856150481e-5
Rfc4	0.002435724827663392	-18.673374700038597	0.406	0.628	1	1.8635911132427043e-6	-16.99976598880734	0.029	0.225	0.04176680402999549	5.680134697379149e-5	-37.77533124078321	0.086	0.32	1	2.3032272017336228e-4	-15.318785008758367	0.055	0.188	1	0.002435724827663392	7.454343615165688e-6
Ranbp1	0.002583206412181623	-154.7759221026025	0.625	0.822	1	2.449262233409557e-5	-135.49414331008188	0.272	0.425	0.54892865175175	1.6429494986133937e-5	-161.9755393038609	0.31	0.548	0.3682178416292338	9.692494448404616e-4	-113.72487072624934	0.364	0.477	1	0.002583206412181623	6.571636039244186e-5
Tipin	0.0028937762816967174	-30.630894163455785	0.438	0.67	1	1.2024583410902322e-4	-40.63085026946037	0.107	0.258	1	1.543539023457957e-6	-42.18626359389136	0.052	0.349	0.034593796593739734	1.566157193970821e-5	-26.842090740398806	0.064	0.233	0.35100715031274043	0.0028937762816967174	6.174141798770238e-6
Ccr9	0.002958094159783107	-8.736231086039464	0.781	0.604	1	1.843234852247695e-7	-133.0186020459404	0.903	0.721	0.004131057950857534	1.0964627697159774e-6	-176.5220841245485	0.966	0.7	0.024573923594874487	3.217589051606518e-9	-104.48574038621524	0.973	0.748	7.211260582460527e-5	0.002958094159783107	1.287035614430882e-8
Orc6	0.0031459847993046213	-14.116994452279364	0.219	0.545	1	0.002271385062741373	-10.993378302031125	0.117	0.232	1	2.0210663147444678e-4	-14.839659408417761	0.103	0.319	1	0.0030951601430147164	-10.31325948381939	0.091	0.196	1	0.0031459847993046213	8.081814763750751e-4
Nap1l1	0.003298103285220955	-110.39968062089702	0.562	0.772	1	6.165123463034428e-4	-123.46916883691948	0.32	0.432	1	1.9832742838142377e-5	-131.29610240880965	0.345	0.566	0.44449143248844697	4.2334831469974097e-4	-104.62709200682919	0.382	0.48	1	0.003298103285220955	7.932861135764234e-5
Bcl2l11	0.0033363602894743464	-85.52670330025768	0.438	0.237	1	2.0140766400345885e-6	-5.68486710316199	0.35	0.183	0.045139485656455196	0.002725907074348738	-6.349551227980282	0.397	0.257	1	5.047954744726148e-10	-17.965147048066793	0.473	0.241	1.1313476173880243e-5	0.0033363602894743464	2.0191818963615487e-9
Cdk4	0.001955520127267056	-48.09624508735962	0.406	0.69	1	8.111776002950946e-4	-37.523724345278225	0.214	0.348	1	3.22820786651869e-4	-63.20548819383576	0.31	0.483	1	0.0036090454669047384	-34.80642512655968	0.3	0.404	1	0.0036090454669047384	0.0012906580016036758
Top2a	0.003795007964782646	-68.46870614056618	0.125	0.37	1	7.42219676572323e-7	-89.89744892488753	0.039	0.247	0.0166346273913389	3.40481949238971e-7	-264.3150155799962	0.069	0.39	0.007630881446343818	4.2687252094161186e-5	-314.2553078733715	0.055	0.208	0.9567066939343405	0.003795007964782646	1.361927101388296e-6
Hmgb2	0.003844427628216157	-355.3900383173782	0.906	0.901	1	1.8722964814650632e-4	-454.8556487600621	0.612	0.686	1	1.4499682402155899e-6	-821.2670570351531	0.655	0.783	0.0324966881997118	4.536845943139342e-4	-559.1941356185329	0.545	0.638	1	0.003844427628216157	5.799860346427164e-6
Nfkbia	7.964624300008423e-10	-19.19239676789777	0.875	0.525	1.785031598117888e-5	0.0040223980859545325	-77.856240696402807	0.67	0.595	1	1.6037862680877982e-4	-111.19546090359005	0.897	0.68	1	2.3161703610563484e-13	-84.56701007018708	0.873	0.663	5.191001013199488e-9	0.0040223980859545325	9.264681444222173e-13
Cenpm	0.004074337109303675	-6.391464814522637	0.125	0.377	1	1.4925701956230967e-5	-4.467637057865804	0	0.156	0.33451483224304845	4.871446377914963e-5	-8.653602034825004	0.017	0.248	1	3.0405785351599897e-4	-6.8210620392047225	0	0.107	1	0.004074337109303675	5.97014711787509e-5
Lsm6	0.004177347288482613	-17.339730762265543	0.375	0.644	1	3.842392896700984e-6	-38.95081658694037	0.204	0.39	0.08611570960086244	2.2697645498985402e-4	-40.84634853804493	0.31	0.489	1	1.984585596754504e-5	-33.761120590954974	0.227	0.403	0.44478532394461945	0.004177347288482613	1.536948300313183e-5
Uhrf1	0.003551136653184362	-11.08147175373342	0.031	0.266	1	0.004230717073022273	-14.175961853772659	0.117	0.22	1	1.7353111073421775e-6	-53.76006312183428	0.034	0.33	0.03889179253775288	2.644036496638642e-4	-21.419253893926552	0.055	0.186	1	0.004230717073022273	6.941226361561783e-6
Stk17b	0.005171824645942119	-3.517671797551927	0.594	0.373	1	2.5657857641150808e-8	-12.816930788746017	0.68	0.418	5.750439054534719e-4	0.0013834147303479903	-23.38551594343688	0.724	0.499	1	1.5889287282327525e-5	-21.225748413256063	0.718	0.48	0.3561107065715245	0.005171824645942119	1.0263142661464942e-7
Ndufa12	0.004135007658726472	-40.79625555986715	0.594	0.795	1	0.002784174906064642	-41.92963005047465	0.417	0.504	1	0.005187773400100982	-60.556573462296164	0.5	0.572	1	4.316525993483192e-5	-47.35160735679368	0.355	0.512	0.9674198056594531	0.005187773400100982	1.7264986062304172e-4
