gene	MRV_DoL6_p_val	MRV_DoL6_avg_log2FC	MRV_DoL6_pct.1	MRV_DoL6_pct.2	MRV_DoL6_p_val_adj	Mock_DoL6_p_val	Mock_DoL6_avg_log2FC	Mock_DoL6_pct.1	Mock_DoL6_pct.2	Mock_DoL6_p_val_adj	MRV_DoL4_p_val	MRV_DoL4_avg_log2FC	MRV_DoL4_pct.1	MRV_DoL4_pct.2	MRV_DoL4_p_val_adj	Mock_DoL4_p_val	Mock_DoL4_avg_log2FC	Mock_DoL4_pct.1	Mock_DoL4_pct.2	Mock_DoL4_p_val_adj	max_pval	minimump_p_val
Itm2a	1.713407853796343e-43	13.666904415958879	0.797	0.223	3.840089681928364e-39	5.223366516078596e-134	-153.264189632651	0.942	0.24	1.1706609035835349e-129	3.574442584225756e-110	-104.57491189000913	0.953	0.297	8.011040719766764e-106	2.872603965091971e-184	-126.46011530086874	0.991	0.377	6.4380800065641254e-180	1.713407853796343e-43	1.1490415860368045e-183
Tox	1.151973182217165e-15	2.12786685671265	0.595	0.232	2.5818022959851103e-11	1.6530802645459117e-88	-17.764889387818044	0.911	0.34	3.704883488900297e-84	8.837105957406714e-81	-2.831384535012468	0.953	0.379	1.980572187173993e-76	9.765371015684189e-137	-16.591887707421265	0.962	0.474	2.1886149520351404e-132	1.151973182217165e-15	3.906148406273682e-136
Rgcc	1.1259415912456304e-12	-135.90096085392716	0.443	0.761	2.5234602942997068e-8	4.845637564623427e-18	-67.4761799944071	0.242	0.539	1.0860042909834024e-13	1.0573926743852682e-14	-101.7864110842157	0.442	0.639	2.3698284618322634e-10	6.633049354826696e-17	-148.08583340323523	0.387	0.579	1.4865990214037592e-12	1.1259415912456304e-12	1.938255025849365e-17
Cd2	1.393461955405192e-12	-16.041772691102103	0.671	0.344	3.1230269344541165e-8	3.8436128292408084e-45	-36.76993765580153	0.9	0.497	8.6143050728945e-41	1.158755902770238e-32	-18.885922480779804	0.942	0.54	2.5970037292886575e-28	2.3396066482164297e-77	-35.427596516550196	0.939	0.514	5.243526419982662e-73	1.393461955405192e-12	9.358426592865808e-77
Cd5	3.873338770067155e-12	-1.728982843443175	0.241	0.055	8.680926851474507e-8	5.091775831539044e-26	-23.49611923742084	0.6	0.284	1.1411687993645306e-21	2.6086226161649605e-23	-0.8000534442344538	0.692	0.343	5.8464450073489095e-19	2.322409744654264e-33	-7.930936567931759	0.627	0.328	5.204984719719137e-29	3.873338770067155e-12	9.289638978617061e-33
Hmgb1	2.139668943723714e-11	-227.55176558249227	0.924	0.93	4.795426036673588e-7	1.2645832527089416e-37	-417.5795163007181	0.911	0.951	2.8341839859712797e-33	2.356572907448347e-21	-538.8296908654547	0.965	0.908	5.2815512001732355e-17	1.7694002920401612e-12	-517.6185515824293	0.965	0.893	3.9655799345204095e-8	2.139668943723714e-11	5.05833301083582e-37
Gtf2h4	2.2205123085739729e-10	-36.47121905348284	0.506	0.738	4.976612185975988e-6	2.3800332703047682e-58	-172.00009667549855	0.384	0.857	5.334130565407047e-54	7.864335597238712e-22	-100.25039806967497	0.587	0.775	1.7625548940531402e-17	1.4158186762373983e-31	-70.16942950351296	0.445	0.709	3.173132817183257e-27	2.2205123085739729e-10	9.520133081219148e-58
Tmsb10	1.0956855951993943e-9	-678.3545520956525	1	0.959	2.4556505559608825e-5	8.365715512294359e-76	-316.80602683121356	1	0.907	1.8749241606154118e-71	2.4229008420068036e-50	-434.95571341821596	1	0.883	5.430205367105648e-46	4.765631016641568e-93	-Inf	1	0.93	1.0680732234497081e-88	1.0956855951993943e-9	1.9062524066566332e-92
Gimap8	1.6357793332814222e-9	0.5226364010834392	0.228	0.061	3.666108641750323e-5	1.2966006862850532e-16	0.6250118506301887	0.289	0.102	2.9059414581020613e-12	6.675596135030829e-14	0.4797545597263142	0.314	0.121	1.4961346057831093e-9	4.365630466355625e-21	0.7842458431564995	0.361	0.169	9.784251001196227e-17	1.6357793332814222e-9	1.746252186542247e-20
Ccr9	2.0155623382447526e-9	-5.950630432601875	0.873	0.599	4.517278312474139e-5	3.540380470416133e-46	-122.98794376583655	0.958	0.717	7.934700710296638e-42	1.939098785602717e-47	-160.84175685361274	0.988	0.694	4.34590819829281e-43	1.75436340725162e-92	-54.517042531494766	0.991	0.741	3.9318792683323304e-88	2.0155623382447526e-9	7.01745362900658e-92
