gene	MRV_DoL6_p_val	MRV_DoL6_avg_log2FC	MRV_DoL6_pct.1	MRV_DoL6_pct.2	MRV_DoL6_p_val_adj	Mock_DoL6_p_val	Mock_DoL6_avg_log2FC	Mock_DoL6_pct.1	Mock_DoL6_pct.2	Mock_DoL6_p_val_adj	MRV_DoL4_p_val	MRV_DoL4_avg_log2FC	MRV_DoL4_pct.1	MRV_DoL4_pct.2	MRV_DoL4_p_val_adj	Mock_DoL4_p_val	Mock_DoL4_avg_log2FC	Mock_DoL4_pct.1	Mock_DoL4_pct.2	Mock_DoL4_p_val_adj	max_pval	minimump_p_val
Krt17	1.5443489182835456e-130	-238.8451934537139	0.558	0.015	3.4611947956570827e-126	1.836793481218334e-142	-271.27442850620116	0.5	0.009	4.1166215501065307e-138	3.472278118735631e-113	-459.0704832450848	0.7	0.016	7.782069719710296e-109	3.765219544292987e-123	-342.8715803973664	0.644	0.028	8.438610042669441e-119	3.472278118735631e-113	7.347173924873197e-142
Krt8	1.9711206712806546e-177	-Inf	0.791	0.024	4.417675648474203e-173	1.1846577861492484e-173	-638.7097304597905	0.8	0.02	2.6550550303176956e-169	7.816393034106116e-90	-609.2390580501143	0.9	0.037	1.7518100068038628e-85	2.0049570300997795e-142	-563.4792763452455	0.889	0.049	4.493509695859626e-138	7.816393034106116e-90	7.884482685122738e-177
Tbata	6.441776356759729e-153	-225.51944069312643	0.395	0.005	1.4437309170769904e-148	2.0820404840424987e-122	-Inf	0.667	0.021	4.666269132836048e-118	2.4237890458880506e-74	-Inf	0.8	0.035	5.432196009644299e-70	5.381723848444388e-97	-902.714618301257	0.733	0.051	1.2061519489133561e-92	2.4237890458880506e-74	2.576710542703926e-152
Krt18	2.9819200543304338e-123	-Inf	0.767	0.036	6.683079225765369e-119	2.1638369694612925e-133	-Inf	0.9	0.036	4.8495914159566487e-129	3.5488937825707016e-55	-958.3971752376369	0.85	0.056	7.953780745497457e-51	2.7405553963876464e-95	-837.3387499748519	0.933	0.089	6.142132754383994e-91	3.5488937825707016e-55	8.655347877845403e-133
Pax1	2.9897801442603625e-36	-41.147182094138884	0.14	0.003	6.700695259316324e-32	7.684706549113345e-36	-102.96227661666444	0.167	0.004	1.7222964317872827e-31	6.717241927311759e-85	-34.177780438544964	0.4	0.007	1.5054682607491113e-80	1.4786589442107242e-93	-21.892269520689585	0.356	0.011	3.313970425765075e-89	7.684706549113345e-36	5.9146357768429035e-93
H2-Aa	2.6868304646385378e-107	-423.5480769750969	0.605	0.024	6.021724437347891e-103	1.412126502773205e-40	-491.8115822080401	0.333	0.016	3.1648579180153065e-36	3.4161688230858904e-34	-413.5002767157557	0.45	0.023	7.656317566300097e-30	4.6213656864932085e-46	-852.1845762516289	0.467	0.04	1.0357404776568578e-41	3.4161688230858904e-34	1.0747321858554096e-106
Fxyd2	5.74086958937348e-76	-307.52523245084575	0.326	0.009	1.2866436923703844e-71	1.3100453338291461e-60	-543.4918506484152	0.333	0.01	2.936073602177882e-56	3.122553391017991e-31	-439.96428555943146	0.35	0.016	6.998266659949522e-27	5.673198368451307e-105	-249.17207488314733	0.556	0.025	1.2714772183373068e-100	3.122553391017991e-31	2.2692793473805156e-104
Crip3	1.1537288611170996e-27	-192.66215015078774	0.186	0.009	2.5857371235356437e-23	2.0238266903602147e-70	-200.1027522722799	0.4	0.013	4.535800378435313e-66	5.5360177994018816e-33	-162.8583580630859	0.4	0.019	1.2407323092019496e-28	5.1183746850970743e-85	-144.62489147521822	0.533	0.029	1.1471301344239563e-80	1.1537288611170996e-27	2.047349874038863e-84
Cd74	2.2092799782093574e-106	-Inf	0.837	0.051	4.9514382871628116e-102	6.302374858423629e-69	-Inf	0.6	0.03	1.4124882532699037e-64	2.8794018341229766e-21	-Inf	0.55	0.057	6.453315390636415e-17	2.986930258602592e-45	-Inf	0.711	0.101	6.694308095580128e-41	2.8794018341229766e-21	8.837119912837441e-106
Rbp1	2.776903320311583e-18	-44.80607154212148	0.14	0.008	6.223595721482319e-14	1.0055088118693263e-160	-42.57825294942174	0.4	0.004	2.253546349161534e-156	2.812441127875797e-23	-53.611766708117706	0.25	0.011	6.303243055795237e-19	5.443171555130118e-38	-92.41777540514624	0.311	0.021	1.2199236089357622e-33	2.776903320311583e-18	4.022035247477222e-160
