gene	MRV_DoL6_p_val	MRV_DoL6_avg_log2FC	MRV_DoL6_pct.1	MRV_DoL6_pct.2	MRV_DoL6_p_val_adj	Mock_DoL6_p_val	Mock_DoL6_avg_log2FC	Mock_DoL6_pct.1	Mock_DoL6_pct.2	Mock_DoL6_p_val_adj	MRV_DoL4_p_val	MRV_DoL4_avg_log2FC	MRV_DoL4_pct.1	MRV_DoL4_pct.2	MRV_DoL4_p_val_adj	Mock_DoL4_p_val	Mock_DoL4_avg_log2FC	Mock_DoL4_pct.1	Mock_DoL4_pct.2	Mock_DoL4_p_val_adj	max_pval	minimump_p_val
Adamts1	2.1535771292446622e-201	2.9603034304511393	0.357	0.001	4.826597062063137e-197	2.343323459249113e-216	1.0460318693553208	0.167	0	5.251856536869112e-212	0	3.8463671538558653	0.438	0	0	0	5.449907987995519	0.312	0.001	0	2.1535771292446622e-201	0
Serping1	3.437323000846867e-170	-75.670687822366	0.786	0.008	7.703728309497999e-166	2.343323459249113e-216	3.3122331433195655	0.167	0	5.251856536869112e-212	8.620153060266101e-209	74.88539507027392	0.438	0.002	1.9319487038668387e-204	0	34.257020579468936	0.623	0.004	0	3.437323000846867e-170	0
Bgn	5.78888778330482e-145	166.1177611287888	0.429	0.002	1.2974055299942762e-140	0	7.5227141762835465	0.333	0	0	0	66.68727515150451	0.688	0.001	0	0	40.47975732650015	0.688	0.005	0	5.78888778330482e-145	0
Sparcl1	1.979184293164422e-129	52.45568620632578	0.286	0.001	4.4357478378401025e-125	2.343323459249113e-216	13.284803421331803	0.167	0	5.251856536869112e-212	0	45.049538852677316	0.5	0.001	0	0	75.50832108713725	0.753	0.003	0	1.979184293164422e-129	0
Tm4sf1	3.2605855967155906e-120	10.891046330855609	0.5	0.004	7.307624439358982e-116	0	45.02397384861468	0.333	0	0	4.4776648624130266e-122	0.6533139910195045	0.188	0.001	1.0035342489640075e-117	7.285937008064427e-292	-114.33517633402212	0.351	0.004	1.6329242022473993e-287	3.2605855967155906e-120	0
Sparc	1.3067729016983503e-169	13.776404712749752	0.857	0.01	2.9287394272863427e-165	4.363482405069219e-115	103.7188194875504	0.5	0.002	9.779436766241134e-111	7.174861948985356e-266	527.9013435972741	0.938	0.009	1.608030060006598e-261	0	-122.99673781717274	0.935	0.035	0	4.363482405069219e-115	0
Ebf2	8.551733047133182e-114	0.6590984851762957	0.143	0	1.9166144105234887e-109	2.343323459249113e-216	0.36331722326903904	0.167	0	5.251856536869112e-212	6.383121491655728e-163	3.7616264177388783	0.125	0	1.4305851887098817e-158	0	6.328353016120654	0.494	0.001	0	8.551733047133182e-114	0
Tril	8.551733047133182e-114	0.6590984851762957	0.143	0	1.9166144105234887e-109	2.343323459249113e-216	0.36331722326903904	0.167	0	5.251856536869112e-212	2.901219029693765e-184	1.432934758330459	0.312	0.001	6.502212089349666e-180	1.2660500071242277e-237	-4.42064233788261	0.234	0.002	2.837471275966819e-233	8.551733047133182e-114	5.064200028496702e-237
Meox2	1.082730204383825e-281	8.21639704554575	0.357	0	2.4266149340650284e-277	5.017023807445925e-109	2.0634024466376517	0.167	0	1.1244153757247807e-104	4.4418521979702814e-225	26.294455633653286	0.312	0.001	9.955079146090994e-221	0	18.262815347116984	0.273	0	0	5.017023807445925e-109	0
Ccl11	2.657570740129241e-141	203.93729016312747	0.357	0.001	5.956147542777656e-137	5.017023807445925e-109	1.0456129043890858	0.167	0	1.1244153757247807e-104	4.812593101024711e-109	63.806248169133426	0.125	0	1.0785983658016582e-104	0	119.18036784068903	0.325	0.001	0	5.017023807445925e-109	0
