gene	MRV_DoL6_p_val	MRV_DoL6_avg_log2FC	MRV_DoL6_pct.1	MRV_DoL6_pct.2	MRV_DoL6_p_val_adj	Mock_DoL6_p_val	Mock_DoL6_avg_log2FC	Mock_DoL6_pct.1	Mock_DoL6_pct.2	Mock_DoL6_p_val_adj	MRV_DoL4_p_val	MRV_DoL4_avg_log2FC	MRV_DoL4_pct.1	MRV_DoL4_pct.2	MRV_DoL4_p_val_adj	Mock_DoL4_p_val	Mock_DoL4_avg_log2FC	Mock_DoL4_pct.1	Mock_DoL4_pct.2	Mock_DoL4_p_val_adj	max_pval	minimump_p_val
Ctsl	1.2859661089041563e-21	-Inf	1	0.809	2.882107243275995e-17	6.464498696020496e-32	-Inf	1	0.861	1.4488234477521135e-27	6.759287295940228e-21	-Inf	1	0.813	1.5148914687661239e-16	7.428522775113112e-55	-Inf	1	0.756	1.6648805243583506e-50	6.759287295940228e-21	2.9714091100452604e-54
Rbbp7	1.4215078807140128e-4	-29.889333901236242	0.315	0.561	1	5.550055597048602e-10	-32.001939367455584	0.113	0.321	1.2438784604105328e-5	8.298827580407301e-17	-38.16631525182698	0.099	0.446	1.8599332373208843e-12	3.397471166180767e-20	-29.471525327115373	0.109	0.394	7.6144123776443345e-16	1.4215078807140128e-4	1.3589884664722983e-19
Rpl4	1.4271110287556864e-4	-166.29750552469577	0.833	0.85	1	7.860240484396737e-18	-140.37493466409	0.61	0.803	1.7616370973629966e-13	2.503981963682996e-16	-224.4106444363684	0.683	0.805	5.611924377006331e-12	2.7288150136062928e-21	-205.3787989539167	0.657	0.769	6.115820208494423e-17	1.4271110287556864e-4	1.091526005442511e-20
B2m	1.6641688719780197e-4	-445.54637455590563	0.926	0.922	1	2.4760328436694503e-6	-280.14905410671366	0.294	0.455	0.05549284809231972	2.9791902533029417e-9	-200.81810841278082	0.387	0.561	6.676961195702552e-5	2.000164441860339e-15	-257.3985521969691	0.222	0.456	4.4827685470973916e-11	1.6641688719780197e-4	8.000657767441281e-15
Rps26	1.8090429466049806e-4	-504.560524226777	0.963	0.943	1	1.0628126327791017e-14	-380.1528255228624	0.91	0.915	2.381975672584523e-10	6.282439644953737e-11	-571.5995748366081	0.937	0.9	1.4080203732270315e-6	1.3156419201049075e-17	-478.5105281677242	0.958	0.899	2.9486166713391185e-13	1.8090429466049806e-4	5.2625676804196054e-17
H2-D1	1.9664422858399358e-4	-881.1947567171521	0.981	0.944	1	1.0767619024600718e-4	-376.4943852097223	0.175	0.298	1	1.5875251567713163e-6	-429.6359212108107	0.225	0.395	0.03557961381355874	4.9190237391257805e-9	-321.19255056414255	0.155	0.316	1.10245160041287e-4	1.9664422858399358e-4	1.967609481132236e-8
Rpl23a	2.462222056502128e-4	-151.9082410146492	0.685	0.806	1	3.5942412245344606e-8	-124.04935205464069	0.655	0.717	8.055413432426634e-4	1.1973773283953033e-12	-273.56244050922237	0.711	0.779	2.683562068399554e-8	7.362094714849493e-16	-211.43381253631551	0.653	0.74	1.6499926674920683e-11	2.462222056502128e-4	2.9448378859397936e-15
Rpl12	3.6556602686138514e-4	-316.58783161536405	0.981	0.929	1	5.8697969876096866e-15	-265.7506938704196	0.847	0.896	1.315538900863083e-10	5.4289326370738725e-17	-380.9638960608786	0.796	0.856	1.2167323826209963e-12	2.25729790135485e-22	-325.18541986739444	0.816	0.848	5.059056056516489e-18	3.6556602686138514e-4	9.029191605419367e-22
Shisa5	4.001461667083365e-4	-51.71399286263776	0.259	0.474	1	3.6829634429445462e-6	-26.56940276057683	0.113	0.26	0.08254257668327317	4.026844163986688e-12	-26.593637308546178	0.042	0.314	9.024963140326965e-8	2.0881378251714635e-16	-28.108413246244655	0.105	0.347	4.6799344937742845e-12	4.001461667083365e-4	8.352551300685829e-16
Sucla2	4.388051405510975e-4	-4.156149374223525	0.093	0.31	1	4.369240826302325e-5	-3.3155723892050335	0.102	0.225	0.979234253990877	1.7047908030151974e-6	-4.943368067413043	0.12	0.298	0.038207771477176605	2.0608685426815783e-6	-12.638831652051731	0.096	0.221	0.046188185778579534	4.388051405510975e-4	6.819145774210518e-6
