gene	MRV_DoL6_p_val	MRV_DoL6_avg_log2FC	MRV_DoL6_pct.1	MRV_DoL6_pct.2	MRV_DoL6_p_val_adj	Mock_DoL6_p_val	Mock_DoL6_avg_log2FC	Mock_DoL6_pct.1	Mock_DoL6_pct.2	Mock_DoL6_p_val_adj	MRV_DoL4_p_val	MRV_DoL4_avg_log2FC	MRV_DoL4_pct.1	MRV_DoL4_pct.2	MRV_DoL4_p_val_adj	Mock_DoL4_p_val	Mock_DoL4_avg_log2FC	Mock_DoL4_pct.1	Mock_DoL4_pct.2	Mock_DoL4_p_val_adj	max_pval	minimump_p_val
Arsi	2.2010112737902843e-14	0.4130595097502041	0.2	0.003	4.932906466818785e-10	1.291535605386688e-25	0.8620324234401862	0.237	0.023	2.894589598792645e-21	6.275091203966032e-38	1.0399142632067628	0.366	0.053	1.406373440632867e-33	1.2550445796420394e-43	0.5799404293882264	0.25	0.017	2.8128059118937385e-39	2.2010112737902843e-14	5.020178318568196e-43
Hmmr	3.3711149921873888e-12	-5.53993056530873	1	0.088	7.555342920490375e-8	4.3144731214410007e-94	25.004704254702457	1	0.139	9.669597159773571e-90	3.84339526379981e-102	11.76496389598385	1	0.202	8.613817465228134e-98	3.462017093420132e-165	6.083026363160418	1	0.079	7.759072709773199e-161	3.3711149921873888e-12	1.3848068373680676e-164
Hist1h3e	8.059210417024228e-11	1.510423661685093	0.8	0.067	1.8062302386634699e-6	3.634372948557749e-68	2.131937874567867	0.644	0.066	8.145356652307627e-64	1.9207533870483524e-104	4.757504783658186	0.968	0.17	4.304792491052767e-100	2.0621557470055035e-171	7.379641820406324	0.969	0.068	4.621703460188734e-167	8.059210417024228e-11	8.248622988022142e-171
E2f8	8.228096266061107e-11	1.2486156353982982	0.8	0.067	1.8440809351496153e-6	5.118801900391417e-64	4.785030463356101	0.78	0.104	1.1472258819157244e-59	2.629306514551152e-37	4.218927329630905	0.613	0.149	5.8928017604120424e-33	3.135987851408565e-70	1.5429168624808405	0.562	0.053	7.028375972576876e-66	8.228096266061107e-11	1.254395140563431e-69
Cenpf	4.217456088785413e-10	-30.665442225762625	1	0.119	9.452162586185868e-6	1.3863036129457406e-79	19.48289710860118	1	0.162	3.106983657333994e-75	1.9119021643386428e-83	-60.390803482068975	1	0.246	4.284955130715766e-79	2.7501936661245796e-128	-30.39125661248484	1	0.105	6.163734044518408e-124	4.217456088785413e-10	1.1000774664498665e-127
Plk1	5.00261506586504e-10	-2.6249405407574224	0.6	0.042	1.1211860885616727e-5	7.489546549461655e-126	10.6709094136103	0.983	0.093	1.678557172665346e-121	4.920195534923555e-113	3.5851614303889185	0.989	0.173	1.1027142232870672e-108	4.2000179412009633e-190	12.473908193039641	0.969	0.064	9.4130802098196e-186	5.00261506586504e-10	1.6800071764803704e-189
Cep55	7.36076223296989e-10	1.4337660398810328	1	0.119	1.6496940316532117e-5	1.3260431988567621e-62	4.939199686378151	0.746	0.097	2.9719280172777752e-58	1.231038453904704e-84	6.149454127132945	0.892	0.164	2.7590033828912223e-80	1.050755212788849e-119	2.8118157599641247	0.797	0.065	2.3549525829023683e-115	7.36076223296989e-10	4.203020851155489e-119
Zfp599	2.083017079324464e-9	0.7042690699777834	0.4	0.02	4.6684578781819884e-5	8.119075481470925e-49	1.3961416379955467	0.373	0.03	1.8196471969072636e-44	7.419666990662806e-32	1.19964882734916	0.366	0.063	1.662895765947348e-27	1.2444042876934604e-58	0.9149394609994441	0.469	0.043	2.7889588895785835e-54	2.083017079324464e-9	4.977617150773869e-58
Kif11	4.357034106799973e-9	-2.7424768619049797	1	0.131	9.764984840160099e-5	3.532865274734972e-86	12.678378914467599	1	0.148	7.917857653736019e-82	4.7285740318874e-87	13.577479771859437	0.989	0.231	1.059768012026604e-82	9.163867663220712e-145	-26.53016741126268	1	0.091	2.053806020681026e-140	4.357034106799973e-9	3.665547065288349e-144
Plekha7	1.5845918377984486e-13	-4.97898750559376	0.6	0.03	3.551387226873883e-9	2.7182238838523136e-10	-3.0578708245267254	0.22	0.045	6.092083368489805e-6	9.363164986735797e-9	-5.908948641126302	0.237	0.074	2.0984725368272268e-4	6.769792074260051e-11	-2.1122115829247763	0.266	0.062	1.5172457996831626e-6	9.363164986735797e-9	6.338367351192286e-13
