gene	MRV_DoL6_p_val	MRV_DoL6_avg_log2FC	MRV_DoL6_pct.1	MRV_DoL6_pct.2	MRV_DoL6_p_val_adj	Mock_DoL6_p_val	Mock_DoL6_avg_log2FC	Mock_DoL6_pct.1	Mock_DoL6_pct.2	Mock_DoL6_p_val_adj	MRV_DoL4_p_val	MRV_DoL4_avg_log2FC	MRV_DoL4_pct.1	MRV_DoL4_pct.2	MRV_DoL4_p_val_adj	Mock_DoL4_p_val	Mock_DoL4_avg_log2FC	Mock_DoL4_pct.1	Mock_DoL4_pct.2	Mock_DoL4_p_val_adj	max_pval	minimump_p_val
Rab44	7.15835650660369e-108	3.7695965344677935	0.383	0.009	1.604330860260019e-103	7.266096624469937e-152	3.7767519139578654	0.473	0.017	1.628477575476202e-147	1.5951349084842933e-279	2.5288679518845663	0.556	0.02	3.575016356894998e-275	0	3.5769322495034515	0.537	0.013	0	7.15835650660369e-108	0
Il2ra	1.4907821774282005e-78	11.250487780677833	0.383	0.014	3.3411410160520827e-74	0	-8.56497372221762	0.892	0.024	0	0	-6.377477285202083	0.958	0.052	0	0	-1.4812299483782283	0.938	0.061	0	1.4907821774282005e-78	0
Prss57	4.084197879429651e-137	4.383981384569674	0.723	0.029	9.153504287377734e-133	6.840396090431463e-72	-2.5124340417966176	0.595	0.065	1.5330695717874995e-67	3.0862354675978374e-147	3.6520800815129406	0.768	0.097	6.916870929980273e-143	1.8632229932522838e-307	0.3260414561965179	0.673	0.038	4.175855372477018e-303	6.840396090431463e-72	7.452891973009287e-307
Ctla2a	2.4890611060506354e-59	-104.05281898065984	0.298	0.011	5.578483750880684e-55	1.8687158250198774e-139	-46.894042961946255	0.432	0.015	4.1881659070345494e-135	3.162496327452422e-194	-15.135092168675815	0.479	0.023	7.087786769086368e-190	1.0789604034145458e-191	-39.97131311795714	0.414	0.022	2.41816605613268e-187	2.4890611060506354e-59	1.2649985309809396e-193
Dyrk4	2.2758870722156503e-58	0.43186231651481194	0.149	0.002	5.1007181062497154e-54	8.766875974947443e-118	1.0439215199333494	0.216	0.004	1.964832243505221e-113	4.084804045355983e-263	1.232000789948322	0.338	0.005	9.154862826451828e-259	2.1541897557304607e-241	1.3893415860656082	0.241	0.004	4.8279700805431086e-237	2.2758870722156503e-58	1.6339216181424417e-262
1500009L16Rik	1.6207384799327855e-56	6.797823769364303	0.681	0.071	3.632399081225359e-52	4.105856127337593e-74	-6.430538916350933	0.824	0.123	9.202044752589014e-70	4.364688212667735e-89	-10.518681167545331	0.852	0.192	9.782139222230928e-85	3.6163784819781222e-245	-9.366750200814238	0.827	0.076	8.105027453809368e-241	1.6207384799327855e-56	1.4465513927911725e-244
Atp8b4	5.230765389965598e-78	3.098097409673077	0.617	0.04	1.1723191391990899e-73	4.447946341649519e-51	1.6005716783720625	0.189	0.008	9.968737340904902e-47	4.477962447461533e-173	0.9206953358421872	0.437	0.021	1.0036009437250789e-168	1.0215882906035086e-122	1.2524347937290043	0.272	0.015	2.2895836769005833e-118	4.447946341649519e-51	1.7911849789845814e-172
Notch3	4.080304985528698e-48	7.3827779947042265	0.34	0.019	9.144779533566918e-44	5.284117336153328e-65	-6.769263680744414	0.649	0.088	1.1842763773786839e-60	6.6128265103061205e-127	2.783783188236897	0.775	0.118	1.4820666774898077e-122	2.8866377777287407e-117	2.4518427880871667	0.66	0.108	6.4695325874456535e-113	4.080304985528698e-48	2.6451306041224177e-126
Hes1	1.1712050659786702e-46	19.698297115411698	0.766	0.124	2.6249047938713958e-42	4.891436856269758e-118	8.687526381507269	0.946	0.114	1.0962688282271782e-113	4.408354472407449e-162	-37.93030038156462	0.993	0.179	9.880004043559574e-158	6.447564950450481e-213	-96.67202718077101	0.963	0.147	1.445028256694962e-208	1.1712050659786702e-46	2.579025980180173e-212
Bst1	2.102059910010968e-46	-2.5042827967017915	0.319	0.017	4.711136670316581e-42	0	5.318398774176486	0.73	0.018	0	0	6.228667335760607	0.866	0.032	0	0	-12.207008613631727	0.673	0.022	0	2.102059910010968e-46	0
