gene	MRV_DoL6_p_val	MRV_DoL6_avg_log2FC	MRV_DoL6_pct.1	MRV_DoL6_pct.2	MRV_DoL6_p_val_adj	Mock_DoL6_p_val	Mock_DoL6_avg_log2FC	Mock_DoL6_pct.1	Mock_DoL6_pct.2	Mock_DoL6_p_val_adj	MRV_DoL4_p_val	MRV_DoL4_avg_log2FC	MRV_DoL4_pct.1	MRV_DoL4_pct.2	MRV_DoL4_p_val_adj	Mock_DoL4_p_val	Mock_DoL4_avg_log2FC	Mock_DoL4_pct.1	Mock_DoL4_pct.2	Mock_DoL4_p_val_adj	max_pval	minimump_p_val
Cenpa	1.4759887600104187e-20	-40.01371233460602	0.667	0.135	3.3079860089353503e-16	1.4263191167553806e-70	-21.354872759147437	0.902	0.243	3.196666404472159e-66	3.4779027157652314e-46	-37.744604819613684	0.926	0.326	7.794675566573037e-42	6.644509579576741e-47	-29.190835838159515	0.775	0.177	1.4891674869747392e-42	1.4759887600104187e-20	5.705276467021562e-70
Ccnb2	8.418023960429447e-17	-13.65870211233884	0.636	0.133	1.8866475300114475e-12	8.014875580129431e-60	-21.677145656783658	0.827	0.199	1.796293915018608e-55	4.292674167777965e-43	-13.311980335723849	0.901	0.297	9.620741344823975e-39	1.1252814591631324e-45	-13.432825488571112	0.662	0.125	2.5219808062764123e-41	8.418023960429447e-17	3.2059502320517806e-59
Lgals1	1.080696339606236e-16	-470.7709155374837	0.909	0.317	2.422056636325496e-12	7.744115126906364e-37	-99.35282122527315	0.962	0.51	1.735611082242254e-32	1.64324027710654e-22	-189.56540849569598	0.983	0.58	3.682830109051177e-18	1.9424347988052586e-23	-727.5198333859644	0.9	0.416	4.353384871082346e-19	1.080696339606236e-16	3.097646050762562e-36
Ptms	8.801355361971729e-13	-28.34774089575205	0.939	0.446	1.972559763725104e-8	1.0720704451353239e-41	-43.60777955407308	0.94	0.566	2.4027242816372877e-37	1.5411662085438794e-40	-91.38831832105186	0.983	0.598	3.454061706588543e-36	5.8133021382481814e-27	-137.3979648664859	0.95	0.555	1.3028772752241824e-22	8.801355361971729e-13	4.2882817805413363e-41
Anxa2	2.9971572159612114e-12	-204.80121010673327	0.939	0.547	6.717228752412268e-8	2.105874297716563e-31	-142.12236670514775	0.955	0.624	4.719685476042361e-27	5.274160479744466e-38	-50.703524249340255	0.992	0.611	1.1820448467203297e-33	8.931143630501702e-25	-161.92726658194422	0.912	0.49	2.0016479104680413e-20	2.9971572159612114e-12	2.1096641918978073e-37
Gmfg	1.0512787262266416e-11	-17.684230425509643	0.818	0.375	2.356125881219149e-7	1.1004405346569306e-16	-115.46537346079504	0.962	0.87	2.466307326273113e-12	5.3937749485916216e-18	-34.818692528596905	0.992	0.784	1.2088528414783543e-13	2.6021831230814956e-15	-32.92972260252123	0.95	0.712	5.832012815450248e-11	1.0512787262266416e-11	2.1575099794366397e-17
Hist1h2bc	2.3817457340105806e-13	-54.73847175969336	0.333	0.051	5.337968539064513e-9	5.046804355636264e-34	-39.540506603081994	0.346	0.067	1.1310897921851995e-29	3.344404951191857e-11	-23.92223228805346	0.306	0.112	7.49548037661119e-7	2.0113803585924527e-31	-35.922059957510584	0.412	0.072	4.5079056596774054e-27	3.344404951191857e-11	2.0187217422545036e-33
Tspo	1.3485581164046016e-10	-158.12440204554784	0.97	0.588	3.022388450485993e-6	1.2387822441974678e-22	-19.49474618316727	0.902	0.571	2.7763587656953648e-18	1.4755643119377023e-20	-57.8674498136256	0.934	0.606	3.3070347359147785e-16	6.349523675766464e-12	-65.2336861652592	0.825	0.513	1.42305524621278e-7	1.3485581164046016e-10	4.955128976789864e-22
Cdkn3	4.753814178035669e-16	-2.9087092976483824	0.455	0.073	1.065424833581354e-11	7.959800899895614e-10	-1.9666943922811397	0.278	0.103	1.783950577684605e-5	4.1735857227563526e-19	-3.974557126683666	0.496	0.167	9.353840321841538e-15	1.0714947161465207e-10	-2.308943760855129	0.238	0.061	2.4014339578275824e-6	7.959800899895614e-10	1.6694342891025364e-18
Hmgb1	8.163875839385145e-8	-123.26472538303004	1	0.929	0.0018296878531229987	3.954333798019738e-26	-326.3760433188544	1	0.949	8.862452908121836e-22	6.235371664825205e-19	-372.3996485720671	1	0.908	1.397471497520625e-14	6.939858462507437e-19	-477.92913637509565	1	0.895	1.555361078617167e-14	8.163875839385145e-8	1.58173351920789e-25
