gene	MRV_DoL6_p_val	MRV_DoL6_avg_log2FC	MRV_DoL6_pct.1	MRV_DoL6_pct.2	MRV_DoL6_p_val_adj	Mock_DoL6_p_val	Mock_DoL6_avg_log2FC	Mock_DoL6_pct.1	Mock_DoL6_pct.2	Mock_DoL6_p_val_adj	MRV_DoL4_p_val	MRV_DoL4_avg_log2FC	MRV_DoL4_pct.1	MRV_DoL4_pct.2	MRV_DoL4_p_val_adj	Mock_DoL4_p_val	Mock_DoL4_avg_log2FC	Mock_DoL4_pct.1	Mock_DoL4_pct.2	Mock_DoL4_p_val_adj	max_pval	minimump_p_val
H1fx	1.3171919411750703e-99	-61.25401659296751	0.99	0.229	2.9520905785615676e-95	1.0950317081628601e-100	-87.48791317949086	1	0.32	2.454185064334602e-96	7.653323597143338e-45	-66.88393208461775	1	0.348	1.715262884591765e-40	1.7746512582237327e-157	-41.22689231027962	1	0.195	3.9773483999310296e-153	7.653323597143338e-45	7.098605032895116e-157
Cks1b	2.8844025531899647e-17	-20.716300519229627	0.902	0.539	6.464523002209349e-13	1.0929151834370159e-10	-43.551232440034944	0.084	0.293	2.44944150911904e-6	3.775953561022453e-10	-63.76453303572298	0.08	0.398	8.462667120963522e-6	2.3773163945508713e-8	-33.439973573409105	0.122	0.313	5.328041503467412e-4	2.3773163945508713e-8	1.1537610212759841e-16
Hsp90b1	3.9850859774285796e-14	-244.48141210010522	0.951	0.739	8.931374692612933e-10	4.451241294248549e-11	-40.53745554790137	0.162	0.385	9.976121988669848e-7	2.189820001399002e-7	-195.54815201176763	0.307	0.523	0.004907824587135443	1.7168327633058162e-10	-73.65606531792622	0.231	0.457	3.8477655891209955e-6	2.189820001399002e-7	1.5940343909713377e-13
Gtf2h4	1.2587648210124925e-7	-20.52552806877843	0.912	0.728	0.0028211437168531982	2.5788495812189074e-14	-152.24409580253098	0.966	0.838	5.779717681427816e-10	4.840160030493999e-7	-113.35599907981565	0.989	0.766	0.01084776666034315	2.7251352855416025e-24	-60.5138647902573	0.981	0.694	6.10757320195584e-20	4.840160030493999e-7	1.0900541142166384e-23
Spc24	2.262635672758667e-13	-29.487192772082004	0.745	0.358	5.071019069786725e-9	1.568410334905374e-10	-27.00974281600656	0.022	0.219	3.5151212425899244e-6	1.732810471644653e-9	-52.35256274759475	0.023	0.326	3.883574829049996e-5	1.0496318614778512e-6	-44.576738033743034	0.013	0.153	0.023524349279441602	1.0496318614778512e-6	9.050542691031596e-13
Cenpw	8.225649981752444e-14	-16.17757990882238	0.873	0.523	1.8435326739103576e-9	1.3601303993503018e-9	-22.075724273304832	0.056	0.246	3.0483242510238964e-5	1.1796555314913603e-8	-25.17115460642672	0.057	0.342	2.643843977178437e-4	5.962679176588597e-6	-21.850311560785155	0.051	0.191	0.13363556570570362	5.962679176588597e-6	3.290259992700568e-13
Dntt	2.920413386883565e-28	-6.534472203448271	0.902	0.463	6.545230482683446e-24	9.269847634483903e-6	-41.57560070724482	0.626	0.434	0.20775582518405322	9.010212022339476e-6	-15.653756093837865	0.636	0.373	0.20193687184467232	1.4198334602801406e-13	-18.75736129645045	0.577	0.315	3.182130751179851e-9	9.269847634483903e-6	1.168165354753423e-27
Topbp1	1.121732899538776e-5	-1.2741806894107688	0.814	0.629	0.25140277744463047	2.709058173805674e-7	-10.088940281580005	0.123	0.284	0.0060715411791332765	4.4096750689212847e-7	-20.361627111848005	0.125	0.371	0.009882963764466382	1.3893279226007123e-7	-29.8499457313839	0.115	0.301	0.0031137617401327164	1.121732899538776e-5	5.557310532263711e-7
Birc5	1.3471402782817372e-20	-65.14568526775459	0.833	0.359	3.019210791685029e-16	9.346879442937756e-10	-64.03259334287466	0.061	0.252	2.09482262075121e-5	1.46403750882126e-8	-87.75841284430608	0.091	0.369	3.281200864770208e-4	1.3051701373494091e-5	-60.57164293821529	0.038	0.165	0.29251473118274957	1.3051701373494091e-5	5.3885611131269447e-20
Smc2	1.8454894842954303e-5	-18.14089971082122	0.667	0.44	0.4136111032202918	8.159320835033786e-11	-36.44073533525414	0.05	0.259	1.8286669855477721e-6	3.403928611365994e-9	-47.97227924706459	0.091	0.387	7.628884803793466e-5	4.150816097576023e-6	-73.02848175386471	0.122	0.274	0.09302809037887382	1.8454894842954303e-5	3.263728333614068e-10
