gene	MRV_DoL6_p_val	MRV_DoL6_avg_log2FC	MRV_DoL6_pct.1	MRV_DoL6_pct.2	MRV_DoL6_p_val_adj	Mock_DoL6_p_val	Mock_DoL6_avg_log2FC	Mock_DoL6_pct.1	Mock_DoL6_pct.2	Mock_DoL6_p_val_adj	MRV_DoL4_p_val	MRV_DoL4_avg_log2FC	MRV_DoL4_pct.1	MRV_DoL4_pct.2	MRV_DoL4_p_val_adj	Mock_DoL4_p_val	Mock_DoL4_avg_log2FC	Mock_DoL4_pct.1	Mock_DoL4_pct.2	Mock_DoL4_p_val_adj	max_pval	minimump_p_val
Gtf2h4	9.92159939881191e-20	-28.20391755538921	0.629	0.745	2.2236288572617254e-15	6.549790066672785e-20	-176.74125350314455	0.539	0.846	1.4679389497427045e-15	5.316354904814551e-18	-123.38236917317944	0.324	0.775	1.1915014612670372e-13	6.131261488116158e-22	-80.64596568553046	0.396	0.704	1.3741383247165933e-17	5.316354904814551e-18	2.452504595246463e-21
Ccnd3	8.922881004132467e-18	-17.651254849875507	0.308	0.509	1.9997960906461686e-13	4.580343429083098e-17	-174.6773683290403	0.487	0.843	1.026546569326104e-12	3.0739550455949157e-21	-158.3357741649978	0.324	0.814	6.889348048187325e-17	8.352747752905916e-25	-107.90568625477574	0.456	0.781	1.8720178263812738e-20	4.580343429083098e-17	3.3410991011623434e-24
Rag1	1.222145630059963e-16	-14.00546577240213	0.106	0.303	2.739072786090389e-12	2.305107725543814e-20	-144.40145849036583	0.118	0.664	5.166207434488796e-16	6.168395682104602e-17	-185.22570059524412	0.103	0.658	1.3824608402732834e-12	2.6444797860750844e-22	-68.62546864182441	0.168	0.588	5.9268080965514794e-18	1.222145630059963e-16	1.0577919144300338e-21
Arpp21	4.919741124014146e-18	-19.523945185875732	0.248	0.47	1.1026123807140504e-13	2.1267094907729266e-16	-81.27590472691385	0.25	0.695	4.7663813107202834e-12	6.314736955375781e-18	-82.97799536316757	0.088	0.651	1.41525884643882e-13	1.0629414351149485e-21	-38.68180720742952	0.148	0.56	2.3822643443796225e-17	2.1267094907729266e-16	4.251765740459783e-21
Ctsl	1.599802019868744e-14	-Inf	0.744	0.82	3.5854762869298293e-10	1.989190171487586e-17	-Inf	0.487	0.87	4.4581730123379776e-13	2.086055712308585e-19	-Inf	0.368	0.823	4.675268062426001e-15	3.943655810435761e-18	-Inf	0.544	0.766	8.838521402348626e-14	1.599802019868744e-14	8.344222849234286e-19
Arl5c	4.052711063824066e-14	-9.854066682429483	0.03	0.186	9.082936036242497e-10	1.6734075835200642e-16	-63.98747525330203	0.158	0.631	3.750441076185168e-12	4.951200135454085e-15	-35.86382250525781	0.118	0.616	1.1096629743579696e-10	2.7095461945830467e-18	-29.501945864110695	0.228	0.602	6.072634931299525e-14	4.052711063824066e-14	1.0838184778332164e-17
Cd8b1	3.9461271060755924e-23	-35.80793914650913	0.286	0.532	8.844060070136618e-19	1.0501935101283472e-15	-179.3383515946091	0.474	0.817	2.3536936948996518e-11	1.5297019912486787e-13	-160.57978050018633	0.412	0.751	3.4283681027865387e-9	2.961706338881738e-14	-93.64938071217122	0.503	0.707	6.637776246701752e-10	1.5297019912486787e-13	1.5784508424302318e-22
Anxa2	1.8735381747813404e-16	-221.8472927303387	0.39	0.569	4.19897375731994e-12	3.30245635720995e-11	-160.8517651076897	0.263	0.636	7.40146518777894e-7	5.981331738377255e-14	-103.25119182775313	0.162	0.624	1.3405360692051105e-9	1.8391003557278263e-14	-185.16026808751496	0.208	0.499	4.1217917172572043e-10	3.30245635720995e-11	7.494152699125341e-16
Socs1	2.7976910194237278e-11	-73.24717519975985	0.414	0.556	6.270185112732459e-7	6.010101344027238e-11	-64.21742515092656	0.197	0.597	1.3469839132233846e-6	2.8956996690104517e-11	-37.92009186169377	0.324	0.715	6.489842098186225e-7	2.061758515421764e-11	-35.00511044084268	0.443	0.688	4.620813184763258e-7	6.010101344027238e-11	8.247034061431997e-11
Lck	1.2537635492476472e-15	-14.344088295474977	0.548	0.708	2.809934866573827e-11	3.1312900705343714e-16	-128.81022700566555	0.618	0.881	7.017847306081633e-12	1.2409319869709864e-15	-111.58416813893635	0.559	0.846	2.7811767691993746e-11	9.492704152859339e-11	-50.38326785030729	0.711	0.813	2.127504854738835e-6	9.492704152859339e-11	1.2525160282137393e-15
Xrcc6	2.809493167004086e-10	-10.15643337548513	0.174	0.324	6.296636085889558e-6	2.2193463090662474e-11	-44.69197345316396	0.171	0.551	4.973998947879273e-7	1.6936399616742534e-11	-34.18630445692938	0.162	0.563	3.7957858821043366e-7	1.697372831682307e-11	-21.723139961825574	0.148	0.426	3.804151990366387e-7	2.809493167004086e-10	6.774559846524904e-11
