gene	MRV_DoL6_p_val	MRV_DoL6_avg_log2FC	MRV_DoL6_pct.1	MRV_DoL6_pct.2	MRV_DoL6_p_val_adj	Mock_DoL6_p_val	Mock_DoL6_avg_log2FC	Mock_DoL6_pct.1	Mock_DoL6_pct.2	Mock_DoL6_p_val_adj	MRV_DoL4_p_val	MRV_DoL4_avg_log2FC	MRV_DoL4_pct.1	MRV_DoL4_pct.2	MRV_DoL4_p_val_adj	Mock_DoL4_p_val	Mock_DoL4_avg_log2FC	Mock_DoL4_pct.1	Mock_DoL4_pct.2	Mock_DoL4_p_val_adj	max_pval	minimump_p_val
Rps4x	9.850424450535018e-13	-539.4955378143093	0.806	0.95	2.207677127853908e-8	9.275306537041858e-28	-554.7474141140283	0.855	0.962	2.0787817010818212e-23	3.746841298613741e-14	-271.28406907699514	0.82	0.919	8.397420718453116e-10	6.882724297312542e-12	-449.10695189718865	0.872	0.917	1.542556169513687e-7	6.882724297312542e-12	3.710122614816742e-27
Rps20	2.1650735907627723e-13	-866.9209960037492	0.903	0.97	4.852362931617525e-9	2.978923120823767e-31	-949.4977325069971	0.895	0.969	6.676362498390227e-27	2.1662239619884094e-14	-453.06412811795997	0.865	0.931	4.854941143608423e-10	1.2840675365521734e-11	-Inf	0.89	0.939	2.877852162920731e-7	1.2840675365521734e-11	1.1915692483295077e-30
Uba52	1.3217287006272824e-11	-108.38835229043663	0.694	0.898	2.9622583638458656e-7	1.109126521987255e-19	-92.37137403662051	0.581	0.829	2.485774361077836e-15	2.309848720828113e-12	-17.392666163062728	0.604	0.784	5.1768329531199666e-8	9.612793257001961e-12	-215.2432560630845	0.826	0.885	2.1544192247592795e-7	1.3217287006272824e-11	4.436506087948995e-19
Rplp0	2.2306930932538513e-13	-315.768761982082	0.855	0.923	4.9994293606005315e-9	5.338706620755124e-24	-349.3352475150636	0.718	0.902	1.1965109278436383e-19	1.2049885203618905e-13	-Inf	0.874	0.952	2.700620271835069e-9	1.8123836340009252e-11	-Inf	0.922	0.947	4.0619142005228737e-7	1.8123836340009252e-11	2.135482648302038e-23
Rpsa	2.4958187938745944e-14	-921.7429461959221	0.952	0.972	5.593629080831741e-10	7.900533358416546e-29	-810.9102623040377	0.887	0.964	1.7706675362883164e-24	3.274212744016972e-16	-Inf	0.856	0.963	7.338165601890838e-12	2.6012240824876126e-11	-Inf	0.918	0.953	5.829863413671237e-7	2.6012240824876126e-11	3.160213343366622e-28
Rps5	4.2340069901761276e-14	-520.6736852538436	0.839	0.949	9.489256466382737e-10	3.643142851986598e-28	-466.04250393640274	0.734	0.941	8.165011759872363e-24	3.558363754435722e-14	-252.52903355350708	0.793	0.902	7.975004846441341e-10	2.817776981734171e-11	-323.61997160356543	0.772	0.891	6.315201771462624e-7	2.817776981734171e-11	1.4572571407946346e-27
Rpl39	6.951283682173981e-13	-810.7240977939542	0.919	0.962	1.5579216988488326e-8	1.170506850198405e-26	-654.8145626736685	0.879	0.972	2.623339952664665e-22	7.127718017238589e-14	-357.84577153017017	0.856	0.935	1.5974641620235126e-9	4.712711108485709e-11	-619.3011054526355	0.904	0.936	1.0562128136338171e-6	4.712711108485709e-11	4.6820274007936153e-26
Rps24	1.9512712230134753e-14	-745.8045312684632	0.952	0.972	4.373189065017801e-10	1.904401362741562e-27	-721.5711555015137	0.935	0.979	4.268144334176389e-23	6.647489078494007e-12	-246.75825338172	0.928	0.948	1.4898352522720767e-7	6.872853854988769e-11	-480.87373089011425	0.954	0.953	1.540344005980083e-6	6.872853854988769e-11	7.617605450966224e-27
Rpl32	1.3377030548948414e-13	-709.7345801122966	0.935	0.961	2.9980600866303185e-09	4.609392476289104e-28	-679.7329989756785	0.879	0.972	1.033057041785914e-23	1.3531537218409028e-12	-350.70239305689074	0.856	0.934	3.0326881213898314e-8	1.0841310031720468e-10	-677.080256450658	0.9	0.94	2.4297544043091914e-6	1.0841310031720468e-10	1.84375699051564e-27
Rps27a	6.981549912211775e-15	-917.4152961549526	0.855	0.97	1.564704966324903e-10	1.3986630532840526e-32	-771.9153422206477	0.903	0.977	3.1346836350202186e-28	3.690241630089533e-14	-359.28846657105913	0.883	0.94	8.270569541356661e-10	1.6497557808057605e-10	-632.3565321298132	0.909	0.942	3.6974326559418705e-6	1.6497557808057605e-10	5.594652213136237e-32
