gene	MRV_DoL6_p_val	MRV_DoL6_avg_log2FC	MRV_DoL6_pct.1	MRV_DoL6_pct.2	MRV_DoL6_p_val_adj	Mock_DoL6_p_val	Mock_DoL6_avg_log2FC	Mock_DoL6_pct.1	Mock_DoL6_pct.2	Mock_DoL6_p_val_adj	MRV_DoL4_p_val	MRV_DoL4_avg_log2FC	MRV_DoL4_pct.1	MRV_DoL4_pct.2	MRV_DoL4_p_val_adj	Mock_DoL4_p_val	Mock_DoL4_avg_log2FC	Mock_DoL4_pct.1	Mock_DoL4_pct.2	Mock_DoL4_p_val_adj	max_pval	minimump_p_val
Cd3g	1.703068573881597e-10	-86.278543334208507	0.773	0.829	3.816917287783435e-6	1.5531591687074759e-13	-222.0247293442533	0.182	0.935	3.480940328907195e-9	4.0449508664920893e-13	-199.13743106288678	0.488	0.87	9.06554388198207e-9	4.880134968636868e-72	-242.47366460859388	0.299	0.872	1.0937358491708949e-67	1.703068573881597e-10	1.952053987454781e-71
Tmsb4x	4.3466372410796897e-10	-Inf	0.96	0.969	9.741683384707801e-6	1.0742878274070941e-13	-Inf	0.636	0.986	2.4076938787847793e-9	2.0204525227213005e-17	-Inf	0.463	0.957	4.528238193922979e-13	1.275635347983309e-91	-Inf	0.46	0.97	2.858953941900192e-87	4.3466372410796897e-10	5.10254139193323e-91
Cd3d	8.831351032719554e-10	-39.10061688775168	0.52	0.685	1.9792823934531065e-5	3.135862512948604e-12	-165.14356381039335	0.318	0.921	7.028095064020411e-8	1.007604961089111e-12	-60.63938999449428	0.415	0.85	2.2582442387929157e-8	3.619394548082309e-68	-91.00240213632405	0.224	0.842	8.11178706116207e-64	8.831351032719554e-10	1.4477578192329228e-67
Gmfg	2.375077234256604e-9	-36.761590902734085	0.167	0.388	5.3230230974159006e-5	1.439413112003146e-11	-132.6792007947572	0.136	0.875	3.2260126666214506e-7	2.57747175117098e-11	-53.40921457061074	0.293	0.792	5.7766296887244e-7	7.972846188486684e-55	-52.639395452718446	0.092	0.727	1.7868742877636356e-50	2.375077234256604e-9	3.1891384753947e-54
Lck	2.1536168538019743e-8	-16.823428027791497	0.507	0.7	4.8266860927409847e-4	2.055255343434325e-9	-129.65524013939745	0.273	0.88	4.6062382757050095e-5	1.5781330537944277e-13	-83.71262002730688	0.195	0.847	3.5369118001640714e-9	9.703006767551403e-68	-74.75262007078578	0.138	0.825	2.1746378767436205e-63	2.1536168538019743e-8	3.8812027070205415e-67
Ptprcap	6.130653053321935e-8	-52.34138341437364	0.26	0.473	0.001374001962310512	6.283429764853713e-8	-51.793016420768936	0.182	0.77	0.001408242278899014	3.6806198970871757e-13	-50.568273232542886	0.146	0.799	8.249005313351779e-9	2.7744002602470962e-61	-57.22093115182749	0.115	0.774	6.217985863265792e-57	6.283429764853713e-8	1.1097601040988462e-60
Cd8b1	1.6085975883321537e-7	-48.058660148115216	0.34	0.514	0.003605188914970023	9.096600580534817e-11	-184.31222771223688	0.045	0.815	2.038730122109463e-6	5.274801835413964e-10	-122.67507091618474	0.244	0.751	1.1821885873529776e-5	8.991572860097933e-54	-103.99046388969914	0.069	0.716	2.0151913094051486e-49	1.6085975883321537e-7	3.596629144039193e-53
Lat	2.5278595141400197e-7	-9.650568542779448	0.4	0.585	0.0056654387430906126	7.824647398831348e-8	-105.15665883303875	0.227	0.815	0.0017536599750260819	1.830363308245626e-12	-33.302798979427656	0.268	0.834	4.1022102464400975e-8	9.839249944149921e-61	-57.68838405870743	0.167	0.797	2.2051726974828803e-56	2.5278595141400197e-7	3.9356999776600376e-60
Btg2	2.217583421725175e-7	-30.449894794153618	0.26	0.466	0.004970047964770462	4.133576109246728e-7	-86.8101250188685	0.091	0.659	0.009264170776043766	1.2629605265218294e-11	-78.8012725375171	0.122	0.742	2.830547132040724e-7	4.0693119575109236e-55	-113.28819067422963	0.052	0.711	9.120141959173481e-51	4.133576109246728e-7	1.6277247830043787e-54
Arl6ip1	4.1905314535744214e-7	-91.53668232198626	0.3	0.495	0.009391819093750994	2.159049256977433e-7	-119.99204752432527	0.091	0.674	0.004838861194737823	6.673382312152316e-11	-70.77142257747639	0.146	0.72	1.495638443799577e-6	1.1390586024682253e-51	-76.2859988147375	0.086	0.705	2.5528581398517863e-47	4.1905314535744214e-7	4.556234409872922e-51
Cd27	4.368492088435272e-7	-6.325070698670631	0.333	0.53	0.009790664468601133	1.3339742971532518e-8	-81.03945619177944	0.091	0.732	2.989703194779868e-4	7.115159257849472e-13	-43.25563154451156	0.122	0.759	1.5946494928692235e-8	8.722638703940558e-64	-44.854971407820905	0.069	0.77	1.9549177863271577e-59	4.368492088435272e-7	3.489055481576192e-63
Cd52	1.2740020517942883e-7	-337.10266880359575	0.08	0.272	0.002855293398481359	7.680219076908983e-7	-221.19027541661004	0	0.582	0.017212906995168413	3.2789999236231666e-8	-418.48525492290275	0.146	0.619	7.348894628824241e-4	4.588518481013543e-40	-257.57106758364006	0.086	0.62	1.0283787619647552e-35	7.680219076908983e-7	1.8354073924054325e-39
Ptprc	9.520485879673625e-7	-38.480370895163844	0.553	0.698	0.021337312953524527	1.7697708874882577e-10	-65.40748186757531	0.045	0.795	3.966410513038683e-6	2.691038302756126e-12	-75.06602653591204	0.171	0.773	6.031155044137029e-8	2.255975774329802e-64	-57.20663229484892	0.052	0.768	5.056092905427952e-60	9.520485879673625e-7	9.023903097319291e-64
Ifngr1	1.6745691604611883e-7	-25.253372257621052	0.2	0.405	0.003753044402425615	1.224172317786765e-6	-41.85421876866776	0	0.57	0.027436149986236977	3.066496062121751e-8	-31.638892648527744	0.122	0.611	6.872630974427268e-4	4.18563249518766e-30	-22.31728579699774	0.046	0.499	9.380839548214583e-26	1.224172317786765e-6	1.6742529980750804e-29
Coro1a	5.308682966717318e-10	-28.748487574462985	0.547	0.752	1.1897820265006854e-5	1.2604586143048944e-6	-127.0201368854941	0.545	0.857	0.028249398463801294	2.716126549324833e-12	-50.57730490142815	0.39	0.849	6.087382822346815e-8	4.5930102603158475e-62	-126.27900177318064	0.218	0.822	1.0293854595419877e-57	1.2604586143048944e-6	1.837204104126333e-61
Pnrc1	1.3237422126429253e-6	-28.035483822532385	0.493	0.644	0.02966771046975324	4.880491685365896e-9	-80.45869889731856	0.227	0.835	1.0938157965242047e-4	8.059406048945657e-12	-33.10121525452979	0.146	0.786	1.8062740836897006e-7	2.9157428400844468e-67	-36.7776319851849	0.052	0.791	6.534762853197262e-63	1.3237422126429253e-6	1.1662971360337749e-66
Rag1	1.1705559387670562e-7	-13.979958901813994	0.1	0.291	0.002623449969964726	1.4008087024404476e-6	-142.91398884487637	0.091	0.659	0.03139492463909531	9.608662152884714e-9	-152.97167019666682	0.146	0.655	2.153493361704522e-4	5.125723375649525e-38	-76.10915834733318	0.075	0.591	1.1487771229505715e-33	1.4008087024404476e-6	2.050289350259816e-37
Ccr9	1.57848845316041e-6	-14.121191874513784	0.467	0.611	0.03537708321223111	5.746292629076211e-9	-143.35918760903732	0.045	0.727	1.2878591040285604e-4	1.0755241090144371e-10	-183.24207907291512	0.122	0.706	2.4104646331231564e-6	9.67465183882781e-65	-132.1259598451504	0.046	0.765	2.168282970118089e-60	1.57848845316041e-6	3.8698607355310965e-64
Socs1	2.2530433918256417e-8	-83.62372103243098	0.34	0.55	5.049520849759628e-4	3.5953088963512453e-6	-65.21740836220978	0.045	0.594	0.08057806298502411	5.150101025639653e-11	-39.84014565538079	0.122	0.715	1.154240641866359e-6	1.0850249586358434e-49	-41.04744090811013	0.08	0.696	2.4317579372946524e-45	3.5953088963512453e-6	4.340099834543412e-49
