gene	MRV_DoL6_p_val	MRV_DoL6_avg_log2FC	MRV_DoL6_pct.1	MRV_DoL6_pct.2	MRV_DoL6_p_val_adj	Mock_DoL6_p_val	Mock_DoL6_avg_log2FC	Mock_DoL6_pct.1	Mock_DoL6_pct.2	Mock_DoL6_p_val_adj	MRV_DoL4_p_val	MRV_DoL4_avg_log2FC	MRV_DoL4_pct.1	MRV_DoL4_pct.2	MRV_DoL4_p_val_adj	Mock_DoL4_p_val	Mock_DoL4_avg_log2FC	Mock_DoL4_pct.1	Mock_DoL4_pct.2	Mock_DoL4_p_val_adj	max_pval	minimump_p_val
Tmsb4x	8.516970174924084e-26	-Inf	0.798	0.974	1.9088233556039856e-21	5.129026317756087e-25	-Inf	0.862	0.986	1.1495173783354942e-20	4.807435298625805e-137	-Inf	0.729	0.965	1.0774423991280154e-132	3.9569742093959737e-140	-Inf	0.781	0.966	8.868370598098256e-136	5.129026317756087e-25	1.5827896837584212e-139
Rps24	1.5173596326604128e-24	-743.8831141382689	0.815	0.977	3.400706408718517e-20	1.2147919446876846e-24	-749.0902282617529	0.793	0.98	2.7225917064340386e-20	2.876550296647198e-136	-775.8350104441383	0.677	0.961	6.4469245248457e-132	1.9448559586310395e-140	-692.0711652360148	0.725	0.962	4.358811174483886e-136	1.5173596326604128e-24	7.779423834524343e-140
Rps15a	1.0375299873069197e-24	-566.431803024425	0.714	0.964	2.3253122075522684e-20	6.5883125305012796e-24	-617.2970415810698	0.741	0.97	1.4765726043359467e-19	2.979054321023523e-132	-754.7309859137773	0.521	0.938	6.67665654427792e-128	1.827666860456126e-134	-663.2172644182356	0.575	0.94	4.09616696765427e-130	6.5883125305012796e-24	7.310667441824402e-134
Fau	3.278421350546541e-27	-541.879802559917	0.731	0.97	7.347597930844908e-23	9.500715768714021e-24	-514.1076695053048	0.707	0.975	2.1293004180841864e-19	1.907638900565129e-137	-683.8344400286012	0.604	0.951	4.2754003039465675e-133	3.8614432287894255e-145	-500.1927336619802	0.616	0.954	8.6542665643628606e-141	9.500715768714021e-24	1.544577291515776e-144
Rps29	8.898127843154418e-27	-641.2785120626844	0.857	0.981	1.9942484122077682e-22	2.3796547265799225e-23	-744.981169509262	0.862	0.989	5.333282173210922e-19	3.891054041282384e-136	-Inf	0.906	0.99	8.720630317322079e-132	8.235879379612739e-148	-Inf	0.887	0.987	1.845825286558807e-143	2.3796547265799225e-23	3.294351751845051e-147
Rpl30	6.965220489604129e-26	-445.219211141712	0.782	0.96	1.5610452161300775e-21	3.4017682324926376e-23	-424.69996674713195	0.776	0.965	7.624042962662499e-19	1.0492337482992492e-132	-555.5579836833713	0.441	0.929	2.3515426766882773e-128	1.86441935328269e-139	-428.05797275333487	0.428	0.926	4.1785366545771647e-135	3.4017682324926376e-23	7.45767741313059e-139
Ubb	3.422046949554622e-24	-390.4230169035561	0.933	0.981	7.669491623341819e-20	4.3273731886497133e-23	-749.3109748328739	0.724	0.981	9.698508790401737e-19	1.6761977807662127e-140	-511.52052907332546	0.604	0.956	3.756694466253236e-136	3.614985453372348e-143	-685.7996107272386	0.597	0.942	8.101905398098106e-139	4.3273731886497133e-23	1.4459941813489717e-142
H3f3a	1.0683854785289266e-24	-143.7221560474767	0.815	0.969	2.3944655344790303e-20	4.776573581081321e-23	-405.9146265670098	0.845	0.982	1.0705256709919457e-18	1.6854709172646486e-141	-379.44552848302885	0.552	0.957	3.7774774197735305e-137	1.2799622954330684e-138	-246.27977669066493	0.594	0.938	2.868651496524593e-134	4.776573581081321e-23	6.741883669058783e-141
Rpl35a	1.117727905979613e-25	-488.3431228059571	0.723	0.967	2.5050517828815087e-21	8.396553393690427e-23	-490.39116647600684	0.672	0.965	1.8818355465938982e-18	1.2336278009101613e-133	-501.40087400489926	0.406	0.925	2.7648066273998534e-129	2.516407320790428e-142	-477.1096041435593	0.481	0.929	5.639772087355507e-138	8.396553393690427e-23	1.0065629283161561e-141
Rps16	5.403811806264953e-23	-497.1727528639649	0.79	0.968	1.2111023020201013e-18	1.073655918680035e-22	-493.8123851187862	0.845	0.975	2.4062776449456947e-18	2.7338103133886527e-134	-757.7467379879546	0.531	0.943	6.127015674366649e-130	1.76277533252135e-138	-615.6083280688997	0.531	0.935	3.95073207524685e-134	1.073655918680035e-22	7.051101330085625e-138
