gene	MRV_DoL6_p_val	MRV_DoL6_avg_log2FC	MRV_DoL6_pct.1	MRV_DoL6_pct.2	MRV_DoL6_p_val_adj	Mock_DoL6_p_val	Mock_DoL6_avg_log2FC	Mock_DoL6_pct.1	Mock_DoL6_pct.2	Mock_DoL6_p_val_adj	MRV_DoL4_p_val	MRV_DoL4_avg_log2FC	MRV_DoL4_pct.1	MRV_DoL4_pct.2	MRV_DoL4_p_val_adj	Mock_DoL4_p_val	Mock_DoL4_avg_log2FC	Mock_DoL4_pct.1	Mock_DoL4_pct.2	Mock_DoL4_p_val_adj	max_pval	minimump_p_val
Cd5	1.3817899955649433e-35	3.7644892965064125	0.846	0.057	3.096867738060151e-31	5.548445412014501e-67	-16.953135613493345	0.967	0.284	1.2435175857406898e-62	5.892903127643415e-53	3.664737912689418	0.987	0.345	1.3207174489674422e-48	6.777921564604724e-82	-0.6296447826034282	0.984	0.331	1.5190677810592109e-77	1.3817899955649433e-35	2.711168625841937e-81
Hivep3	3.792245114829093e-24	3.02746590860202	0.769	0.068	8.499179751354962e-20	7.4851903045231445e-87	-11.589580339751205	0.822	0.13	1.677580851049727e-82	9.125541721250353e-66	-12.475689916894552	0.921	0.196	2.045216410566629e-61	1.0255953650561535e-101	-21.429046935507216	0.861	0.171	2.2985643321638513e-97	3.792245114829093e-24	4.1023814602245887e-101
Ikzf2	1.7160617608941018e-12	-32.22973437302744	0.846	0.162	3.846037618515861e-8	5.775539138057851e-73	-35.222211679248396	0.933	0.21	1.2944138316215255e-68	5.606009813242614e-44	-46.18326153020291	0.882	0.258	1.2564189193439347e-39	1.726149736903534e-92	-16.78769832060507	0.893	0.198	3.8686467903482005e-88	1.7160617608941018e-12	6.904598947614152e-92
Cd6	6.9233719190836e-12	4.805976523211765	0.692	0.114	1.5516661145050164e-7	8.536084361069459e-26	-3.703003236908824	0.789	0.347	1.9131072270028873e-21	1.4233077884253352e-22	3.917535406000315	0.882	0.423	3.1899174154188613e-18	9.239362440636416e-51	-3.099271265758544	0.918	0.387	2.0707259101954335e-46	6.9233719190836e-12	3.695744976254564e-50
Rgs10	1.2352304581789266e-10	-15.369218493169864	1	0.423	2.7683985028706104e-6	6.460677765129753e-44	-17.31595294129754	1	0.673	1.4479671007208802e-39	2.644976055230711e-29	-34.12282693774893	0.987	0.675	5.92792033498307e-25	8.221472953053219e-50	-32.840921785353835	0.992	0.639	1.8425965182382874e-45	1.2352304581789266e-10	3.2885891812213033e-49
Cd28	9.172056599513947e-10	3.5258150599461016	0.769	0.165	2.0556413250830658e-5	6.557146046845832e-36	-6.018486746205738	0.956	0.454	1.469587572019088e-31	8.443410948860535e-29	-6.941876215204996	0.947	0.469	1.892337261858623e-24	4.070339158874324e-54	-5.389348427798714	0.975	0.501	9.122444122869134e-50	9.172056599513947e-10	1.6281356635497427e-53
Tox	7.88945421781285e-8	4.02906780359654	0.769	0.238	0.001768184479296216	2.595821229015449e-51	-18.465603809018944	0.967	0.349	5.817754538469424e-47	1.3694349337735137e-44	-0.849043178101466	0.974	0.388	3.0691775735731988e-40	3.093653050526938e-47	-16.028203661832407	0.975	0.486	6.9334952168409735e-43	7.88945421781285e-8	1.0383284916061797e-50
Cd2	2.3936470261525853e-7	-4.858349690835265	0.923	0.349	0.005364641715013174	2.1186116538758713e-37	-34.111900773666875	0.978	0.503	4.748232438666603e-33	1.319198864271911e-26	-16.306990253722883	0.974	0.546	2.9565884946062074e-22	5.503545622718985e-43	-25.38464994700975	0.984	0.524	1.2334546449637789e-38	2.3936470261525853e-7	2.2014182490875977e-42
Jup	1.172130465457531e-5	-22.735705043707025	0.308	0.048	0.26269787991834187	2.592068463271379e-19	-17.298325372462	0.533	0.178	5.809343839883815e-15	1.9118576620603153e-19	0.33588134882357723	0.566	0.176	4.284855392209579e-15	6.0422705054499885e-15	-29.86153785944396	0.434	0.169	1.3541936656814514e-10	1.172130465457531e-5	7.647430648241231e-19
Nab2	1.923143342885555e-5	0.6870690721070278	0.231	0.029	0.4310148860075106	1.0131229184590542e-20	1.91580957171815	0.278	0.053	2.2706110848504325e-16	1.3285048999088494e-25	-0.3541933831620647	0.395	0.074	2.9774451816757132e-21	9.674199665930307e-47	1.311282670945625	0.557	0.121	2.1681816291283005e-42	1.923143342885555e-5	3.86967986637212e-46
Rgcc	1.3023736890603076e-4	-150.52934131555185	0.231	0.756	1	2.9114764303424045e-12	-67.70218970391873	0.167	0.535	6.525200975683397e-8	3.939737652788679e-12	-92.30548691992493	0.25	0.638	8.829740027429988e-8	1.6373912254507393e-15	-150.67236383290552	0.221	0.576	3.6697212144801966e-11	1.3023736890603076e-4	6.549564901802912e-15
Hint1	1.3954919224277358e-4	-202.27270897565077	0.615	0.881	1	6.543113874309471e-7	-130.67383762182322	0.278	0.494	0.014664426815102386	3.6985150465325266e-7	-174.83885364176788	0.395	0.591	0.008289111922288699	6.986426341829913e-7	-288.0757829255298	0.336	0.515	0.0156579787173092	1.3954919224277358e-4	1.4794051978724012e-6
Dut	1.952433893229223e-4	-71.25422314543246	0.308	0.725	1	9.307683443882689e-5	-116.61259722150969	0.278	0.435	1	3.1755252976712225e-6	-195.69804729346149	0.355	0.551	0.07116987297140744	2.7973904698480225e-5	-108.44011948264422	0.27	0.423	0.6269511521023388	1.952433893229223e-4	1.2702040687047491e-5
Tipin	2.9088768311805944e-4	-37.98174566139341	0.154	0.669	1	2.4194907089552207e-6	-40.76452608939969	0.044	0.258	0.054225625769104405	5.455532228938747e-6	-40.67174375770321	0.118	0.349	0.1222693883149752	2.632073599479548e-6	-26.862879162793615	0.057	0.234	0.05899003351153563	2.9088768311805944e-4	9.677927712265795e-6
Rpa3	2.912090170756741e-4	-18.042635310098706	0.154	0.652	1	1.1982635363324195e-7	-21.046018907319556	0.144	0.409	0.0026855482376282186	9.155049240723878e-7	-21.90915992063995	0.197	0.448	0.020518296358310355	1.470751416501556e-4	-9.977243079118471	0.164	0.311	1	2.912090170756741e-4	4.79305328382845e-7
Hmgb1	3.481827618324237e-4	-231.5338078065667	1	0.929	1	2.325361500266994e-17	-422.2773717153047	0.967	0.949	5.211600194398387e-13	3.377185570561764e-10	-596.64948181133	0.974	0.909	7.568948300743025e-6	3.512230349578518e-8	-543.3091755761682	0.943	0.895	7.871610659475375e-4	3.481827618324237e-4	9.301446001067963e-17
Nrip1	3.690394391577846e-4	-1.1686376658989013	0.769	0.382	1	1.9558269915418953e-13	-35.32063793573867	0.756	0.492	4.383399453443695e-9	1.792553314586165e-16	-29.882959137341516	0.895	0.52	4.017470488650513e-12	1.7102951299612265e-23	-13.315665494747803	0.869	0.514	3.833113445269101e-19	3.690394391577846e-4	6.841180519844862e-23
Chsy1	3.7119129673369365e-4	0.4016746624112054	0.308	0.065	1	2.7364016789090303e-8	0.41571720744753693	0.167	0.044	6.132823442770919e-4	1.679982201092874e-9	0.45271193709040836	0.237	0.065	3.765176109089349e-5	5.53725183753089e-19	0.8741815818440019	0.23	0.05	1.241008881827423e-14	3.7119129673369365e-4	2.2149007350123416e-18
Stk17b	4.0096430300512876e-4	-2.07724306967176	0.769	0.374	1	2.239196974115547e-19	-9.34118532912317	0.822	0.416	5.018488258387764e-15	9.942907315320342e-17	-23.764107335210856	0.895	0.496	2.228404387509595e-12	7.505953151830775e-28	-17.83271837674456	0.893	0.478	1.6822342203883133e-23	4.0096430300512876e-4	3.0023812607323044e-27
Rfc4	4.4090831755802615e-4	-21.10568582975659	0.154	0.627	1	1.3672538313390094e-6	-17.100712590114615	0.011	0.225	0.030642892867969878	1.2433445548097306e-7	-37.88436204100205	0.039	0.322	0.002786583816239568	1.3985695404379993e-4	-15.314344600029672	0.057	0.188	1	4.4090831755802615e-4	4.973377291695592e-7
Gata3	5.267343175719954e-4	-2.5192384121686366	0.538	0.201	1	5.395909749492691e-25	-22.982407238904184	0.656	0.226	1.2093312930563018e-20	2.193550405115803e-18	-31.322180883817442	0.724	0.316	4.9161851679455374e-14	9.565108814565095e-33	-7.383663643499583	0.738	0.272	2.143732187520329e-28	5.267343175719954e-4	3.826043525826051e-32
Nap1l1	5.573975057278572e-4	-118.14324219768211	0.462	0.771	1	5.029415056902969e-6	-122.8624523891927	0.233	0.433	0.11271925025530935	6.296314849048336e-5	-120.71422956287772	0.447	0.565	1	1.859839772569214e-4	-102.1821832469753	0.352	0.48	1	5.573975057278572e-4	2.011750845802586e-5
Lef1	5.676543197551261e-4	-4.586397432734595	0.769	0.31	1	2.028311629926338e-27	-38.69498348079396	0.944	0.529	4.545852024990909e-23	8.442354248595622e-21	-29.729095988492766	0.947	0.585	1.8921004341952508e-16	3.0283795398364983e-31	-15.983019146448342	0.951	0.608	6.78720422468156e-27	5.676543197551261e-4	1.211351815934612e-30
Dctpp1	5.272697534076763e-4	-72.22489621788434	0.231	0.694	1	6.033033696867069e-4	-39.74059654412675	0.111	0.255	1	1.4405317149832734e-4	-62.209288693415175	0.171	0.355	1	4.234000111014521e-4	-37.39304145673361	0.139	0.269	1	6.033033696867069e-4	5.760881900527379e-4
Bcl7c	7.338270662314958e-4	-12.101408980429992	0.077	0.565	1	3.608927265227736e-6	-19.103104653896377	0.1	0.317	0.08088327786828402	9.029719936084036e-6	-20.32035106160632	0.171	0.398	0.20237408320751543	1.1898443667878067e-4	-14.544718015846502	0.131	0.276	1	7.338270662314958e-4	1.4435630914962936e-5
Dhfr	7.345068437012094e-4	-27.885231337837936	0.154	0.625	1	5.345015599824394e-5	-9.786603985284215	0	0.155	1	1.9652630076263026e-5	-12.541808774490823	0.026	0.234	0.4404547452692069	5.988125441535462e-4	-9.519653459442495	0.016	0.115	1	7.345068437012094e-4	7.860820298019989e-5
Fabp5	7.394293095902264e-4	-Inf	0.308	0.714	1	6.112543610721919e-6	-Inf	0.156	0.361	0.13699432740349965	4.526015601374251e-8	-Inf	0.184	0.477	0.001014370616579997	3.0151430845747854e-7	-Inf	0.164	0.368	0.006757538681149009	7.394293095902264e-4	1.810406117640802e-7
Dntt	0.0012720950074235713	-30.49240534750459	0	0.477	1	3.8251468062306544e-11	-50.67752661609316	0.1	0.445	8.572919022124143e-7	6.352238007097536e-7	-16.719644967051096	0.092	0.381	0.014236635821506997	1.543630150087982e-7	-22.14314347034195	0.098	0.323	0.003459583892377185	0.0012720950074235713	1.5300587224044697e-10
Cd200	0.0013776611062993344	-36.25361453116464	0.308	0.075	1	1.6204742024774496e-5	-9.471443643821114	0.222	0.089	0.363180678259246	3.827351345538114e-10	-8.388019097002179	0.355	0.127	8.577859835620021e-6	9.879049651503301e-25	-87.7939662665206	0.41	0.108	2.21409260789492e-20	0.0013776611062993344	3.9516198606013036e-24
Limd2	1.5764426326132577e-4	-44.70245044339633	1	0.677	1	3.9744724357145624e-7	-78.66904436881472	0.967	0.811	0.008907587622923476	0.0014703515568971076	-42.57035049640845	0.974	0.788	1	1.2724710083617385e-8	-38.815825375141785	0.926	0.754	2.8518620239403284e-4	0.0014703515568971076	5.089883936296009e-8
Lig1	5.752448255153573e-4	-15.459717836007897	0.077	0.575	1	0.0015522993250907922	-14.274629181559156	0.056	0.178	1	1.9262113313124223e-5	-44.74334696343514	0.079	0.291	0.4317024835737401	3.3207994880573975e-4	-34.354917155014554	0.041	0.157	1	0.0015522993250907922	7.704622710702822e-5
Srp14	0.0015563064576868144	-42.93379151158688	0.462	0.783	1	9.745854955922356e-5	-64.82888214772885	0.556	0.703	1	6.694583379941918e-4	-27.941096978273734	0.658	0.71	1	5.895609371323053e-4	-70.1963360710414	0.582	0.653	1	0.0015563064576868144	3.8977721292622223e-4
Nr4a1	0.0010563729822045322	-7.280507392640718	0.308	0.074	1	6.910216906086216e-5	-4.188970867527446	0.278	0.135	1	0.0017372370348050792	-23.468474142836826	0.342	0.2	1	7.544025705210404e-18	-14.437187108466771	0.516	0.206	1.6907670410517557e-13	0.0017372370348050792	3.01761028208415e-17
