gene	MRV_DoL6_p_val	MRV_DoL6_avg_log2FC	MRV_DoL6_pct.1	MRV_DoL6_pct.2	MRV_DoL6_p_val_adj	Mock_DoL6_p_val	Mock_DoL6_avg_log2FC	Mock_DoL6_pct.1	Mock_DoL6_pct.2	Mock_DoL6_p_val_adj	MRV_DoL4_p_val	MRV_DoL4_avg_log2FC	MRV_DoL4_pct.1	MRV_DoL4_pct.2	MRV_DoL4_p_val_adj	Mock_DoL4_p_val	Mock_DoL4_avg_log2FC	Mock_DoL4_pct.1	Mock_DoL4_pct.2	Mock_DoL4_p_val_adj	max_pval	minimump_p_val
Cd3d	1.4919769302671826e-6	-44.968918443052566	0	0.681	0.03343818696114809	1.6239690683550863e-34	-154.11684961609896	0.57	0.925	3.6396394759974196e-30	6.441783775147588e-27	-96.87594385770758	0.68	0.851	1.4437325796860773e-22	6.836813817957567e-84	-90.31136057457972	0.445	0.843	1.53226671288065e-79	1.4919769302671826e-6	2.7347255271830174e-83
Rpl21	2.0988154504690152e-5	-119.14498629271469	0.625	0.943	0.4703865187591157	2.834019317526699e-34	-251.03571031818646	0.514	0.927	6.351604094440838e-30	3.8476785464498834e-38	-317.6600778207511	0.516	0.867	8.62341715830348e-34	1.6979100598492585e-87	-163.90823834771152	0.432	0.872	3.805356026134158e-83	2.0988154504690152e-5	6.791640239397054e-87
Hnrnpf	2.235824237843586e-5	-96.06186563846808	0.5	0.902	0.5010929281855044	4.666066403674516e-31	-132.7345832623348	0.43	0.889	1.0457588023915325e-26	2.0285881319232428e-35	-180.21433704663968	0.578	0.869	4.546471721266371e-31	1.133885150047656e-85	-91.93061706052305	0.421	0.853	2.5412633982868065e-81	2.235824237843586e-5	4.5355406001906415e-85
H3f3a	2.496396933416066e-5	-173.95770964653235	0.812	0.965	0.5594924807172087	1.6462125525777554e-47	-350.5815786107084	0.71	0.985	3.689491572837266e-43	7.720827843361063e-49	-377.1407092609957	0.828	0.94	1.7303919362540813e-44	1.911582689724127e-111	-129.2847031070619	0.668	0.934	4.2842391242097136e-107	2.496396933416066e-5	7.646330758896449e-111
Ramp1	2.6233519310253346e-5	-34.00729147226777	0.312	0.818	0.587945634781398	4.958593863188812e-28	-93.31258407649005	0.393	0.849	1.1113200566178766e-23	4.212539140709177e-32	-41.4508521383972	0.422	0.799	9.4411427221574065e-28	2.413034795777471e-77	-60.03208410499556	0.288	0.771	5.4080935842964675e-73	2.6233519310253346e-5	9.65213918310981e-77
Cox7a2	2.860020792508967e-5	-39.79675904382154	0.375	0.898	0.6409878600171097	1.1365880968846874e-31	-88.45441801702177	0.196	0.801	2.5473212427379615e-27	2.0146152853429844e-35	-142.05221849429694	0.258	0.777	4.515155777510697e-31	4.48915588264175e-79	-96.38844560357906	0.185	0.747	1.006109616417669e-74	2.860020792508967e-5	1.795662353056719e-78
Rps3a1	2.918265348135015e-5	-313.90881681272447	0.812	0.961	0.6540416298240196	1.0646218657727604e-42	-566.9860127746862	0.757	0.984	2.3860305255699103e-38	5.397114328824425e-43	-716.0255351054133	0.781	0.94	1.2096012633761302e-38	2.51843759323093e-104	-609.7007624619887	0.654	0.939	5.64432233394916e-100	2.918265348135015e-5	1.0073750372923896e-103
Rpl15	3.1674927062602455e-5	-126.35846168153977	0.562	0.915	0.7098984653270463	6.052774810418949e-36	-174.57445102755523	0.346	0.89	1.3565478905110948e-31	2.6444440938008865e-44	-603.3033600446327	0.625	0.924	5.926728103026547e-40	2.6429620270184145e-99	-394.7392013695332	0.596	0.924	5.9234064949536706e-95	3.1674927062602455e-5	1.0571848108073765e-98
Snrpb	3.2490912206924935e-5	-39.796771331762706	0.375	0.847	0.7281863243816017	1.4871817016199252e-20	-54.14615694793606	0.252	0.692	3.3330716296705763e-16	1.6383723953340398e-33	-108.97773152756818	0.25	0.745	3.67192021242265e-29	2.6608036355402075e-63	-68.87176259973337	0.229	0.708	5.963393107972713e-59	3.2490912206924935e-5	1.0643214542160869e-62
Rps13	3.256455459800616e-5	-191.27976243242222	0.438	0.949	0.729836797650514	1.897381608580285e-46	-379.5055765789718	0.589	0.97	4.2524116611501346e-42	3.722241071923e-48	-557.6595651160903	0.602	0.925	8.342286690393828e-44	8.349986467378317e-110	-487.07168398642676	0.606	0.935	1.8713989670688285e-105	3.256455459800616e-5	3.3399945869513723e-109
Fth1	3.650558592155595e-5	-Inf	0.562	0.964	0.8181631916739118	1.3974716022203435e-47	-Inf	0.477	0.972	3.132013354896234e-43	1.1400941233969226e-53	-Inf	0.508	0.922	2.555178949357183e-49	1.9465092434484844e-111	-361.55721542908697	0.493	0.925	4.3625165164167435e-107	3.650558592155595e-5	7.786036973793868e-111
Ubb	4.680035251239063e-5	-47.01024311248398	0.875	0.979	1	8.926267740563076e-45	-708.3699487499284	0.776	0.983	2.0005551260149967e-40	2.5268600745634798e-51	-505.6539253699674	0.734	0.944	5.663198799111671e-47	2.4335667193101634e-119	-660.6377833801681	0.63	0.94	5.454109731317938e-115	4.680035251239063e-5	9.734266877240922e-119
Rpl36al	4.95057691572648e-5	89.97567489559665	0.438	0.921	1	6.620168969827701e-25	-123.97421247843818	0.374	0.829	1.4837122695177845e-20	1.556183457323598e-33	-118.52944813071684	0.219	0.734	3.4877183645536483e-29	5.249205079722635e-79	-116.27600357545947	0.233	0.765	1.176451842467437e-74	4.95057691572648e-5	2.0996820318890689e-78
Ap3s1	5.021512529598614e-5	-19.401253738316047	0.25	0.749	1	8.621755653961881e-21	-65.15532918352824	0.243	0.698	1.9323078771659369e-16	2.1971158369224368e-29	-44.7949338605865	0.148	0.651	4.924176013710566e-25	1.1971089195618093e-49	-22.64235620054669	0.147	0.592	2.682960510521927e-45	5.021512529598614e-5	4.788435678247277e-49
Eif1	5.1520480275542685e-5	-87.58881380523874	0.812	0.955	1	1.3646234591738267e-44	-334.7119053261166	0.626	0.966	3.0583940967003805e-40	1.578397971557071e-48	-295.6775169937387	0.648	0.917	3.5375055338537075e-44	1.0629506918680366e-112	-238.9279588998056	0.562	0.918	2.3822850906146438e-108	5.1520480275542685e-5	4.2518027674720735e-112
Atp5f1	5.508056969823143e-5	-71.53605695054179	0.438	0.885	1	2.3166166828105604e-29	-82.24641781153912	0.308	0.817	5.192001309515028e-25	2.4834964064011534e-35	-104.91754992152786	0.336	0.802	5.566012146026265e-31	7.048941944086138e-78	-75.903538024397	0.26	0.777	1.5798088685085852e-73	5.508056969823143e-5	2.8195767776344925e-77
Snrpg	7.571771332636279e-5	-52.78101442001968	0.312	0.828	1	5.137928792166449e-14	-55.12511647738398	0.168	0.535	1.1515126009003446e-9	2.959575164242653e-39	-253.18905517322304	0.289	0.809	6.632999858100633e-35	2.0255299915592567e-78	-174.07695683528152	0.284	0.796	4.539617817082606e-74	7.571771332636279e-5	8.1021199662370345e-78
Cd3g	8.912687590424626e-5	-84.59064591428707	0.375	0.829	1	3.6162695566688136e-38	-200.5155679998799	0.673	0.937	8.104783330406146e-34	2.2207477844178206e-26	-232.48626022879554	0.789	0.869	4.977139934437219e-22	7.078695764765472e-76	-218.73047181807684	0.603	0.869	1.5864772947992376e-71	8.912687590424626e-5	2.8314783059062256e-75
Rps9	8.919118542312257e-5	-238.95877141766363	0.688	0.958	1	7.204186373556211e-41	-344.81080172902057	0.654	0.973	1.614602250041418e-36	1.1356571630378013e-42	-496.5542968614576	0.719	0.925	2.54523483380032e-38	3.078422245670328e-104	-455.3323930857755	0.637	0.936	6.89935993699634e-100	8.919118542312257e-5	1.2313688982681196e-103
Rps10	9.690806918764696e-5	-254.7583201362769	0.812	0.962	1	3.703537848369198e-43	-491.96569262591	0.72	0.977	8.300369025765047e-39	1.0826657061207535e-41	-261.27342018606805	0.469	0.855	2.426470380557833e-37	1.8367632576956927e-99	-188.43381052241136	0.353	0.867	4.1165538131475866e-95	9.690806918764696e-5	7.347053030782776e-99
Rpl30	9.990099409886027e-5	-199.93590860446847	0.625	0.955	1	1.5746991155190315e-41	-369.33679543346125	0.636	0.969	3.5292156577012534e-37	1.0859853825946867e-43	-521.0801125406715	0.711	0.91	2.4339104394712118e-39	2.546650242264858e-99	-370.21338567442115	0.634	0.917	5.707552522964e-95	9.990099409886027e-5	1.0186600969059379e-98
Atp5c1	1.0376391775588996e-4	-61.43730717500644	0.438	0.875	1	2.069663895869786e-27	-113.84534278186912	0.252	0.776	4.6385307234233644e-23	3.643499977849265e-34	-100.46856770166515	0.312	0.769	8.165812150355773e-30	2.2143438610989873e-74	-71.50336571437096	0.212	0.754	4.9627874614950503e-70	1.0376391775588996e-4	8.85737544439599e-74
