All ,DN ,DP ,Dpbla ,Dpre ,Dpel ,CD4SP ,CD8SP_1,CD8SP_2,CD8 recirculated
CD4 ,Ptcra ,Ccnd3 ,Tcf19 ,Ly6d ,Cd28 ,Itma2 ,Nkg7 ,Cd24,CD69
CD8a,Cdk6 ,Fzma ,Tyms ,B2m ,Itm2a ,Tox ,Ms4a4b ,Ccr7,Tnf
CD8b ,Notch1 ,Arpp21 ,Top2a ,Rorc ,Cd53 ,Irf7 ,Runx3 ,Itgb7,Ccr5
CD3d,Cd44 ,Top2a ,Ung,Tubb2b ,Cd2,Tesc ,Nkg7,Tap1,Cd38
Rag1 ,Il2ra ,,,,,,,,Gzmb
CD52 ,,,,,,,,,Ccl4
,,,,,,,,,Nkg7
,,,,,,,,,Cst7Ê
